Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2019-07-31,218.6541,2019-08-31,172.4698,2018-12-31-2019-06-30,82.8299-361.3987,Sell,22 days,21.12%,Fall by 22.54%,21.12%
2021-12-31,3682.6328,2022-01-31,2688.2788,2020-03-31-2021-11-30,95.1843-4891.7046,Sell,21 days,27.0%,Fall by 60.3%,48.12%
2022-04-30,2730.1868,2022-05-31,1942.328,2017-11-30-2018-12-31,157.6687-294.542,Sell,21 days,28.86%,Fall by 19.03%,76.98%
2023-12-31,2281.4712,2024-09-30,2603.0627,2022-06-30-2023-04-30,896.109-2137.4451,Buy,195 days,14.1%,Rise by -14.03%,91.08%
2024-06-30,3432.8892,2024-07-31,3231.2957,2022-06-30-2024-03-31,896.109-4092.2842,Sell,22 days,5.87%,Fall by 30.74%,96.95%
2024-10-31,2515.7993,2024-10-31,2515.7993,2022-06-30-2024-03-31,896.109-4092.2842,Buy,0 days,0.0%,Rise by 0%,96.95%
2024-12-31,3332.5317,2025-02-28,2237.9053,2022-06-30-2024-12-31,896.109-4106.9556,Sell,43 days,32.85%,Fall by -72.58%,129.8%
2025-03-31,1823.48,2025-05-31,2529.0874,2022-06-30-2023-04-30,896.109-2137.4451,Sell,44 days,-38.7%,Fall by -52.71%,91.1%
2025-09-30,4145.9575,2025-10-31,3862.2021,2025-04-30-2025-08-31,1386.7993-4953.7329,Sell,23 days,6.84%,Fall by 0.0%,97.94%
2025-10-31,3862.2021,2025-10-31,3862.2021,2018-12-31-2025-08-31,82.8299-4953.7329,Sell,0 days,-0.0%,Fall by 0%,97.94%
