Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2010-06-30,1.223,2010-09-30,1.3628,2008-03-31-2008-09-30,0.0729-1.6028,Sell,66 days,-11.43%,Fall by 2.94%,-11.43%,
2014-12-31,1.2162,2015-03-31,1.083,2012-03-31-2014-06-30,0.7606-1.3991,Sell,64 days,10.95%,Fall by -5.65%,-0.48%,
2015-03-31,1.083,2015-09-30,1.1256,2010-06-30-2011-06-30,1.1882-1.4938,Sell,131 days,-3.93%,Fall by 6.05%,-4.41%,
2017-09-30,1.1782,2017-09-30,1.1782,2008-03-31-2008-09-30,0.0729-1.6028,Buy,0 days,0.0%,Rise by 0%,-4.41%,
2019-06-30,1.1373,2019-09-30,1.0943,2014-06-30-2017-03-31,1.0905-1.3507,Sell,65 days,3.78%,Fall by -3.49%,-0.63%,
2020-09-30,1.1742,2020-09-30,1.1742,2017-03-31-2018-03-31,1.0348-1.2558,Buy,0 days,0.0%,Rise by 0%,-0.63%,
2022-06-30,1.0447,2022-09-30,0.983,2020-03-31-2021-03-31,1.0655-1.235,Sell,66 days,5.91%,Fall by -7.45%,5.27%,
2022-09-30,0.983,2023-03-31,1.0905,2017-03-31-2018-03-31,1.0348-1.2558,Sell,130 days,-10.94%,Fall by -7.54%,-5.66%,
2024-12-31,1.0406,2025-06-30,1.1727,2018-03-31-2022-09-30,1.0478-1.1918,Sell,129 days,-12.69%,Fall by 1.57%,-18.36%,
2025-09-30,1.1731,2025-09-30,1.1731,2022-09-30-2023-09-30,0.954-1.1276,Buy,0 days,0.0%,Rise by 0%,-18.36%,
