Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2008-11-16,1.2597,2008-11-16,1.2597,2008-03-23-2008-07-20,0.0729-1.6028,Buy,0 days,0.0%,Rise by 0%,0.0%,
2009-01-18,1.3292,2009-02-01,1.2837,2008-07-20-2008-11-02,1.3266-1.5793,Sell,9 days,3.42%,Fall by -8.55%,3.42%,
2010-01-10,1.4411,2010-01-10,1.4411,2008-11-02-2009-11-29,1.2343-1.5145,Buy,0 days,0.0%,Rise by 0%,3.42%,
2010-05-30,1.2274,2010-06-27,1.2373,2008-11-02-2009-11-29,1.2343-1.5145,Sell,19 days,-0.81%,Fall by -2.59%,2.62%,
2010-06-06,1.1971,2010-06-27,1.2373,2008-03-23-2008-07-20,0.0729-1.6028,Sell,14 days,-3.36%,Fall by -2.59%,-0.74%,
2010-09-12,1.2693,2010-09-12,1.2693,2008-07-20-2010-06-13,1.2152-1.5793,Sell,0 days,-0.0%,Fall by 0%,-0.74%,
2011-01-30,1.3723,2011-05-29,1.4135,2010-06-13-2010-11-07,1.1882-1.4282,Buy,84 days,3.0%,Rise by 0.28%,2.26%,
2011-06-12,1.4516,2011-07-31,1.4332,2010-11-07-2011-01-16,1.3449-1.3866,Sell,34 days,1.27%,Fall by 6.3%,3.53%,
2012-04-08,1.3065,2012-04-08,1.3065,2010-11-07-2012-01-29,1.318-1.3866,Sell,0 days,-0.0%,Fall by 0%,3.53%,
2012-07-29,1.228,2012-08-12,1.2294,2008-07-20-2012-01-29,1.318-1.5793,Sell,9 days,-0.11%,Fall by -3.67%,3.41%,
2012-10-21,1.3069,2012-12-02,1.2974,2012-03-04-2012-07-29,1.2377-1.3192,Sell,29 days,0.73%,Fall by 1.22%,4.14%,
2014-10-19,1.2804,2014-10-19,1.2804,2012-01-29-2013-02-03,0.7606-1.3693,Buy,0 days,0.0%,Rise by 0%,4.14%,
2014-12-28,1.221,2015-01-11,1.1796,2012-01-29-2014-05-11,0.7606-1.3991,Sell,9 days,3.39%,Fall by 9.92%,7.53%,
2015-01-11,1.1796,2015-01-11,1.1796,2012-01-29-2013-02-03,0.7606-1.3693,Sell,0 days,-0.0%,Fall by 0%,7.53%,
2015-06-21,1.1371,2015-06-21,1.1371,2012-03-04-2015-03-22,1.0914-1.3192,Sell,0 days,-0.0%,Fall by 0%,7.53%,
2015-10-04,1.1193,2015-11-15,1.0815,2015-05-17-2015-07-26,1.102-1.1135,Sell,29 days,3.38%,Fall by -2.02%,10.91%,
2015-12-20,1.0844,2016-05-29,1.1192,2015-03-22-2015-08-30,1.0484-1.1706,Buy,114 days,3.21%,Rise by 1.4%,14.12%,
2016-03-20,1.1318,2016-06-19,1.1252,2015-08-30-2015-12-06,1.0952-1.1157,Sell,64 days,0.58%,Fall by 7.4%,14.7%,
2016-11-13,1.089,2016-11-13,1.089,2015-12-06-2016-05-08,1.0542-1.1614,Buy,0 days,0.0%,Rise by 0%,14.7%,
2016-12-25,1.0438,2017-01-22,1.066,2015-12-06-2016-05-08,1.0542-1.1614,Sell,19 days,-2.13%,Fall by -9.17%,12.57%,
