Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2000-05-31,57.5,2000-07-31,54.0,1998-10-31-2000-01-31,30.5-66.25,Sell,43 days,6.09%,Fall by 18.06%,6.09%
2002-10-31,27.64,2002-12-31,27.8,2002-02-28-2002-06-30,26.84-36.48,Sell,43 days,-0.58%,Fall by -39.57%,5.51%
2002-11-30,28.64,2002-12-31,27.8,2000-01-31-2002-02-28,30.24-58.5,Sell,21 days,2.93%,Fall by -39.57%,8.44%
2004-07-31,39.36,2004-12-31,43.68,2003-04-30-2004-04-30,24.76-44.8,Sell,109 days,-10.98%,Fall by 7.33%,-2.53%
2004-09-30,38.8,2004-12-31,43.68,2002-06-30-2003-04-30,26.76-31.76,Sell,66 days,-12.58%,Fall by 7.33%,-15.11%
2004-10-31,39.72,2005-06-30,40.56,2002-02-28-2004-04-30,26.84-44.8,Buy,173 days,2.11%,Rise by 45.96%,-13.0%
2005-04-30,41.0,2005-09-30,48.76,2002-02-28-2004-04-30,26.84-44.8,Sell,109 days,-18.93%,Fall by -11.07%,-31.92%
2005-06-30,40.56,2006-06-30,54.56,2003-04-30-2004-04-30,24.76-44.8,Buy,261 days,34.52%,Rise by 8.21%,2.59%
2006-07-31,54.28,2006-08-31,54.84,2003-04-30-2006-05-31,24.76-62.2,Sell,23 days,-1.03%,Fall by -2.63%,1.56%
2006-08-31,54.84,2021-12-31,66.96,1998-10-31-2000-01-31,30.5-66.25,Buy,4001 days,22.1%,Rise by -13.98%,23.66%
2006-11-30,55.24,2007-10-31,57.44,2002-02-28-2006-05-31,26.84-62.2,Sell,239 days,-3.98%,Fall by 13.86%,19.68%
2007-10-31,57.44,2008-03-31,49.48,2003-04-30-2006-05-31,24.76-62.2,Buy,108 days,-13.86%,Rise by -13.82%,5.82%
2008-12-31,38.32,2010-01-31,39.36,2002-02-28-2002-06-30,26.84-36.48,Buy,282 days,2.71%,Rise by 17.17%,8.54%
2011-05-31,41.08,2011-11-30,37.72,2009-03-31-2010-04-30,27.36-42.84,Buy,131 days,-8.18%,Rise by 24.07%,0.36%
2011-09-30,37.84,2011-12-31,36.44,2010-06-30-2011-02-28,36.6-46.52,Sell,65 days,3.7%,Fall by 2.41%,4.06%
2012-01-31,38.2,2015-11-30,49.52,2009-03-31-2011-02-28,27.36-46.52,Buy,999 days,29.63%,Rise by 2.02%,33.69%
2012-09-30,36.68,2013-02-28,40.84,2006-05-31-2009-03-31,33.64-54.96,Sell,108 days,-11.34%,Fall by -8.52%,22.35%
2013-08-31,43.48,2013-08-31,43.48,2010-06-30-2011-02-28,36.6-46.52,Buy,0 days,0.0%,Rise by 0%,22.35%
2013-10-31,47.64,2013-10-31,47.64,2010-04-30-2012-06-30,37.64-41.08,Sell,0 days,-0.0%,Fall by 0%,22.35%
2014-04-30,44.32,2015-02-28,49.4,2009-03-31-2013-05-31,27.36-49.72,Sell,217 days,-11.46%,Fall by 7.45%,10.89%
2014-06-30,48.16,2015-05-31,52.2,2012-06-30-2013-05-31,34.56-49.72,Buy,239 days,8.39%,Rise by -11.88%,19.27%
2015-08-31,48.48,2015-09-30,45.72,2009-03-31-2015-04-30,27.36-53.4,Sell,22 days,5.69%,Fall by 4.72%,24.97%
2015-11-30,49.52,2019-01-31,54.28,2012-06-30-2015-04-30,34.56-53.4,Buy,828 days,9.61%,Rise by 9.49%,34.58%
2016-01-31,46.0,2016-02-29,43.56,2014-10-31-2015-04-30,42.92-53.4,Sell,20 days,5.3%,Fall by -34.37%,39.88%
2016-02-29,43.56,2016-04-30,45.68,2009-03-31-2011-02-28,27.36-46.52,Sell,44 days,-4.87%,Fall by -26.77%,35.02%
2016-04-30,45.68,2017-03-31,51.5,2009-03-31-2013-05-31,27.36-49.72,Buy,239 days,12.74%,Rise by 22.21%,47.76%
2018-06-30,57.91,2018-10-31,54.84,2015-04-30-2016-02-29,46.0-49.84,Sell,87 days,5.3%,Fall by 9.94%,53.06%
