Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2002-03-31,2.01,2002-06-30,1.65,2000-03-31-2001-12-31,1.18-3.72,Sell,64 days,17.91%,Fall by -84.24%,17.91%,
2006-09-30,4.15,2007-03-31,3.63,2002-09-30-2006-06-30,1.58-4.7,Sell,129 days,12.53%,Fall by 19.28%,30.44%,
2007-03-31,3.63,2007-06-30,3.37,2000-03-31-2006-06-30,1.18-4.7,Sell,64 days,7.16%,Fall by 13.06%,37.6%,
2008-12-31,3.15,2022-09-30,18.5,2000-03-31-2001-12-31,1.18-3.72,Buy,3587 days,487.3%,Rise by 107.57%,524.9%,
2010-03-31,3.28,2022-12-31,22.6,2002-09-30-2006-06-30,1.58-4.7,Buy,3327 days,589.02%,Rise by 48.41%,1113.93%,
2011-09-30,2.53,2012-03-31,2.24,2008-06-30-2010-06-30,2.12-3.59,Sell,130 days,11.46%,Fall by -112.05%,1125.39%,
2021-03-31,32.1,2021-06-30,31.12,2012-09-30-2020-09-30,1.86-37.89,Sell,65 days,3.05%,Fall by 21.75%,1128.44%,
2021-12-31,32.76,2022-03-31,24.35,2006-06-30-2012-09-30,2.32-3.93,Sell,64 days,25.67%,Fall by 11.38%,1154.12%,
2023-09-30,21.58,2024-03-31,25.65,2022-12-31-2023-06-30,18.02-27.95,Sell,129 days,-18.86%,Fall by -44.64%,1135.26%,
2024-06-30,30.08,2024-06-30,30.08,2022-12-31-2023-06-30,18.02-27.95,Buy,0 days,0.0%,Rise by 0%,1135.26%,
