Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-06-11,3.95,2021-06-11,3.95,2021-03-08-2021-05-25,3.82-5.1,Sell,0 days,-0.0%,Fall by 0%,0.0%,
2021-07-09,3.82,2021-07-16,3.74,2021-03-08-2021-06-21,3.69-5.1,Sell,5 days,2.09%,Fall by 1.07%,2.09%,
2021-10-01,4.0,2021-10-07,3.86,2021-08-09-2021-08-31,3.74-3.75,Sell,4 days,3.5%,Fall by 8.03%,5.59%,
2021-10-11,3.9,2025-03-28,5.42,2021-06-21-2021-09-24,3.61-4.15,Buy,904 days,38.97%,Rise by 17.71%,44.57%,
2021-12-03,3.55,2021-12-10,3.85,2021-06-21-2021-09-24,3.61-4.15,Sell,5 days,-8.45%,Fall by 9.09%,36.12%,
2022-01-12,3.7,2022-01-12,3.7,2021-08-09-2021-12-08,3.6-3.75,Sell,0 days,-0.0%,Fall by 0%,36.12%,
2022-02-17,3.64,2022-02-18,3.65,2021-12-10-2022-02-01,3.57-3.7,Sell,1 days,-0.27%,Fall by 9.32%,35.84%,
2022-02-22,3.6,2022-02-25,3.45,2021-08-09-2022-02-01,3.57-3.75,Sell,3 days,4.17%,Fall by 3.77%,40.01%,
2022-03-29,3.44,2022-03-30,3.44,2021-12-10-2022-03-03,3.35-3.7,Sell,1 days,-0.0%,Fall by 11.34%,40.01%,
2022-06-15,3.07,2022-06-15,3.07,2021-09-24-2022-05-13,2.78-4.0,Sell,0 days,-0.0%,Fall by 0%,40.01%,
2022-07-15,3.15,2023-03-24,3.29,2022-05-13-2022-07-07,2.75-3.22,Buy,180 days,4.44%,Rise by 15.2%,44.45%,
2022-09-20,3.44,2022-09-28,3.18,2022-06-08-2022-08-08,2.92-3.05,Sell,6 days,7.56%,Fall by 6.29%,52.01%,
2022-10-04,3.03,2024-09-24,4.53,2022-05-13-2022-09-21,2.75-3.47,Buy,515 days,49.5%,Rise by 10.38%,101.52%,
2022-10-14,3.05,2025-03-28,5.42,2022-08-08-2022-09-21,2.91-3.47,Buy,640 days,77.7%,Rise by 17.71%,179.22%,
2022-11-10,2.99,2022-11-10,2.99,2022-09-21-2022-10-26,3.0-3.43,Sell,0 days,-0.0%,Fall by 0%,179.22%,
2022-12-19,3.21,2022-12-22,3.3,2021-03-08-2022-05-13,2.78-5.1,Sell,3 days,-2.8%,Fall by 9.7%,176.42%,
2023-05-11,3.6,2023-05-23,3.49,2023-01-26-2023-03-13,3.02-3.3,Sell,8 days,3.06%,Fall by 2.29%,179.47%,
2023-05-17,3.54,2024-06-11,4.08,2023-03-13-2023-05-04,2.95-3.79,Buy,279 days,15.25%,Rise by 0.98%,194.73%,
2023-07-31,3.53,2023-08-11,3.86,2023-05-04-2023-07-06,3.42-3.67,Sell,9 days,-9.35%,Fall by 18.65%,185.38%,
2023-08-18,3.3,2023-08-23,3.1,2023-07-06-2023-08-14,3.4-3.88,Sell,3 days,6.06%,Fall by 3.55%,191.44%,
2023-08-23,3.1,2023-09-07,3.17,2022-05-13-2023-08-14,2.75-3.88,Sell,11 days,-2.26%,Fall by 5.68%,189.18%,
2023-09-06,3.17,2023-09-22,3.55,2023-05-04-2023-08-23,3.24-3.67,Sell,12 days,-11.99%,Fall by 15.49%,177.2%,
2023-09-07,3.17,2024-10-03,4.59,2022-05-13-2023-08-14,2.75-3.88,Buy,280 days,44.79%,Rise by 8.93%,221.99%,
2023-09-28,3.05,2023-10-09,3.08,2022-05-13-2023-05-04,2.75-3.79,Sell,7 days,-0.98%,Fall by 1.62%,221.01%,
2023-10-05,2.99,2023-10-05,2.99,2023-03-13-2023-08-14,2.95-3.88,Sell,0 days,-0.0%,Fall by 0%,221.01%,
2023-10-26,3.03,2023-12-22,3.34,2023-05-04-2023-10-05,3.0-3.67,Sell,41 days,-10.23%,Fall by 0.0%,210.78%,
2023-10-27,3.07,2023-10-27,3.07,2022-08-08-2023-08-14,2.91-3.88,Buy,0 days,0.0%,Rise by 0%,210.78%,
2023-11-14,3.11,2023-11-14,3.11,2022-09-21-2023-10-05,3.0-3.43,Sell,0 days,-0.0%,Fall by 0%,210.78%,
2024-01-29,3.4,2024-08-30,4.4,2023-10-05-2024-01-19,2.94-3.5,Buy,154 days,29.41%,Rise by 13.64%,240.19%,
2024-02-05,3.36,2024-11-25,5.36,2023-03-13-2023-08-14,2.95-3.88,Buy,210 days,59.52%,Rise by -2.05%,299.71%,
2024-03-04,3.45,2024-04-02,3.61,2023-11-07-2023-12-05,2.98-3.13,Sell,21 days,-4.64%,Fall by 0.55%,295.07%,
2024-04-02,3.61,2024-11-27,5.32,2023-07-06-2023-08-14,3.4-3.88,Buy,171 days,47.37%,Rise by -1.32%,342.44%,
2024-06-24,4.05,2024-09-24,4.53,2024-05-15-2024-06-05,3.42-4.25,Buy,66 days,11.85%,Rise by 10.38%,354.29%,
2024-08-27,4.48,2024-09-26,4.95,2024-03-22-2024-05-15,3.49-3.65,Sell,22 days,-10.49%,Fall by 1.62%,343.8%,
2024-09-20,4.55,2024-11-05,4.9,2024-06-05-2024-07-11,3.96-4.17,Sell,32 days,-7.69%,Fall by -2.86%,336.11%,
2024-12-09,5.07,2025-03-27,5.56,2024-05-15-2024-11-15,3.42-5.59,Buy,78 days,9.66%,Rise by 14.75%,345.77%,
2024-12-23,5.2,2025-01-10,5.02,2024-11-15-2024-12-05,5.34-5.41,Sell,14 days,3.46%,Fall by -12.15%,349.24%,
2025-01-15,4.92,2025-02-12,4.95,2023-10-05-2024-11-15,2.94-5.59,Sell,20 days,-0.61%,Fall by -7.07%,348.63%,
2025-01-17,4.83,2025-01-23,4.84,2024-05-15-2024-09-30,3.42-5.05,Buy,4 days,0.21%,Rise by 21.9%,348.83%,
2025-01-21,4.99,2025-01-23,4.84,2024-05-15-2024-11-15,3.42-5.59,Sell,2 days,3.01%,Fall by -9.5%,351.84%,
2025-02-03,4.92,2025-03-10,5.45,2024-11-15-2025-01-15,5.2-5.41,Sell,25 days,-10.77%,Fall by 2.75%,341.07%,
2025-04-02,5.7,2025-05-21,6.28,2024-05-15-2025-03-24,3.42-6.04,Buy,35 days,10.18%,Rise by 7.48%,351.24%,
2025-04-07,5.3,2025-04-29,5.53,2024-05-15-2025-03-24,3.42-6.04,Sell,16 days,-4.34%,Fall by -17.9%,346.9%,
2025-04-09,5.41,2025-04-09,5.41,2025-01-15-2025-03-24,4.76-6.04,Buy,0 days,0.0%,Rise by 0%,346.9%,
2025-04-30,5.45,2025-05-02,5.62,2025-03-24-2025-04-07,5.68-5.89,Sell,2 days,-3.12%,Fall by -16.01%,343.78%,
