Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-04-13,46.44,2021-04-14,46.59,2021-02-17-2021-03-25,45.55-54.07,Sell,1 days,-0.32%,Fall by 6.53%,-0.32%,
2021-06-08,46.08,2021-06-14,46.21,2021-02-17-2021-05-13,44.29-54.07,Sell,4 days,-0.28%,Fall by 7.12%,-0.61%,
2021-07-06,44.22,2021-07-12,44.0,2021-06-01-2021-06-16,45.36-47.23,Sell,4 days,0.5%,Fall by 11.0%,-0.11%,
2021-07-23,42.78,2021-07-26,40.49,2021-06-01-2021-07-08,43.08-47.23,Sell,1 days,5.35%,Fall by 4.49%,5.25%,
2021-08-18,39.84,2021-08-24,40.8,2021-06-28-2021-07-27,39.26-47.09,Sell,4 days,-2.41%,Fall by 6.42%,2.84%,
2021-10-29,40.33,2021-11-09,39.46,2021-09-07-2021-10-04,38.05-42.11,Sell,7 days,2.16%,Fall by 9.86%,4.99%,
2021-11-09,39.46,2021-11-09,39.46,2021-10-04-2021-10-22,37.46-42.7,Buy,0 days,0.0%,Rise by 0%,4.99%,
2021-11-23,39.78,2021-11-29,38.4,2021-10-22-2021-11-05,39.97-42.05,Sell,4 days,3.47%,Fall by 7.37%,8.46%,
2021-12-15,36.59,2021-12-22,36.54,2021-10-04-2021-10-22,37.46-42.7,Sell,5 days,0.14%,Fall by 0.93%,8.6%,
2022-01-27,36.31,2022-01-27,36.31,2021-06-01-2022-01-05,35.99-47.23,Sell,0 days,-0.0%,Fall by 0%,8.6%,
2022-02-10,38.3,2025-10-07,40.93,2022-01-05-2022-01-20,35.23-39.78,Buy,953 days,6.87%,Rise by -2.98%,15.47%,
2022-02-17,37.79,2022-02-17,37.79,2021-02-17-2022-01-05,35.99-54.07,Sell,0 days,-0.0%,Fall by 0%,15.47%,
2022-03-02,34.57,2022-03-04,32.97,2022-01-05-2022-01-20,35.23-39.78,Sell,2 days,4.63%,Fall by 11.31%,20.09%,
2022-04-11,31.51,2022-04-11,31.51,2021-06-01-2022-03-15,27.47-47.23,Sell,0 days,-0.0%,Fall by 0%,20.09%,
2022-07-06,33.35,2022-07-11,32.17,2022-04-04-2022-05-12,28.72-33.78,Sell,3 days,3.54%,Fall by 9.29%,23.63%,
2022-07-19,31.95,2024-10-10,33.22,2022-03-15-2022-06-28,26.13-34.83,Buy,582 days,3.97%,Rise by 0.6%,27.61%,
2022-09-27,26.53,2022-10-05,27.22,2022-03-15-2022-06-28,26.13-34.83,Sell,6 days,-2.6%,Fall by 13.08%,25.01%,
2022-11-22,25.44,2022-11-30,28.16,2021-06-01-2022-10-31,21.16-47.23,Sell,6 days,-10.69%,Fall by 2.84%,14.31%,
2022-12-16,27.94,2022-12-19,27.78,2022-06-28-2022-10-31,21.16-34.03,Sell,1 days,0.57%,Fall by 1.62%,14.89%,
2023-02-17,29.53,2023-02-24,27.91,2022-10-31-2023-01-27,20.87-33.38,Sell,5 days,5.49%,Fall by 2.08%,20.37%,
2023-02-28,27.96,2024-10-10,33.22,2022-10-31-2023-01-27,20.87-33.38,Buy,422 days,18.81%,Rise by 0.6%,39.19%,
2023-04-06,29.29,2023-04-10,29.19,2023-01-27-2023-03-15,27.38-33.05,Sell,2 days,0.34%,Fall by 6.3%,39.53%,
2023-05-22,28.35,2023-05-23,27.49,2023-03-30-2023-04-25,27.64-29.62,Sell,1 days,3.03%,Fall by 3.24%,42.56%,
2023-06-26,27.01,2023-06-27,27.6,2023-01-27-2023-05-31,25.98-33.05,Sell,1 days,-2.18%,Fall by 5.29%,40.38%,
2023-06-27,27.6,2023-08-03,29.55,2023-05-31-2023-06-16,25.51-29.25,Buy,27 days,7.07%,Rise by -11.37%,47.44%,
2023-07-11,27.34,2023-07-26,28.97,2023-05-15-2023-05-31,25.98-28.42,Sell,11 days,-5.96%,Fall by 9.77%,41.48%,
2023-08-07,29.02,2023-08-10,28.83,2023-06-16-2023-07-06,26.84-28.79,Sell,3 days,0.65%,Fall by 10.68%,42.13%,
2023-08-10,28.83,2024-10-10,33.22,2023-05-31-2023-07-31,25.51-30.54,Buy,305 days,15.23%,Rise by 0.6%,57.36%,
2023-09-11,27.24,2023-09-21,26.21,2023-07-31-2023-08-21,26.16-29.98,Sell,8 days,3.78%,Fall by 4.5%,61.14%,
2023-09-21,26.21,2023-09-25,26.72,2023-06-16-2023-08-21,26.16-28.79,Sell,2 days,-1.95%,Fall by 6.32%,59.2%,
2023-10-18,26.01,2023-10-18,26.01,2023-05-15-2023-10-05,25.7-28.42,Sell,0 days,-0.0%,Fall by 0%,59.2%,
2023-10-20,25.03,2023-10-20,25.03,2023-05-31-2023-07-31,25.51-30.54,Sell,0 days,-0.0%,Fall by 0%,59.2%,
2023-11-13,26.02,2023-11-13,26.02,2023-03-30-2023-10-23,25.32-29.62,Sell,0 days,-0.0%,Fall by 0%,59.2%,
2023-11-22,26.29,2023-11-22,26.29,2023-07-31-2023-10-23,25.32-29.98,Sell,0 days,-0.0%,Fall by 0%,59.2%,
2023-12-04,24.31,2023-12-07,24.03,2023-10-23-2023-11-15,24.85-27.42,Sell,3 days,1.15%,Fall by 10.74%,60.35%,
2024-02-13,22.2,2024-03-07,23.33,2023-11-15-2024-01-22,21.2-26.94,Sell,17 days,-5.09%,Fall by -1.37%,55.26%,
