Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-03-29,1.8565,2021-03-29,1.8565,2020-11-04-2021-03-12,1.7616-1.877,Buy,0 days,0.0%,Rise by 0%,0.0%,
2021-05-28,1.881,2021-05-31,1.8756,2021-03-12-2021-04-16,1.8444-1.8668,Sell,1 days,0.29%,Fall by 1.01%,0.29%,
2021-06-14,1.8713,2021-06-14,1.8713,2021-04-16-2021-05-21,1.8322-1.8927,Buy,0 days,0.0%,Rise by 0%,0.29%,
2021-07-22,1.8701,2021-08-09,1.8795,2021-05-21-2021-07-01,1.861-1.8844,Sell,12 days,-0.5%,Fall by 1.69%,-0.22%,
2021-08-24,1.8614,2021-08-24,1.8614,2021-07-01-2021-07-29,1.8538-1.8924,Buy,0 days,0.0%,Rise by 0%,-0.22%,
2021-09-21,1.847,2021-09-27,1.8494,2021-07-29-2021-08-30,1.8553-1.8847,Sell,4 days,-0.13%,Fall by 2.15%,-0.35%,
2021-11-02,1.8408,2021-11-10,1.8269,2021-09-14-2021-09-29,1.8394-1.8564,Sell,6 days,0.76%,Fall by 1.57%,0.41%,
2021-11-11,1.8139,2021-11-16,1.8145,2021-07-01-2021-07-29,1.8538-1.8924,Sell,3 days,-0.03%,Fall by 0.89%,0.38%,
2022-01-20,1.8338,2022-01-20,1.8338,2021-09-14-2021-12-09,1.8034-1.8564,Sell,0 days,-0.0%,Fall by 0%,0.38%,
2022-01-27,1.8156,2022-01-27,1.8156,2021-12-09-2022-01-13,1.7961-1.8498,Buy,0 days,0.0%,Rise by 0%,0.38%,
2022-03-08,1.7856,2022-03-09,1.7881,2021-04-16-2021-05-21,1.8322-1.8927,Sell,1 days,-0.14%,Fall by 0.72%,0.24%,
2022-04-25,1.7575,2022-05-02,1.7386,2021-12-09-2022-01-13,1.7961-1.8498,Sell,5 days,1.08%,Fall by 3.81%,1.31%,
2022-04-27,1.7337,2022-04-27,1.7337,2020-11-04-2021-05-21,1.7616-1.8927,Sell,0 days,-0.0%,Fall by 0%,1.31%,
2022-05-25,1.7196,2022-06-17,1.708,2021-07-29-2022-05-12,1.7072-1.8847,Sell,17 days,0.67%,Fall by 2.77%,1.99%,
2022-06-03,1.7237,2022-06-17,1.708,2022-01-13-2022-05-12,1.7072-1.8437,Sell,10 days,0.91%,Fall by 2.77%,2.9%,
2022-08-08,1.6666,2022-08-08,1.6666,2021-03-12-2022-07-14,1.6692-1.8668,Sell,0 days,-0.0%,Fall by 0%,2.9%,
2022-10-12,1.5776,2022-11-08,1.6139,2022-01-13-2022-09-26,1.5645-1.8437,Sell,19 days,-2.3%,Fall by 0.71%,0.6%,
2022-10-20,1.5982,2022-10-25,1.6061,2022-05-27-2022-09-26,1.5645-1.7245,Sell,3 days,-0.49%,Fall by 0.22%,0.1%,
2022-11-07,1.5956,2022-11-08,1.6139,2022-08-01-2022-09-26,1.5645-1.6792,Sell,1 days,-1.15%,Fall by 0.71%,-1.04%,
2023-01-10,1.6209,2023-01-10,1.6209,2022-09-26-2022-12-15,1.4895-1.6736,Buy,0 days,0.0%,Rise by 0%,-1.04%,
