Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2007-08-26,3.0629,2007-09-09,3.0761,2006-12-10-2007-03-11,2.9586-3.0153,Sell,9 days,-0.43%,Fall by 10.2%,-0.43%
2007-09-09,3.0761,2007-09-09,3.0761,2007-03-11-2007-07-22,2.9333-3.1187,Buy,0 days,0.0%,Rise by 0%,-0.43%
2007-12-23,2.8855,2008-01-27,2.8242,2007-03-11-2007-07-22,2.9333-3.1187,Sell,24 days,2.12%,Fall by 4.95%,1.69%
2008-08-31,2.5732,2008-09-28,2.6221,2007-07-22-2008-05-11,2.7007-3.0801,Sell,19 days,-1.9%,Fall by 14.64%,-0.21%
2009-09-13,2.368,2009-09-13,2.368,2006-12-10-2009-01-04,2.1356-3.0153,Sell,0 days,-0.0%,Fall by 0%,-0.21%
2009-11-01,2.296,2009-11-01,2.296,2009-01-04-2009-08-09,2.0268-2.4369,Buy,0 days,0.0%,Rise by 0%,-0.21%
2009-12-27,2.2565,2010-01-24,2.2622,2009-08-09-2009-10-18,2.28-2.3986,Sell,19 days,-0.25%,Fall by 7.59%,-0.46%
2010-05-16,2.0176,2010-06-06,2.0425,2009-01-04-2009-08-09,2.0268-2.4369,Sell,14 days,-1.23%,Fall by -0.07%,-1.69%
2010-09-12,2.0699,2010-10-03,2.0669,2009-08-09-2010-05-23,2.0403-2.3986,Sell,14 days,0.14%,Fall by 3.83%,-1.55%
2011-04-03,2.0206,2011-04-03,2.0206,2008-07-27-2011-01-02,2.0099-2.6884,Sell,0 days,-0.0%,Fall by 0%,-1.55%
2011-12-18,2.0265,2011-12-18,2.0265,2008-07-27-2011-09-11,1.9545-2.6884,Sell,0 days,-0.0%,Fall by 0%,-1.55%
2011-12-25,2.0274,2014-04-13,2.0965,2011-09-11-2011-11-13,1.9254-2.0672,Buy,599 days,3.41%,Rise by 1.99%,1.86%
2012-06-24,1.9934,2012-08-26,1.9779,2011-11-13-2012-02-05,1.9834-2.0259,Sell,44 days,0.78%,Fall by 1.85%,2.64%
2012-11-04,1.9684,2012-12-02,1.9572,2012-05-20-2012-08-12,1.9546-2.0006,Sell,19 days,0.57%,Fall by 4.43%,3.21%
2013-02-24,1.8922,2013-02-24,1.8922,2012-08-12-2013-01-06,1.9306-1.9976,Sell,0 days,-0.0%,Fall by 0%,3.21%
2013-07-28,1.9452,2013-07-28,1.9452,2010-08-08-2013-03-17,1.8935-2.1269,Sell,0 days,-0.0%,Fall by 0%,3.21%
2014-03-02,2.1102,2014-04-27,2.1133,2007-07-22-2013-03-17,1.8935-3.0801,Sell,39 days,-0.15%,Fall by 3.2%,3.06%
2014-08-10,2.1071,2014-09-28,2.073,2006-12-10-2011-09-11,1.9545-3.0153,Sell,34 days,1.62%,Fall by 2.13%,4.68%
2014-09-28,2.073,2015-10-18,2.1353,2013-03-17-2014-07-06,1.8508-2.1421,Buy,274 days,3.01%,Rise by -10.95%,7.68%
2015-04-05,2.0122,2015-05-03,2.0325,2014-07-06-2015-01-18,2.0346-2.123,Sell,19 days,-1.01%,Fall by -5.06%,6.67%
2015-10-04,2.1653,2015-11-01,2.149,2014-07-06-2015-04-19,2.0209-2.123,Sell,19 days,0.75%,Fall by 10.04%,7.43%
2015-11-01,2.149,2016-01-17,2.0717,2007-07-22-2011-09-11,1.9545-3.0801,Sell,54 days,3.6%,Fall by 8.22%,11.02%
2016-02-28,1.9565,2016-04-24,1.9326,2015-04-19-2015-08-30,1.9904-2.2304,Sell,39 days,1.22%,Fall by 9.82%,12.25%
2016-04-03,1.9365,2016-04-24,1.9326,2012-08-12-2015-08-30,1.9306-2.2304,Sell,14 days,0.2%,Fall by 9.82%,12.45%
2016-04-10,1.9015,2016-04-24,1.9326,2012-08-12-2014-07-06,1.9306-2.1421,Sell,9 days,-1.64%,Fall by 9.82%,10.81%
2016-06-26,1.9553,2016-06-26,1.9553,2013-03-17-2015-08-30,1.8508-2.2304,Sell,0 days,-0.0%,Fall by 0%,10.81%
2016-07-10,1.7428,2016-07-10,1.7428,2014-07-06-2016-04-10,1.9355-2.123,Sell,0 days,-0.0%,Fall by 0%,10.81%
2017-01-22,1.7587,2017-02-05,1.7674,2016-06-05-2016-10-09,1.7679-1.9733,Sell,9 days,-0.49%,Fall by 0.46%,10.32%
2018-03-11,1.8177,2018-03-18,1.8316,2017-05-14-2017-08-27,1.7567-1.8072,Sell,4 days,-0.76%,Fall by 2.89%,9.55%
2018-06-17,1.783,2021-06-13,1.8757,2016-10-09-2018-04-22,1.6811-1.8811,Buy,779 days,5.2%,Rise by 0.72%,14.75%
2018-11-18,1.7556,2018-12-30,1.7325,2018-04-22-2018-08-19,1.7593-1.8422,Sell,29 days,1.32%,Fall by 3.64%,16.07%
2019-04-21,1.7611,2019-05-12,1.7747,2018-04-22-2019-01-06,1.7457-1.8422,Sell,14 days,-0.77%,Fall by 5.93%,15.29%
2019-06-16,1.7317,2019-08-04,1.6695,2018-10-14-2019-01-06,1.7457-1.8037,Sell,34 days,3.59%,Fall by -0.01%,18.89%
2019-08-04,1.6695,2019-08-18,1.6789,2016-10-09-2018-04-22,1.6811-1.8811,Sell,9 days,-0.56%,Fall by 0.55%,18.32%
2019-12-01,1.7631,2019-12-01,1.7631,2010-08-08-2019-08-04,1.697-2.1269,Sell,0 days,-0.0%,Fall by 0%,18.32%
2020-05-24,1.7319,2020-05-24,1.7319,2010-08-08-2020-03-22,1.7578-2.1269,Sell,0 days,-0.0%,Fall by 0%,18.32%
2020-06-07,1.7623,2020-06-07,1.7623,2019-08-04-2020-03-15,1.6597-1.8288,Buy,0 days,0.0%,Rise by 0%,18.32%
2020-07-12,1.7546,2020-07-12,1.7546,2011-11-13-2020-03-22,1.7578-2.0259,Sell,0 days,-0.0%,Fall by 0%,18.32%
2020-10-11,1.757,2020-10-11,1.757,2009-08-09-2020-03-22,1.7578-2.3986,Sell,0 days,-0.0%,Fall by 0%,18.32%
2021-07-18,1.8729,2021-07-18,1.8729,2020-03-22-2021-05-23,1.6591-1.8927,Buy,0 days,0.0%,Rise by 0%,18.32%
2022-02-20,1.8289,2022-04-17,1.7713,2021-05-23-2021-12-12,1.8185-1.8779,Sell,39 days,3.15%,Fall by 6.23%,21.47%
2022-07-17,1.6609,2022-07-31,1.6792,2016-10-09-2021-05-23,1.6811-1.8927,Sell,9 days,-1.1%,Fall by 5.43%,20.37%
2022-08-21,1.6532,2022-09-25,1.5971,2020-03-22-2021-05-23,1.6591-1.8927,Sell,24 days,3.39%,Fall by -0.24%,23.76%
2022-09-04,1.6185,2022-10-16,1.6174,2019-08-04-2020-03-15,1.6597-1.8288,Sell,29 days,0.07%,Fall by 1.02%,23.83%
2023-01-22,1.6377,2023-08-20,1.731,2021-05-23-2022-10-02,1.6072-1.8779,Sell,149 days,-5.7%,Fall by 4.04%,18.14%
2023-10-22,1.6658,2023-10-22,1.6658,2022-10-02-2023-07-16,1.4895-1.7351,Buy,0 days,0.0%,Rise by 0%,18.14%
2024-03-03,1.6991,2024-05-12,1.6936,2023-07-16-2023-11-05,1.6755-1.7203,Sell,49 days,0.32%,Fall by 0.19%,18.46%
2024-08-25,1.7157,2024-08-25,1.7157,2023-11-05-2024-07-21,1.653-1.7475,Buy,0 days,0.0%,Rise by 0%,18.46%
2024-12-08,1.7077,2024-12-08,1.7077,2022-10-02-2024-07-21,1.4895-1.7475,Buy,0 days,0.0%,Rise by 0%,18.46%
2025-05-25,1.7339,2025-05-25,1.7339,2025-01-26-2025-04-06,1.6606-1.7624,Buy,0 days,0.0%,Rise by 0%,18.46%
2025-10-26,1.7306,2025-10-26,1.7306,2025-04-06-2025-08-03,1.7255-1.7308,Sell,0 days,-0.0%,Fall by 0%,18.46%
