Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2007-12-16,44.31,2008-01-06,49.9,2007-02-25-2007-08-19,39.9-39.85,Sell,14 days,-12.62%,Fall by 13.47%,-12.62%
2008-03-23,47.78,2008-04-20,49.3,2007-08-19-2008-03-16,32.76-56.87,Sell,19 days,-3.18%,Fall by 12.47%,-15.8%
2008-05-18,47.32,2011-01-02,61.47,2007-08-19-2008-03-16,32.76-56.87,Buy,684 days,29.9%,Rise by -1.74%,14.11%
2010-01-10,49.84,2010-01-10,49.84,2006-09-10-2008-10-26,24.19-39.1,Sell,0 days,-0.0%,Fall by 0%,14.11%
2010-01-24,43.79,2010-01-31,40.72,2008-10-26-2009-12-06,15.83-55.4,Sell,4 days,7.01%,Fall by -18.42%,21.12%
2010-02-21,44.57,2011-01-02,61.47,2008-10-26-2009-12-06,15.83-55.4,Buy,224 days,37.92%,Rise by -1.74%,59.03%
2011-01-16,54.88,2011-02-13,55.73,2007-08-19-2010-12-12,32.76-64.62,Sell,19 days,-1.55%,Fall by 6.75%,57.49%
2011-02-13,55.73,2011-10-16,57.96,2008-10-26-2010-12-12,15.83-64.62,Buy,174 days,4.0%,Rise by -11.27%,61.49%
2011-06-19,51.97,2011-07-17,59.72,2008-10-26-2010-12-12,15.83-64.62,Sell,19 days,-14.91%,Fall by 9.61%,46.57%
2011-10-09,54.88,2011-10-30,60.48,2008-10-26-2011-09-11,15.83-66.98,Sell,14 days,-10.2%,Fall by 12.9%,36.37%
2011-10-16,57.96,2011-10-16,57.96,2010-12-12-2011-06-19,54.05-60.6,Sell,0 days,-0.0%,Fall by 0%,36.37%
2011-10-23,53.98,2011-10-30,60.48,2007-08-19-2011-09-11,32.76-66.98,Sell,4 days,-12.04%,Fall by 12.9%,24.33%
2011-12-11,57.83,2011-12-11,57.83,2007-08-19-2011-09-11,32.76-66.98,Buy,0 days,0.0%,Rise by 0%,24.33%
2011-12-18,52.68,2011-12-18,52.68,2010-12-12-2011-10-09,56.85-60.6,Sell,0 days,-0.0%,Fall by 0%,24.33%
2012-03-11,53.24,2012-03-18,49.93,2011-04-10-2012-01-01,52.52-59.68,Sell,4 days,6.22%,Fall by 11.78%,30.55%
2012-07-15,42.31,2012-08-12,44.85,2011-09-11-2012-01-01,52.52-63.1,Sell,19 days,-6.0%,Fall by 11.06%,24.54%
2012-08-12,44.85,2012-08-12,44.85,2008-10-26-2011-09-11,15.83-66.98,Buy,0 days,0.0%,Rise by 0%,24.54%
2012-10-28,51.24,2012-10-28,51.24,2010-12-12-2012-05-20,42.81-60.6,Sell,0 days,-0.0%,Fall by 0%,24.54%
2012-12-02,47.55,2012-12-02,47.55,2012-05-20-2012-09-23,39.08-55.25,Buy,0 days,0.0%,Rise by 0%,24.54%
2013-02-17,39.89,2013-02-24,37.93,2012-05-20-2012-09-23,39.08-55.25,Sell,4 days,4.91%,Fall by 15.05%,29.46%
2013-10-06,24.19,2013-10-13,23.05,2008-03-16-2008-10-26,24.19-51.21,Sell,4 days,4.71%,Fall by 10.37%,34.17%
2014-05-11,23.73,2014-05-11,23.73,2013-12-29-2014-03-16,20.24-28.03,Buy,0 days,0.0%,Rise by 0%,34.17%
2014-09-21,22.66,2014-09-28,21.98,2013-12-29-2014-03-16,20.24-28.03,Sell,4 days,3.0%,Fall by 13.47%,37.17%
2015-03-01,21.28,2015-03-01,21.28,2014-07-13-2014-11-09,18.69-25.89,Sell,0 days,-0.0%,Fall by 0%,37.17%
2015-11-22,13.4,2015-12-06,14.83,2013-09-01-2015-09-13,13.74-27.54,Sell,9 days,-10.67%,Fall by 12.14%,26.5%
2016-09-11,26.41,2016-10-09,23.0,2016-01-24-2016-08-14,12.4-31.79,Sell,19 days,12.91%,Fall by 10.39%,39.41%
2016-09-18,25.96,2016-09-18,25.96,2007-02-25-2016-01-24,13.24-39.85,Sell,0 days,-0.0%,Fall by 0%,39.41%
2016-10-30,23.81,2016-11-13,20.92,2013-12-29-2016-08-14,20.24-31.79,Sell,9 days,12.14%,Fall by -3.87%,51.55%
