Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-01-20,3.77,2021-01-20,3.77,2020-11-04-2021-01-07,3.005-4.0,Buy,0 days,0.0%,Rise by 0%,0.0%
2021-03-17,3.75,2021-03-18,3.6,2021-01-07-2021-02-24,3.53-3.82,Sell,1 days,4.0%,Fall by 8.06%,4.0%
2021-05-17,3.43,2021-05-17,3.43,2021-01-07-2021-04-16,3.4-3.82,Sell,0 days,-0.0%,Fall by 0%,4.0%
2021-07-12,3.5,2021-07-20,3.37,2021-05-10-2021-06-22,3.38-3.53,Sell,6 days,3.71%,Fall by 1.78%,7.71%
2021-09-07,3.38,2021-09-13,3.37,2021-07-15-2021-08-18,3.37-3.53,Sell,4 days,0.3%,Fall by 3.86%,8.01%
2021-10-15,3.345,2021-10-15,3.345,2021-01-07-2021-09-29,3.27-3.82,Sell,0 days,-0.0%,Fall by 0%,8.01%
2021-10-20,3.3,2021-10-27,3.275,2020-11-04-2021-01-07,3.005-4.0,Sell,5 days,0.76%,Fall by 10.84%,8.77%
2021-10-22,3.235,2021-10-27,3.275,2021-07-15-2021-09-29,3.27-3.53,Sell,3 days,-1.24%,Fall by 10.84%,7.53%
2021-12-10,2.905,2021-12-10,2.905,2021-07-15-2021-11-22,3.005-3.53,Sell,0 days,-0.0%,Fall by 0%,7.53%
2022-01-20,2.885,2022-01-20,2.885,2021-08-31-2021-12-23,2.85-3.39,Sell,0 days,-0.0%,Fall by 0%,7.53%
2022-02-14,2.765,2022-02-28,2.755,2021-10-15-2022-01-31,2.72-3.305,Sell,10 days,0.36%,Fall by 0.0%,7.89%
2022-03-01,2.78,2022-03-01,2.78,2021-07-15-2022-01-31,2.72-3.53,Sell,0 days,-0.0%,Fall by 0%,7.89%
2022-03-14,2.77,2022-03-14,2.77,2021-03-11-2022-01-31,2.72-3.825,Sell,0 days,-0.0%,Fall by 0%,7.89%
2022-06-01,2.65,2022-06-01,2.65,2022-01-13-2022-05-16,2.715-2.9,Sell,0 days,-0.0%,Fall by 0%,7.89%
2022-07-05,2.695,2022-07-05,2.695,2021-03-11-2022-06-17,2.565-3.825,Sell,0 days,-0.0%,Fall by 0%,7.89%
2022-08-15,2.97,2022-08-15,2.97,2021-05-10-2022-06-17,2.565-3.53,Sell,0 days,-0.0%,Fall by 0%,7.89%
2022-08-31,2.96,2022-09-27,2.74,2022-06-17-2022-08-19,2.4-3.035,Buy,19 days,-7.43%,Rise by 3.65%,0.46%
2022-11-10,2.75,2022-11-14,2.77,2022-09-19-2022-10-12,2.675-2.975,Sell,2 days,-0.73%,Fall by 8.48%,-0.27%
2023-01-04,2.6,2023-02-09,2.85,2022-11-03-2022-12-06,2.61-2.83,Sell,26 days,-9.62%,Fall by 6.67%,-9.88%
2023-01-16,2.65,2023-02-09,2.85,2022-09-19-2022-12-06,2.61-2.975,Sell,18 days,-7.55%,Fall by 6.67%,-17.43%
2023-03-17,2.775,2023-03-17,2.775,2022-12-06-2023-03-06,2.52-2.9,Buy,0 days,0.0%,Rise by 0%,-17.43%
2023-05-17,2.705,2023-05-23,2.71,2023-03-06-2023-03-24,2.67-2.85,Sell,4 days,-0.18%,Fall by 0.37%,-17.61%
2023-08-10,2.66,2023-08-11,2.545,2023-05-31-2023-07-19,2.705-2.735,Sell,1 days,4.32%,Fall by 5.3%,-13.29%
2023-08-18,2.47,2023-08-22,2.585,2022-12-06-2023-03-06,2.52-2.9,Sell,2 days,-4.66%,Fall by 7.54%,-17.95%
2023-08-28,2.41,2023-08-30,2.41,2022-06-17-2022-08-19,2.4-3.035,Sell,2 days,-0.0%,Fall by 0.83%,-17.95%
2023-09-25,2.39,2023-09-25,2.39,2022-09-19-2023-08-31,2.535-2.975,Sell,0 days,-0.0%,Fall by 0%,-17.95%
2023-10-16,2.42,2023-10-16,2.42,2023-03-06-2023-09-26,2.455-2.85,Sell,0 days,-0.0%,Fall by 0%,-17.95%
2023-11-14,2.355,2023-11-14,2.355,2022-04-06-2023-11-01,2.325-2.88,Sell,0 days,-0.0%,Fall by 0%,-17.95%
2024-01-03,2.465,2024-01-03,2.465,2021-08-31-2023-11-30,2.38-3.39,Sell,0 days,-0.0%,Fall by 0%,-17.95%
2024-01-29,2.525,2024-02-15,2.54,2023-09-18-2023-11-01,2.325-2.5,Sell,13 days,-0.59%,Fall by 6.3%,-18.54%
2024-02-14,2.53,2024-02-14,2.53,2022-03-07-2023-11-30,2.38-2.89,Sell,0 days,-0.0%,Fall by 0%,-18.54%
2024-02-15,2.54,2024-02-26,2.48,2023-11-30-2024-02-07,2.3-2.595,Buy,7 days,-2.36%,Rise by 1.61%,-20.9%
2024-03-26,2.4,2024-03-27,2.46,2024-02-07-2024-03-05,2.47-2.55,Sell,1 days,-2.5%,Fall by 10.16%,-23.4%
2024-05-08,2.275,2024-05-13,2.23,2023-11-30-2024-02-07,2.3-2.595,Sell,3 days,1.98%,Fall by 7.62%,-21.42%
2024-06-24,2.185,2024-06-24,2.185,2022-11-03-2024-06-06,2.095-2.83,Sell,0 days,-0.0%,Fall by 0%,-21.42%
2024-07-12,2.19,2024-09-04,2.27,2023-05-31-2024-06-06,2.095-2.735,Sell,38 days,-3.65%,Fall by 9.25%,-25.08%
2024-07-29,2.22,2024-09-25,2.12,2022-08-19-2024-06-06,2.095-2.95,Sell,42 days,4.5%,Fall by 2.83%,-20.57%
2024-09-20,2.25,2024-12-03,2.26,2024-06-06-2024-09-12,2.05-2.33,Buy,52 days,0.44%,Rise by 3.54%,-20.13%
2024-12-03,2.26,2024-12-10,2.16,2021-08-31-2024-06-06,2.095-3.39,Sell,5 days,4.42%,Fall by 0.0%,-15.7%
2025-01-03,2.26,2025-01-09,2.19,2021-10-15-2024-06-06,2.095-3.305,Sell,4 days,3.1%,Fall by 0.23%,-12.61%
2025-02-04,2.185,2025-08-26,2.33,2024-06-06-2024-11-27,2.05-2.4,Buy,145 days,6.64%,Rise by 3.0%,-5.97%
2025-02-27,2.205,2025-03-07,2.215,2024-09-12-2024-11-18,2.07-2.23,Sell,6 days,-0.45%,Fall by 3.39%,-6.42%
2025-04-29,2.18,2025-04-29,2.18,2025-02-20-2025-04-07,2.18-2.34,Sell,0 days,-0.0%,Fall by 0%,-6.42%
2025-08-26,2.33,2025-08-26,2.33,2021-03-11-2024-06-06,2.095-3.825,Sell,0 days,-0.0%,Fall by 0%,-6.42%
2025-08-29,2.36,2025-10-20,2.47,2025-04-07-2025-08-20,2.115-2.47,Buy,36 days,4.66%,Rise by 1.62%,-1.76%
2025-09-16,2.36,2025-09-17,2.39,2025-08-20-2025-08-27,2.345-2.41,Sell,1 days,-1.27%,Fall by -5.02%,-3.03%
