Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1997-11-30,3.5475,1997-12-31,4.025,1996-01-31-1997-10-31,1.1975-4.4125,Sell,22 days,-13.46%,Fall by 13.73%,-13.46%
1998-08-31,2.89,2001-08-31,11.8275,1996-01-31-1997-10-31,1.1975-4.4125,Buy,784 days,309.26%,Rise by 0.02%,295.8%
2000-04-30,12.2575,2000-05-31,11.515,1998-11-30-2000-03-31,2.4-14.75,Sell,22 days,6.06%,Fall by 3.97%,301.85%
2000-08-31,11.9675,2000-11-30,11.0575,1997-10-31-1998-11-30,2.97-3.445,Sell,65 days,7.6%,Fall by 5.22%,309.46%
2000-11-30,11.0575,2001-06-30,10.48,1998-11-30-2000-03-31,2.4-14.75,Buy,151 days,-5.22%,Rise by 12.88%,304.23%
2002-07-31,10.6375,2002-08-31,10.4775,2000-03-31-2001-09-30,11.945-10.9,Sell,22 days,1.5%,Fall by -169.43%,305.74%
2002-08-31,10.4775,2007-04-30,51.2075,2001-09-30-2002-02-28,9.205-12.75,Buy,1215 days,388.74%,Rise by 68.83%,694.48%
2002-10-31,9.495,2002-12-31,10.8025,2001-09-30-2002-02-28,9.205-12.75,Sell,43 days,-13.77%,Fall by -149.73%,680.71%
2003-10-31,15.8025,2004-09-30,20.1,1996-01-31-2000-03-31,1.1975-14.75,Buy,239 days,27.2%,Rise by 46.09%,707.9%
2004-01-31,17.2475,2004-09-30,20.1,1998-11-30-2004-01-31,2.4-20.3375,Sell,173 days,-16.54%,Fall by -132.59%,691.36%
2004-05-31,17.5625,2004-09-30,20.1,2002-10-31-2004-01-31,9.3-20.3375,Sell,88 days,-14.45%,Fall by -132.59%,676.91%
2004-07-31,18.76,2005-06-30,31.8025,1996-01-31-2004-01-31,1.1975-20.3375,Buy,238 days,69.52%,Rise by 28.5%,746.44%
2008-01-31,78.4775,2008-02-29,72.8375,2002-10-31-2008-01-31,9.3-91.25,Sell,21 days,7.19%,Fall by 24.62%,753.62%
2009-01-31,46.28,2020-05-31,475.825,2001-09-30-2008-01-31,9.205-91.25,Buy,2954 days,928.14%,Rise by 51.41%,1681.77%
2011-01-31,102.365,2011-03-31,117.2925,2009-03-31-2010-10-31,38.7-126.995,Sell,43 days,-14.58%,Fall by 9.02%,1667.19%
2011-03-31,117.2925,2011-11-30,110.625,2008-01-31-2009-03-31,50.65-67.55,Sell,174 days,5.68%,Fall by -41.32%,1672.87%
2011-04-30,114.7775,2013-08-31,148.5,2002-10-31-2010-10-31,9.3-126.995,Buy,609 days,29.38%,Rise by 81.37%,1702.25%
2011-11-30,110.625,2011-12-31,106.7125,2009-03-31-2011-07-31,38.7-129.75,Sell,22 days,3.54%,Fall by -46.5%,1705.79%
2012-02-29,129.275,2015-06-30,266.7875,2002-10-31-2011-07-31,9.3-129.75,Buy,869 days,106.37%,Rise by 21.0%,1812.16%
2013-06-30,167.375,2013-07-31,152.4375,2011-12-31-2013-05-31,100.0625-181.825,Sell,22 days,8.92%,Fall by -77.47%,1821.08%
2013-08-31,148.5,2013-10-31,170.2,2009-03-31-2013-05-31,38.7-181.825,Sell,43 days,-14.61%,Fall by -57.34%,1806.47%
2015-11-30,269.4375,2021-06-30,748.95,2013-08-31-2015-07-31,132.0-282.0,Buy,1457 days,177.97%,Rise by -10.01%,1984.44%
2016-02-29,242.9625,2016-03-31,267.7875,2013-08-31-2015-07-31,132.0-282.0,Sell,23 days,-10.22%,Fall by -92.43%,1974.22%
2018-12-31,530.425,2025-03-31,914.1,2016-02-29-2018-07-31,232.0-555.0,Buy,1630 days,72.33%,Rise by 8.59%,2046.55%
2020-03-31,430.95,2020-04-30,500.9,2016-02-29-2018-07-31,232.0-555.0,Sell,22 days,-16.23%,Fall by -34.56%,2030.32%
2020-05-31,475.825,2020-06-30,532.925,2011-12-31-2019-12-31,100.0625-652.75,Sell,21 days,-12.0%,Fall by -26.47%,2018.32%
2021-12-31,739.7,2022-02-28,713.125,2020-03-31-2021-10-31,369.375-862.5,Sell,41 days,3.59%,Fall by -3.52%,2021.92%
2022-04-30,692.3,2022-08-31,743.05,2016-02-29-2021-10-31,232.0-862.5,Sell,87 days,-7.33%,Fall by 0.65%,2014.59%
2022-06-30,674.0,2022-08-31,743.05,2009-03-31-2021-10-31,38.7-862.5,Sell,44 days,-10.24%,Fall by 0.65%,2004.34%
2022-08-31,743.05,2023-10-31,738.25,2016-02-29-2021-10-31,232.0-862.5,Buy,304 days,-0.65%,Rise by 14.04%,2003.69%
2023-10-31,738.25,2023-12-31,854.625,2020-03-31-2023-07-31,369.375-878.75,Sell,43 days,-15.76%,Fall by 10.4%,1987.93%
2023-12-31,854.625,2024-04-30,760.05,2020-03-31-2021-10-31,369.375-862.5,Buy,86 days,-11.07%,Rise by 18.15%,1976.86%
2024-01-31,731.275,2024-02-29,701.7,2016-02-29-2023-07-31,232.0-878.75,Sell,21 days,4.04%,Fall by -41.46%,1980.91%
2024-02-29,701.7,2024-06-30,841.9,2013-08-31-2023-07-31,132.0-878.75,Sell,86 days,-19.98%,Fall by -17.91%,1960.93%
2024-04-30,760.05,2024-04-30,760.05,2022-06-30-2023-07-31,635.8-878.75,Buy,0 days,0.0%,Rise by 0%,1960.93%
