Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1998-03-31,3.515,1998-06-30,3.2625,1996-03-31-1997-12-31,1.1975-4.4125,Sell,65 days,7.18%,Fall by -259.0%,7.18%
1999-06-30,3.7125,2015-12-31,270.5375,1996-03-31-1997-12-31,1.1975-4.4125,Buy,4306 days,7187.21%,Rise by 74.29%,7194.39%
2000-06-30,12.6175,2000-09-30,11.7125,1998-12-31-2000-03-31,2.4-14.75,Sell,65 days,7.17%,Fall by 10.52%,7201.56%
2008-03-31,66.5625,2008-06-30,50.37,2001-09-30-2008-03-31,9.205-91.25,Sell,65 days,24.33%,Fall by 3.38%,7225.89%
2008-06-30,50.37,2008-09-30,61.485,1998-12-31-2008-03-31,2.4-91.25,Sell,66 days,-22.07%,Fall by -90.81%,7203.82%
2020-03-31,430.95,2020-06-30,532.925,2009-03-31-2019-12-31,38.7-652.75,Sell,65 days,-23.66%,Fall by -33.35%,7180.16%
2021-12-31,739.7,2022-06-30,674.0,2020-03-31-2021-12-31,369.375-862.5,Sell,129 days,8.88%,Fall by -28.49%,7189.04%
2022-03-31,735.175,2022-06-30,674.0,2009-03-31-2021-12-31,38.7-862.5,Sell,65 days,8.32%,Fall by -28.49%,7197.36%
2022-06-30,674.0,2022-12-31,814.075,2001-09-30-2021-12-31,9.205-862.5,Sell,131 days,-20.78%,Fall by 11.07%,7176.58%
2024-09-30,866.025,2024-09-30,866.025,2009-03-31-2023-09-30,38.7-878.75,Buy,0 days,0.0%,Rise by 0%,7176.58%
