Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-03-02,86.97,2021-03-02,86.97,2020-11-04-2021-02-12,84.66-87.79,Buy,0 days,0.0%,Rise by 0%,0.0%
2021-04-23,87.37,2021-05-06,87.27,2021-02-12-2021-03-19,86.15-87.55,Sell,9 days,0.11%,Fall by 0.22%,0.11%
2021-05-14,87.21,2021-07-15,87.79,2021-03-19-2021-04-29,85.65-87.55,Buy,44 days,0.67%,Rise by 0.19%,0.78%
2021-06-04,87.27,2021-06-07,87.3,2021-04-29-2021-05-19,86.84-87.35,Sell,1 days,-0.03%,Fall by 0.25%,0.75%
2021-07-21,87.73,2021-07-21,87.73,2021-05-19-2021-07-07,86.57-88.1,Buy,0 days,0.0%,Rise by 0%,0.75%
2021-09-07,87.78,2021-09-10,87.83,2021-07-07-2021-08-19,87.2-87.93,Sell,3 days,-0.06%,Fall by 1.53%,0.69%
2021-10-13,86.88,2021-10-13,86.88,2021-08-19-2021-09-23,86.95-88.16,Buy,0 days,0.0%,Rise by 0%,0.69%
2021-11-15,86.75,2021-11-30,85.64,2021-09-23-2021-10-11,86.81-87.96,Sell,11 days,1.28%,Fall by -0.68%,1.97%
2021-12-14,86.48,2021-12-14,86.48,2021-01-20-2021-12-01,85.94-87.37,Sell,0 days,-0.0%,Fall by 0%,1.97%
2022-01-03,86.97,2022-01-12,86.48,2021-09-23-2021-12-01,85.94-87.96,Sell,7 days,0.56%,Fall by 4.58%,2.53%
2022-01-26,84.81,2022-02-01,84.73,2021-08-19-2021-09-23,86.95-88.16,Sell,4 days,0.09%,Fall by 5.62%,2.63%
2022-01-27,84.44,2022-01-27,84.44,2021-05-19-2021-09-23,86.57-88.16,Sell,0 days,-0.0%,Fall by 0%,2.63%
2022-02-08,83.62,2022-02-08,83.62,2021-03-19-2021-07-07,85.65-88.1,Sell,0 days,-0.0%,Fall by 0%,2.63%
2022-02-11,82.66,2022-02-11,82.66,2020-11-04-2021-09-23,84.66-88.16,Sell,0 days,-0.0%,Fall by 0%,2.63%
2022-03-25,81.32,2022-03-25,81.32,2021-01-20-2022-03-14,80.87-87.37,Sell,0 days,-0.0%,Fall by 0%,2.63%
2022-04-05,81.5,2022-04-05,81.5,2021-07-07-2022-03-14,80.87-87.93,Sell,0 days,-0.0%,Fall by 0%,2.63%
2022-06-06,78.05,2022-06-06,78.05,2021-07-07-2022-05-19,76.67-87.93,Sell,0 days,-0.0%,Fall by 0%,2.63%
2022-08-18,77.74,2022-08-18,77.74,2021-01-20-2022-06-13,74.31-87.37,Sell,0 days,-0.0%,Fall by 0%,2.63%
2022-08-25,77.08,2022-08-25,77.08,2022-06-13-2022-08-11,72.89-79.32,Buy,0 days,0.0%,Rise by 0%,2.63%
2022-09-26,71.28,2022-09-29,71.72,2022-06-13-2022-08-11,72.89-79.32,Sell,3 days,-0.62%,Fall by -0.32%,2.01%
2022-10-25,73.24,2022-10-25,73.24,2021-01-20-2022-09-27,71.92-87.37,Sell,0 days,-0.0%,Fall by 0%,2.01%
2022-11-04,72.9,2022-11-04,72.9,2021-01-20-2022-10-13,71.91-87.37,Sell,0 days,-0.0%,Fall by 0%,2.01%
2022-12-07,74.98,2022-12-07,74.98,2021-04-29-2022-10-13,71.91-87.35,Sell,0 days,-0.0%,Fall by 0%,2.01%
2023-01-25,76.2,2023-02-01,76.76,2022-12-13-2022-12-28,73.83-75.69,Sell,5 days,-0.73%,Fall by 4.36%,1.27%
2023-02-23,74.62,2023-02-23,74.62,2022-10-13-2023-02-02,70.4-77.34,Buy,0 days,0.0%,Rise by 0%,1.27%
2023-03-13,73.04,2023-03-17,73.37,2023-02-02-2023-02-21,74.03-77.07,Sell,4 days,-0.45%,Fall by -0.27%,0.82%
2023-03-29,74.3,2023-04-11,74.93,2023-02-02-2023-03-15,73.4-77.07,Sell,9 days,-0.85%,Fall by 1.82%,-0.03%
2023-07-10,74.22,2023-07-31,75.5,2023-03-31-2023-05-24,74.02-74.95,Sell,15 days,-1.72%,Fall by 1.93%,-1.75%
2023-08-07,74.79,2024-01-02,77.13,2023-03-15-2023-07-13,72.61-75.73,Buy,106 days,3.13%,Rise by 0.87%,1.38%
2023-11-10,74.06,2023-11-10,74.06,2023-02-02-2023-10-23,72.42-77.07,Sell,0 days,-0.0%,Fall by 0%,1.38%
2023-12-06,75.88,2023-12-06,75.88,2023-07-13-2023-10-23,72.42-75.41,Sell,0 days,-0.0%,Fall by 0%,1.38%
2024-01-04,76.62,2024-01-05,76.68,2022-12-13-2023-10-23,72.42-75.69,Sell,1 days,-0.08%,Fall by 0.14%,1.3%
2024-02-07,77.24,2024-02-07,77.24,2023-10-23-2023-12-27,71.68-78.08,Buy,0 days,0.0%,Rise by 0%,1.3%
2024-03-15,77.07,2024-03-19,77.56,2023-12-27-2024-02-13,76.8-77.61,Sell,2 days,-0.64%,Fall by 2.42%,0.66%
2024-04-05,76.82,2024-07-19,77.98,2024-02-13-2024-03-21,76.44-77.96,Buy,75 days,1.51%,Rise by 1.82%,2.17%
2024-05-22,77.09,2024-05-31,77.13,2024-03-21-2024-04-16,75.91-77.68,Sell,7 days,-0.05%,Fall by 0.53%,2.12%
2024-08-07,77.66,2024-09-05,79.24,2024-06-12-2024-07-02,76.95-77.35,Sell,21 days,-2.03%,Fall by -0.03%,0.09%
2024-09-03,78.68,2024-09-05,79.24,2024-06-12-2024-08-05,77.38-77.35,Sell,2 days,-0.71%,Fall by -0.03%,-0.62%
2024-10-14,79.61,2024-10-14,79.61,2024-04-16-2024-09-30,75.59-80.37,Buy,0 days,0.0%,Rise by 0%,-0.62%
2024-10-25,79.28,2025-09-10,80.84,2023-10-23-2024-09-30,71.68-80.37,Buy,228 days,1.97%,Rise by -0.05%,1.34%
2024-12-06,79.9,2024-12-17,79.39,2024-09-30-2024-11-01,79.08-80.19,Sell,7 days,0.64%,Fall by 1.11%,1.98%
2024-12-17,79.39,2025-09-10,80.84,2024-11-01-2024-11-29,78.73-80.07,Buy,191 days,1.83%,Rise by -0.05%,3.81%
2025-02-07,79.35,2025-02-07,79.35,2024-09-30-2024-12-20,78.67-80.19,Sell,0 days,-0.0%,Fall by 0%,3.81%
