Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2010-01-17,4.0975,2010-02-07,4.125,2009-03-08-2009-10-18,3.17-5.2475,Sell,14 days,-0.67%,Fall by 2.3%,-0.67%,
2010-02-07,4.125,2010-02-07,4.125,2008-02-03-2009-03-08,3.575-7.675,Sell,0 days,-0.0%,Fall by 0%,-0.67%,
2010-04-04,4.105,2014-10-12,5.9475,2009-03-08-2009-10-18,3.17-5.2475,Buy,1179 days,44.88%,Rise by 36.74%,44.21%,
2010-04-11,4.1475,2010-05-09,4.185,2009-10-18-2010-01-24,4.1725-5.0275,Sell,19 days,-0.9%,Fall by 2.57%,43.31%,
2011-02-27,3.8875,2011-03-13,3.89,2010-01-24-2010-12-12,3.83-4.8725,Sell,9 days,-0.06%,Fall by 2.51%,43.24%,
2011-06-12,3.9725,2011-06-26,3.7925,2010-12-12-2011-02-27,3.965-4.23,Sell,9 days,4.53%,Fall by 10.22%,47.78%,
2012-05-13,3.605,2012-05-13,3.605,2011-10-09-2012-04-08,3.25-4.3725,Sell,0 days,-0.0%,Fall by 0%,47.78%,
2013-01-06,3.5225,2013-01-13,3.55,2012-04-08-2012-07-22,3.65-4.215,Sell,4 days,-0.78%,Fall by -1.41%,47.0%,
2013-01-13,3.55,2013-01-13,3.55,2011-10-09-2012-04-08,3.25-4.3725,Buy,0 days,0.0%,Rise by 0%,47.0%,
2014-01-26,5.505,2014-02-02,5.3,2012-07-22-2013-12-08,3.2525-6.2575,Sell,4 days,3.72%,Fall by 0.0%,50.72%,
2014-02-23,5.485,2014-10-12,5.9475,2012-07-22-2013-12-08,3.2525-6.2575,Buy,164 days,8.43%,Rise by 36.74%,59.15%,
2014-04-13,5.3,2014-04-20,5.9875,2010-01-24-2013-12-08,3.83-6.2575,Sell,4 days,-12.97%,Fall by 6.43%,46.18%,
2015-08-16,10.5475,2015-08-23,9.71,2013-12-08-2014-04-06,5.7425-6.065,Sell,4 days,7.94%,Fall by 12.2%,54.12%,
2015-09-06,9.3725,2015-11-08,10.95,2012-07-22-2015-07-12,3.2525-11.4875,Sell,44 days,-16.83%,Fall by 14.95%,37.29%,
2016-02-28,8.7375,2023-04-02,20.64,2012-07-22-2015-07-12,3.2525-11.4875,Buy,1849 days,136.22%,Rise by 14.41%,173.51%,
2016-07-24,8.72,2016-07-24,8.72,2010-01-24-2015-07-12,3.83-11.4875,Buy,0 days,0.0%,Rise by 0%,173.51%,
2016-08-28,8.8275,2016-10-23,8.5375,2015-07-12-2016-02-14,7.89-10.425,Sell,39 days,3.29%,Fall by -6.91%,176.8%,
2017-01-22,9.2125,2017-03-26,8.6725,2016-04-24-2016-07-10,8.905-9.81,Sell,44 days,5.86%,Fall by -95.5%,182.66%,
