Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-03-29,44.82,2024-09-05,54.8,2020-11-04-2021-03-11,36.28-47.01,Buy,898 days,22.27%,Rise by 4.47%,22.27%
2021-05-14,44.78,2021-05-14,44.78,2021-02-17-2021-04-21,42.09-45.95,Sell,0 days,-0.0%,Fall by 0%,22.27%
2021-06-22,46.88,2021-09-21,51.75,2021-04-21-2021-06-07,41.3-47.72,Buy,65 days,10.39%,Rise by 3.73%,32.66%
2021-07-12,46.61,2021-09-09,51.65,2020-11-04-2021-06-07,36.28-47.72,Buy,43 days,10.81%,Rise by 2.36%,43.47%
2021-08-12,48.4,2021-10-14,53.5,2021-06-07-2021-07-19,46.28-47.48,Sell,45 days,-10.54%,Fall by 3.4%,32.93%
2021-10-26,53.32,2021-10-26,53.32,2021-07-19-2021-10-18,45.82-53.83,Buy,0 days,0.0%,Rise by 0%,32.93%
2021-11-02,52.35,2021-11-02,52.35,2021-04-21-2021-10-18,41.3-53.83,Buy,0 days,0.0%,Rise by 0%,32.93%
2021-11-30,49.58,2021-11-30,49.58,2020-11-04-2021-10-18,36.28-53.83,Buy,0 days,0.0%,Rise by 0%,32.93%
2022-01-20,48.32,2022-01-24,46.38,2021-10-18-2021-12-20,45.2-53.33,Sell,2 days,4.01%,Fall by 10.48%,36.95%
2022-01-24,46.38,2022-02-24,44.63,2021-07-19-2021-10-18,45.82-53.83,Sell,23 days,3.77%,Fall by 6.83%,40.72%
2022-03-07,41.52,2022-03-09,44.21,2021-04-21-2021-10-18,41.3-53.83,Sell,2 days,-6.48%,Fall by 5.95%,34.24%
2022-03-25,45.77,2022-04-21,45.67,2022-01-12-2022-03-07,42.61-50.14,Sell,19 days,0.22%,Fall by 8.96%,34.46%
2022-05-18,41.73,2024-06-06,51.5,2022-03-07-2022-04-04,41.42-48.51,Buy,536 days,23.41%,Rise by 7.03%,57.87%
2022-06-13,41.06,2022-06-15,41.55,2022-03-07-2022-04-04,41.42-48.51,Sell,2 days,-1.19%,Fall by -5.63%,56.68%
2022-07-14,40.92,2022-07-14,40.92,2022-01-12-2022-06-17,40.54-50.14,Sell,0 days,-0.0%,Fall by 0%,56.68%
2022-08-24,44.78,2022-08-31,44.3,2021-10-18-2022-06-17,40.54-53.33,Sell,5 days,1.07%,Fall by 5.87%,57.75%
2022-10-03,42.48,2022-10-03,42.48,2022-06-17-2022-09-12,40.17-45.81,Buy,0 days,0.0%,Rise by 0%,57.75%
2022-11-02,43.38,2022-11-23,44.89,2022-09-12-2022-10-13,42.41-45.44,Sell,15 days,-3.48%,Fall by 6.71%,54.27%
2022-12-19,43.03,2024-10-01,56.03,2022-10-13-2022-12-01,41.34-46.49,Buy,466 days,30.21%,Rise by -4.12%,84.48%
2023-01-25,42.65,2023-01-31,42.28,2022-12-01-2022-12-23,41.92-46.11,Sell,4 days,0.87%,Fall by 6.01%,85.35%
2023-02-24,40.95,2023-02-28,40.92,2022-10-13-2022-12-01,41.34-46.49,Sell,2 days,0.07%,Fall by 2.88%,85.42%
2023-03-13,40.4,2023-03-17,40.16,2022-12-01-2023-02-24,41.03-46.11,Sell,4 days,0.59%,Fall by -5.33%,86.02%
2023-04-20,41.65,2023-04-20,41.65,2022-12-01-2023-03-15,39.74-46.11,Sell,0 days,-0.0%,Fall by 0%,86.02%
2023-05-15,43.08,2023-05-22,42.58,2022-04-04-2023-03-15,39.74-48.14,Sell,5 days,1.16%,Fall by -6.15%,87.18%
2023-08-07,45.53,2023-08-07,45.53,2023-03-15-2023-07-26,39.42-46.3,Buy,0 days,0.0%,Rise by 0%,87.18%
2023-09-25,45.64,2024-01-03,48.87,2023-03-15-2023-09-15,39.42-46.63,Buy,72 days,7.08%,Rise by 5.07%,94.25%
2023-10-06,45.6,2023-10-06,45.6,2022-10-13-2023-09-15,41.34-46.63,Buy,0 days,0.0%,Rise by 0%,94.25%
2023-10-24,44.66,2023-10-30,44.07,2023-09-15-2023-10-04,45.01-46.34,Sell,4 days,1.32%,Fall by -10.19%,95.57%
2024-01-05,49.46,2024-01-25,48.88,2023-09-15-2023-10-26,43.81-46.34,Sell,14 days,1.17%,Fall by -1.37%,96.75%
2024-03-21,49.86,2024-10-02,55.86,2023-10-26-2024-03-08,43.6-51.53,Buy,139 days,12.03%,Rise by -3.83%,108.78%
2024-05-09,49.69,2024-05-14,50.12,2024-03-08-2024-04-18,49.54-51.32,Sell,3 days,-0.87%,Fall by 0.46%,107.92%
2024-07-25,53.7,2024-07-26,54.49,2024-05-02-2024-06-04,49.89-50.81,Sell,1 days,-1.47%,Fall by 0.72%,106.44%
2024-07-26,54.49,2024-07-26,54.49,2024-04-18-2024-07-18,49.26-55.4,Buy,0 days,0.0%,Rise by 0%,106.44%
2024-08-07,53.1,2024-08-07,53.1,2023-03-15-2024-07-18,39.42-55.4,Buy,0 days,0.0%,Rise by 0%,106.44%
2024-09-09,54.65,2024-09-10,54.68,2024-07-18-2024-08-05,53.08-55.07,Sell,1 days,-0.05%,Fall by 6.04%,106.39%
2024-10-09,54.97,2024-10-09,54.97,2024-04-18-2024-09-26,49.26-57.3,Buy,0 days,0.0%,Rise by 0%,106.39%
2024-10-21,54.18,2024-10-21,54.18,2024-08-05-2024-09-26,52.1-57.3,Buy,0 days,0.0%,Rise by 0%,106.39%
2024-10-29,53.68,2024-10-29,53.68,2020-11-05-2024-09-26,37.05-57.3,Buy,0 days,0.0%,Rise by 0%,106.39%
2024-11-15,51.38,2024-11-19,51.73,2024-08-05-2024-09-26,52.1-57.3,Sell,2 days,-0.68%,Fall by 4.77%,105.71%
2024-12-13,53.46,2024-12-18,51.52,2024-07-18-2024-11-21,51.51-55.07,Sell,3 days,3.63%,Fall by 4.39%,109.34%
2024-12-19,51.78,2024-12-26,51.43,2023-03-15-2024-09-26,39.42-57.3,Sell,5 days,0.68%,Fall by 4.22%,110.01%
2024-12-30,50.86,2025-01-15,49.99,2020-11-04-2024-09-26,36.28-57.3,Sell,12 days,1.71%,Fall by 5.68%,111.72%
2025-01-21,49.61,2025-01-29,49.51,2020-11-04-2024-07-18,36.28-55.4,Sell,6 days,0.2%,Fall by 4.77%,111.92%
2025-02-11,49.45,2025-02-11,49.45,2024-07-18-2025-01-27,49.29-55.07,Sell,0 days,-0.0%,Fall by 0%,111.92%
2025-02-21,48.54,2025-02-21,48.54,2024-04-18-2024-09-26,49.26-57.3,Sell,0 days,-0.0%,Fall by 0%,111.92%
2025-04-01,50.36,2025-04-01,50.36,2024-07-18-2025-03-04,47.35-55.07,Sell,0 days,-0.0%,Fall by 0%,111.92%
2025-04-29,52.83,2025-04-29,52.83,2024-04-08-2025-03-04,47.35-50.87,Sell,0 days,-0.0%,Fall by 0%,111.92%
2025-05-08,51.31,2025-05-27,53.52,2020-11-05-2024-09-26,37.05-57.3,Sell,13 days,-4.31%,Fall by 1.68%,107.62%
2025-05-22,52.79,2025-05-27,53.52,2025-03-25-2025-04-09,50.52-51.18,Sell,3 days,-1.38%,Fall by 1.68%,106.23%
2025-07-09,54.34,2025-07-09,54.34,2025-03-04-2025-06-27,46.93-54.87,Buy,0 days,0.0%,Rise by 0%,106.23%
2025-08-27,51.51,2025-09-03,51.44,2025-05-15-2025-08-06,51.52-53.82,Sell,5 days,0.14%,Fall by 1.05%,106.37%
2025-09-24,51.51,2025-09-24,51.51,2025-06-27-2025-08-29,50.95-54.67,Sell,0 days,-0.0%,Fall by 0%,106.37%
2025-10-29,53.61,2025-10-29,53.61,2024-09-26-2025-09-30,50.94-57.0,Sell,0 days,-0.0%,Fall by 0%,106.37%
