Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-03-02,108.58,2021-03-02,108.58,2020-11-04-2021-02-12,105.42-109.65,Buy,0 days,0.0%,Rise by 0%,0.0%
2021-04-23,109.12,2021-04-23,109.12,2021-01-20-2021-03-19,107.59-109.06,Sell,0 days,-0.0%,Fall by 0%,0.0%
2021-05-14,108.82,2021-07-16,109.57,2021-03-19-2021-04-29,106.93-109.35,Buy,45 days,0.69%,Rise by 0.39%,0.69%
2021-06-04,108.99,2021-06-07,109.07,2021-04-29-2021-05-19,108.44-109.12,Sell,1 days,-0.07%,Fall by 0.23%,0.62%
2021-07-21,109.64,2021-07-21,109.64,2021-05-19-2021-07-07,108.11-110.1,Buy,0 days,0.0%,Rise by 0%,0.62%
2021-09-07,109.62,2021-09-10,109.71,2021-07-07-2021-08-19,108.89-109.86,Sell,3 days,-0.08%,Fall by 1.49%,0.53%
2021-10-08,108.45,2021-10-08,108.45,2021-08-19-2021-09-23,108.6-110.14,Buy,0 days,0.0%,Rise by 0%,0.53%
2021-11-15,108.41,2021-11-15,108.41,2021-04-29-2021-10-11,108.46-109.12,Sell,0 days,-0.0%,Fall by 0%,0.53%
2022-01-03,108.5,2022-01-03,108.5,2021-07-07-2021-12-01,107.2-109.86,Sell,0 days,-0.0%,Fall by 0%,0.53%
2022-01-26,105.83,2022-02-01,105.75,2021-08-19-2021-09-23,108.6-110.14,Sell,4 days,0.08%,Fall by 5.82%,0.61%
2022-01-27,105.34,2022-01-27,105.34,2021-05-19-2021-09-23,108.11-110.14,Sell,0 days,-0.0%,Fall by 0%,0.61%
2022-02-04,104.57,2022-02-04,104.57,2021-03-19-2021-07-07,106.93-110.1,Sell,0 days,-0.0%,Fall by 0%,0.61%
2022-02-11,103.13,2022-02-11,103.13,2020-11-04-2021-09-23,105.42-110.14,Sell,0 days,-0.0%,Fall by 0%,0.61%
2022-03-25,101.33,2022-04-13,100.58,2021-12-27-2022-03-14,101.02-108.75,Sell,13 days,0.74%,Fall by 6.41%,1.35%
2022-04-05,101.61,2022-04-13,100.58,2021-11-08-2022-03-14,101.02-109.13,Sell,6 days,1.01%,Fall by 6.41%,2.36%
2022-04-22,98.79,2022-04-26,98.87,2021-02-12-2022-03-14,101.02-109.36,Sell,2 days,-0.08%,Fall by 4.79%,2.28%
2022-06-06,96.74,2022-06-10,93.53,2021-12-27-2022-05-19,94.9-108.75,Sell,4 days,3.32%,Fall by 3.12%,5.6%
2022-07-01,91.04,2022-07-07,92.08,2022-05-27-2022-06-13,91.91-98.55,Sell,4 days,-1.14%,Fall by 4.37%,4.46%
2022-08-18,96.09,2022-08-18,96.09,2021-01-20-2022-06-13,91.91-109.06,Sell,0 days,-0.0%,Fall by 0%,4.46%
