Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2004-12-31,102.51,2005-09-30,113.46,1999-12-31-2002-03-31,101.22-135.16,Sell,195 days,-10.68%,Fall by 1.6%,-10.68%,
2006-12-31,118.98,2008-06-30,106.12,2005-03-31-2005-12-31,101.66-121.37,Buy,390 days,-10.81%,Rise by -15.31%,-21.49%,
2008-03-31,99.85,2008-03-31,99.85,2005-03-31-2007-06-30,101.66-124.12,Sell,0 days,-0.0%,Fall by 0%,-21.49%,
2008-09-30,106.07,2008-12-31,90.65,2002-03-31-2005-03-31,107.63-126.47,Sell,66 days,14.54%,Fall by 0.86%,-6.95%,
2016-03-31,112.366,2016-06-30,102.778,2011-12-31-2015-06-30,75.57-125.822,Sell,65 days,8.53%,Fall by -10.29%,1.58%,
2016-06-30,102.778,2016-12-31,116.267,2005-03-31-2015-06-30,101.66-125.822,Sell,131 days,-13.12%,Fall by 8.42%,-11.54%,
2016-09-30,101.199,2016-12-31,116.267,2007-06-30-2011-12-31,79.52-117.51,Sell,65 days,-14.89%,Fall by 8.42%,-26.43%,
2017-03-31,111.776,2025-11-03,153.94,2011-12-31-2015-06-30,75.57-125.822,Buy,2241 days,37.72%,Rise by 0.0%,11.29%,
2018-09-30,113.357,2018-09-30,113.357,2005-03-31-2015-06-30,101.66-125.822,Buy,0 days,0.0%,Rise by 0%,11.29%,
2020-03-31,108.035,2020-09-30,105.664,2015-06-30-2018-03-31,113.37-118.507,Sell,131 days,2.19%,Fall by -25.79%,13.48%,
2021-06-30,110.535,2021-09-30,111.936,1998-09-30-2011-12-31,79.52-129.1,Sell,66 days,-1.27%,Fall by -26.35%,12.22%,
2024-09-30,142.783,2024-09-30,142.783,2009-12-31-2024-09-30,84.89-161.942,Sell,0 days,-0.0%,Fall by 0%,12.22%,
2025-03-31,149.617,2025-03-31,149.617,2016-09-30-2022-12-31,99.573-151.937,Buy,0 days,0.0%,Rise by 0%,12.22%,
