Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2007-09-02,115.77,2022-08-07,132.621,2006-05-21-2007-06-24,109.0-124.12,Buy,3894 days,14.56%,Rise by 13.24%,14.56%,
2007-11-25,108.12,2007-12-16,113.26,2007-02-11-2007-08-19,118.49-119.99,Sell,14 days,-4.75%,Fall by 12.56%,9.8%,
2008-06-15,108.15,2008-06-15,108.15,2006-10-15-2008-03-23,100.43-118.81,Sell,0 days,-0.0%,Fall by 0%,9.8%,
2008-10-26,94.27,2008-11-09,98.09,2008-03-23-2008-10-12,95.84-110.39,Sell,9 days,-4.05%,Fall by 9.51%,5.75%,
2009-05-17,95.11,2009-05-17,95.11,2006-10-15-2008-12-21,91.3-118.81,Sell,0 days,-0.0%,Fall by 0%,5.75%,
2010-02-14,89.95,2010-02-14,89.95,2007-06-24-2009-11-29,89.164-123.1,Sell,0 days,-0.0%,Fall by 0%,5.75%,
2010-06-13,91.62,2010-07-04,87.79,2007-02-11-2009-11-29,89.164-119.99,Sell,14 days,4.18%,Fall by 7.99%,9.93%,
2010-08-29,84.346,2010-10-03,83.57,2009-11-29-2010-05-09,84.89-94.964,Sell,24 days,0.92%,Fall by 2.5%,10.85%,
2011-01-23,82.92,2011-03-20,79.5,2010-05-09-2010-11-07,81.467-88.26,Sell,39 days,4.12%,Fall by -0.99%,14.97%,
2011-05-15,81.04,2011-07-24,78.584,2009-04-12-2010-11-07,81.467-99.395,Sell,49 days,3.03%,Fall by 2.9%,18.0%,
2011-08-14,76.86,2011-09-04,76.86,2010-05-09-2011-03-20,82.37-88.26,Sell,14 days,-0.0%,Fall by 1.21%,18.0%,
2012-04-22,81.609,2012-04-22,81.609,2008-10-12-2011-03-20,82.37-98.15,Sell,0 days,-0.0%,Fall by 0%,18.0%,
2012-06-17,79.422,2012-06-17,79.422,2011-11-06-2012-03-18,75.57-84.152,Buy,0 days,0.0%,Rise by 0%,18.0%,
2012-08-05,78.22,2012-08-19,79.25,2012-03-18-2012-06-03,79.63-81.986,Sell,9 days,-1.32%,Fall by -20.5%,16.69%,
2013-06-30,98.476,2014-09-21,108.8,2012-03-18-2012-09-16,78.33-81.986,Sell,319 days,-10.48%,Fall by -6.74%,6.2%,
2014-02-23,102.312,2014-02-23,102.312,2012-09-16-2014-01-05,77.37-105.43,Buy,0 days,0.0%,Rise by 0%,6.2%,
2014-06-08,102.423,2014-10-26,108.161,2009-11-29-2014-01-05,84.89-105.43,Buy,99 days,5.6%,Rise by 11.29%,11.81%,
2015-07-26,123.876,2022-11-13,141.734,2008-03-23-2015-06-07,95.84-125.822,Buy,1904 days,14.42%,Rise by -3.55%,26.22%,
2015-09-13,120.619,2024-05-26,156.973,2012-09-16-2015-06-07,77.37-125.822,Buy,2269 days,30.14%,Rise by -0.32%,56.36%,
2016-02-14,112.497,2016-04-10,108.427,2012-09-16-2015-06-07,77.37-125.822,Sell,39 days,3.62%,Fall by 7.04%,59.98%,
2016-04-10,108.427,2016-06-19,104.743,2006-05-21-2015-06-07,109.0-125.822,Sell,49 days,3.4%,Fall by 4.42%,63.38%,
2017-01-22,114.98,2017-02-26,112.682,2015-06-07-2015-08-30,121.917-123.775,Sell,24 days,2.0%,Fall by 3.18%,65.38%,
2017-02-26,112.682,2017-02-26,112.682,2016-08-21-2016-12-18,99.573-118.647,Buy,0 days,0.0%,Rise by 0%,65.38%,
2017-04-16,109.101,2017-05-07,112.537,2015-06-07-2016-08-21,101.448-123.775,Sell,14 days,-3.15%,Fall by 3.79%,62.23%,
2017-08-20,109.328,2017-09-24,112.452,2016-12-18-2017-04-23,109.411-114.777,Sell,24 days,-2.86%,Fall by 1.07%,59.37%,
2017-12-17,112.396,2018-02-11,108.529,2016-12-18-2017-09-10,109.908-114.777,Sell,39 days,3.44%,Fall by -1.81%,62.81%,
2018-02-11,108.529,2022-11-13,141.734,2017-09-10-2017-11-12,107.322-114.725,Buy,1239 days,30.6%,Rise by -3.55%,93.41%,
2018-03-04,106.163,2018-03-18,106.309,2017-09-10-2017-11-12,107.322-114.725,Sell,9 days,-0.14%,Fall by -3.94%,93.27%,
2018-07-01,110.486,2018-07-01,110.486,2016-12-18-2018-03-25,106.583-114.777,Sell,0 days,-0.0%,Fall by 0%,93.27%,
2019-01-20,109.153,2022-11-13,141.734,2018-03-25-2018-10-07,104.667-114.511,Buy,994 days,29.85%,Rise by -3.55%,123.12%,
2019-04-14,111.621,2019-06-23,107.277,2018-10-07-2019-01-06,110.468-113.518,Sell,49 days,3.89%,Fall by 1.31%,127.01%,
2020-02-09,109.968,2020-02-09,109.968,2018-10-07-2019-09-01,106.537-113.518,Sell,0 days,-0.0%,Fall by 0%,127.01%,
2020-05-24,107.631,2021-12-19,113.663,2019-09-01-2020-02-23,104.871-112.186,Buy,409 days,5.6%,Rise by 15.09%,132.61%,
2020-07-12,107.236,2020-07-12,107.236,2016-12-18-2020-03-15,107.471-114.777,Sell,0 days,-0.0%,Fall by 0%,132.61%,
2020-12-20,103.131,2021-01-03,103.226,2019-09-01-2020-02-23,104.871-112.186,Sell,9 days,-0.09%,Fall by -5.99%,132.52%,
