Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2015-08-31,30.36,2015-10-31,36.23,2013-08-31-2015-06-30,25.85-44.68,Sell,44 days,-19.33%,Fall by 4.14%,-19.33%,
2016-04-30,36.29,2018-09-30,48.82,2013-08-31-2015-06-30,25.85-44.68,Buy,629 days,34.53%,Rise by -0.14%,15.19%,
2018-02-28,63.4,2018-03-31,61.43,2015-08-31-2018-01-31,26.0-68.39,Sell,22 days,3.11%,Fall by 17.48%,18.3%,
2021-03-31,76.35,2021-05-31,70.4,2015-08-31-2021-02-28,26.0-104.94,Sell,43 days,7.79%,Fall by 32.19%,26.09%,
2021-04-30,75.14,2021-05-31,70.4,2019-01-31-2021-02-28,36.03-104.94,Sell,21 days,6.31%,Fall by 32.19%,32.4%,
2021-07-31,50.46,2021-09-30,47.32,2018-01-31-2019-01-31,43.95-59.28,Sell,43 days,6.22%,Fall by 29.29%,38.62%,
2021-10-31,47.74,2021-10-31,47.74,2019-01-31-2021-02-28,36.03-104.94,Buy,0 days,0.0%,Rise by 0%,38.62%,
2023-07-31,31.96,2023-07-31,31.96,2022-10-31-2023-01-31,17.22-36.19,Buy,0 days,0.0%,Rise by 0%,38.62%,
2023-10-31,26.05,2024-01-31,23.34,2022-10-31-2023-01-31,17.22-36.19,Sell,66 days,10.4%,Fall by -10.07%,49.03%,
2025-03-31,34.91,2025-04-30,32.1,2023-01-31-2024-01-31,26.51-31.22,Sell,22 days,8.05%,Fall by -24.45%,57.08%,
