Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-02-26,172.0,2021-02-26,172.0,2021-01-15-2021-02-09,162.58-190.0,Buy,0 days,0.0%,Rise by 0%,0.0%
2021-03-03,163.16,2021-03-04,135.49,2021-01-15-2021-02-09,162.58-190.0,Sell,1 days,16.96%,Fall by -0.9%,16.96%
2021-03-23,148.5,2021-04-27,156.15,2021-02-09-2021-03-05,138.93-183.18,Sell,25 days,-5.15%,Fall by 10.2%,11.81%
2021-04-22,150.0,2021-04-27,156.15,2020-11-04-2021-03-05,138.93-212.79,Sell,3 days,-4.1%,Fall by 10.2%,7.71%
2021-05-13,136.71,2021-05-13,136.71,2021-03-05-2021-04-30,124.05-161.9,Buy,0 days,0.0%,Rise by 0%,7.71%
2021-07-16,157.52,2021-07-21,163.79,2021-04-30-2021-06-03,134.37-156.85,Sell,3 days,-3.98%,Fall by -6.69%,3.73%
2021-09-16,200.31,2021-11-25,202.39,2021-06-03-2021-09-01,130.88-207.32,Buy,50 days,1.04%,Rise by -11.68%,4.77%
2021-09-29,182.13,2021-09-30,182.74,2021-03-05-2021-09-01,124.05-207.32,Sell,1 days,-0.33%,Fall by -1.23%,4.43%
2021-10-27,189.38,2021-10-29,192.08,2021-09-01-2021-10-04,182.5-203.74,Sell,2 days,-1.43%,Fall by 11.25%,3.0%
2021-11-24,200.02,2021-12-01,187.8,2021-06-03-2021-11-22,130.88-229.98,Sell,5 days,6.11%,Fall by 10.29%,9.11%
2021-12-08,185.51,2021-12-13,178.75,2021-06-03-2021-09-01,130.88-207.32,Sell,3 days,3.64%,Fall by 11.22%,12.76%
2021-12-09,182.9,2021-12-14,175.48,2021-01-15-2021-11-22,162.58-229.98,Sell,3 days,4.06%,Fall by 10.46%,16.81%
2021-12-16,170.47,2021-12-22,173.47,2021-10-04-2021-11-22,171.32-229.98,Sell,4 days,-1.76%,Fall by 10.47%,15.06%
2022-01-05,165.18,2022-01-07,158.69,2021-01-15-2021-09-01,162.58-207.32,Sell,2 days,3.93%,Fall by 5.78%,18.98%
2022-02-09,166.82,2022-02-09,166.82,2021-07-09-2022-01-24,156.18-164.73,Sell,0 days,-0.0%,Fall by 0%,18.98%
2022-02-24,145.49,2022-02-28,145.31,2021-09-01-2022-01-24,156.18-203.74,Sell,2 days,0.12%,Fall by 5.02%,19.11%
2022-03-30,165.05,2022-03-30,165.05,2021-11-22-2022-02-24,146.16-217.88,Sell,0 days,-0.0%,Fall by 0%,19.11%
2022-04-05,169.08,2022-08-15,167.65,2022-02-24-2022-03-23,139.4-172.68,Buy,94 days,-0.85%,Rise by -12.79%,18.26%
2022-04-21,138.01,2022-04-27,142.0,2022-02-24-2022-03-23,139.4-172.68,Sell,4 days,-2.89%,Fall by 10.26%,15.37%
2022-05-30,138.65,2022-05-30,138.65,2021-07-09-2022-05-05,136.78-164.73,Sell,0 days,-0.0%,Fall by 0%,15.37%
2022-06-10,130.39,2022-06-14,121.85,2021-04-30-2022-05-05,136.78-156.85,Sell,2 days,6.55%,Fall by -19.47%,21.92%
2022-06-13,127.43,2022-06-14,121.85,2021-03-05-2021-04-30,124.05-161.9,Sell,1 days,4.38%,Fall by -19.47%,26.3%
2022-07-05,140.81,2022-07-05,140.81,2021-07-09-2022-06-16,124.19-164.73,Sell,0 days,-0.0%,Fall by 0%,26.3%
2022-07-15,145.4,2022-08-04,161.95,2021-04-30-2022-06-16,124.19-156.85,Sell,14 days,-11.38%,Fall by 10.44%,14.92%
2022-08-17,164.42,2022-08-22,157.31,2021-09-01-2022-06-16,124.19-203.74,Sell,3 days,4.32%,Fall by 11.59%,19.24%
2022-08-24,160.12,2023-05-05,180.82,2022-06-16-2022-08-10,119.48-173.45,Buy,182 days,12.93%,Rise by 5.31%,32.17%
2022-08-25,160.75,2022-08-26,155.68,2020-11-04-2022-06-16,124.19-212.79,Sell,1 days,3.15%,Fall by 10.67%,35.32%
2022-09-13,139.07,2022-09-22,131.57,2022-02-24-2022-08-10,139.4-173.45,Sell,7 days,5.39%,Fall by -0.68%,40.72%
2022-09-16,136.01,2022-09-21,137.96,2022-06-16-2022-08-10,119.48-173.45,Sell,3 days,-1.43%,Fall by 3.99%,39.28%
