Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2001-09-30,15.568,2001-12-31,18.9473,2000-03-31-2001-06-30,12.1771-23.5384,Sell,65 days,-21.71%,Fall by 28.68%,-21.71%
2007-12-31,31.8631,2008-06-30,24.4613,2002-12-31-2007-06-30,12.2353-48.4752,Sell,130 days,23.23%,Fall by 37.65%,1.52%
2011-06-30,33.4496,2011-09-30,25.6739,2008-12-31-2011-03-31,11.0747-40.3205,Sell,66 days,23.25%,Fall by -45.17%,24.77%
2013-06-30,40.37,2013-06-30,40.37,2002-12-31-2007-06-30,12.2353-48.4752,Buy,0 days,0.0%,Rise by 0%,24.77%
2015-09-30,68.2,2016-12-31,82.68,2011-09-30-2015-03-31,24.0245-85.0,Sell,327 days,-21.23%,Fall by -51.29%,3.54%
2016-06-30,66.46,2016-06-30,66.46,1999-06-30-2008-12-31,24.3401-15.3816,Sell,0 days,-0.0%,Fall by 0%,3.54%
2016-09-30,67.33,2016-09-30,67.33,2008-12-31-2015-03-31,11.0747-85.0,Buy,0 days,0.0%,Rise by 0%,3.54%
2018-12-31,108.56,2019-03-31,125.09,2008-12-31-2018-03-31,11.0747-149.21,Sell,64 days,-15.23%,Fall by 40.2%,-11.69%
2019-06-30,140.29,2020-09-30,92.58,2011-09-30-2018-03-31,24.0245-149.21,Buy,327 days,-34.01%,Rise by 89.84%,-45.7%
2019-09-30,124.37,2019-12-31,151.43,2016-03-31-2018-03-31,56.43-149.21,Sell,66 days,-21.76%,Fall by 38.86%,-67.45%
2020-03-31,74.81,2020-06-30,85.73,2018-12-31-2019-12-31,100.62-153.39,Sell,65 days,-14.6%,Fall by -63.47%,-82.05%
2020-09-30,92.58,2020-09-30,92.58,2011-09-30-2015-03-31,24.0245-85.0,Buy,0 days,0.0%,Rise by 0%,-82.05%
2022-12-31,148.89,2025-11-03,260.58,2018-12-31-2019-12-31,100.62-153.39,Buy,740 days,75.02%,Rise by 0.0%,-7.04%
2025-03-31,238.2,2025-06-30,273.21,2020-03-31-2025-03-31,46.56-307.52,Sell,65 days,-14.7%,Fall by 4.62%,-21.73%
