Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1968-06-30,0.4475,1968-09-30,0.4959,1966-09-30-1968-06-30,0.1718-0.965,Sell,65 days,-10.82%,Fall by 49.38%,-10.82%,
1973-06-30,1.4105,1973-09-30,1.7346,1966-09-30-1972-12-31,0.1718-1.9105,Sell,64 days,-22.98%,Fall by 31.85%,-33.79%,
1973-12-31,1.4074,1974-03-31,1.2994,1969-09-30-1972-12-31,0.214-1.9105,Sell,64 days,7.67%,Fall by 44.18%,-26.12%,
1978-09-30,1.2593,1991-06-30,8.2188,1969-09-30-1972-12-31,0.214-1.9105,Buy,3324 days,552.65%,Rise by 57.79%,526.53%,
1983-06-30,2.4259,1984-09-30,2.7986,1980-03-31-1983-06-30,0.8951-2.7593,Sell,326 days,-15.36%,Fall by -81.27%,511.17%,
1983-09-30,2.3935,1984-09-30,2.7986,1974-12-31-1983-06-30,0.5247-2.7593,Sell,260 days,-16.93%,Fall by -81.27%,494.24%,
1984-12-31,2.8681,1987-09-30,6.75,1980-03-31-1983-06-30,0.8951-2.7593,Buy,717 days,135.35%,Rise by -14.58%,629.59%,
1987-12-31,5.5,1989-03-31,6.4219,1980-03-31-1987-09-30,0.8951-7.6406,Sell,326 days,-16.76%,Fall by -1.22%,612.83%,
1988-03-31,5.4375,1988-06-30,5.7656,1969-09-30-1987-09-30,0.214-7.6406,Sell,65 days,-6.03%,Fall by -12.74%,606.79%,
1988-12-31,6.0156,1989-06-30,7.3125,1976-06-30-1980-03-31,1.1296-1.2778,Sell,129 days,-21.56%,Fall by 11.11%,585.23%,
1997-03-31,23.625,2001-03-31,26.55,1980-03-31-1996-03-31,0.8951-27.125,Buy,1044 days,12.38%,Rise by 7.16%,597.61%,
1997-12-31,23.875,1998-03-31,30.0,1987-12-31-1996-03-31,3.9219-27.125,Sell,64 days,-25.65%,Fall by -9.79%,571.96%,
1998-06-30,34.5,2001-12-31,26.47,1966-09-30-1996-03-31,0.1718-27.125,Buy,914 days,-23.28%,Rise by -33.28%,548.68%,
2000-03-31,37.375,2000-06-30,32.9375,1997-12-31-1999-12-31,21.0625-49.5625,Sell,65 days,11.87%,Fall by 19.39%,560.56%,
2001-09-30,27.14,2001-09-30,27.14,1997-12-31-1999-12-31,21.0625-49.5625,Buy,0 days,0.0%,Rise by 0%,560.56%,
2002-09-30,17.66,2002-12-31,16.08,1974-12-31-1996-03-31,0.5247-27.125,Sell,66 days,8.95%,Fall by -93.66%,569.5%,
2002-12-31,16.08,2003-03-31,14.46,1980-03-31-1996-03-31,0.8951-27.125,Sell,64 days,10.07%,Fall by -91.91%,579.58%,
2009-03-31,54.57,2009-12-31,62.44,2003-03-31-2008-09-30,12.12-67.0,Sell,197 days,-14.42%,Fall by -57.11%,565.16%,
2009-09-30,57.07,2010-03-31,66.72,1997-12-31-2008-09-30,21.0625-67.0,Sell,130 days,-16.91%,Fall by -32.69%,548.25%,
2009-12-31,62.44,2010-09-30,74.51,1996-03-31-2003-03-31,17.38-21.25,Sell,195 days,-19.33%,Fall by -18.39%,528.92%,
2012-06-30,88.53,2013-03-31,99.69,2008-12-31-2012-03-31,45.79-102.22,Sell,194 days,-12.61%,Fall by 4.63%,516.31%,
2013-06-30,99.0,2013-06-30,99.0,1997-12-31-2012-03-31,21.0625-102.22,Buy,0 days,0.0%,Rise by 0%,516.31%,
2014-12-31,93.7,2014-12-31,93.7,2008-12-31-2014-06-30,45.79-103.78,Sell,0 days,-0.0%,Fall by 0%,516.31%,
2015-06-30,95.07,2015-06-30,95.07,2012-12-31-2014-06-30,83.31-103.78,Buy,0 days,0.0%,Rise by 0%,516.31%,
2015-09-30,98.53,2015-12-31,118.14,1999-12-31-2003-03-31,17.38-38.3125,Sell,66 days,-19.9%,Fall by 2.35%,496.41%,
2017-06-30,153.16,2020-03-31,165.35,2008-12-31-2016-06-30,45.79-131.96,Buy,717 days,7.96%,Rise by 49.31%,504.37%,
2020-03-31,165.35,2020-06-30,184.47,2015-09-30-2019-09-30,87.5-221.93,Sell,65 days,-11.56%,Fall by -25.08%,492.8%,
2020-09-30,219.49,2023-06-30,298.41,2015-09-30-2016-06-30,87.5-131.96,Buy,717 days,35.96%,Rise by -14.6%,528.76%,
