Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2006-12-03,42.08,2007-03-25,45.05,2006-02-12-2006-06-18,33.62-35.9,Sell,79 days,-7.06%,Fall by -5.59%,-7.06%,
2008-01-13,54.32,2008-01-20,52.4,2006-06-18-2007-12-16,31.73-63.69,Sell,4 days,3.53%,Fall by 0.25%,-3.52%,
2008-06-22,57.4,2008-10-26,53.06,2006-06-18-2007-12-16,31.73-63.69,Buy,89 days,-7.56%,Rise by 20.15%,-11.08%,
2008-09-21,63.98,2010-02-28,63.85,2006-06-18-2008-08-17,31.73-67.0,Buy,374 days,-0.2%,Rise by 11.43%,-11.29%,
2008-10-19,53.8,2008-10-26,53.06,2006-06-18-2008-08-17,31.73-67.0,Sell,4 days,1.38%,Fall by 1.77%,-9.91%,
2009-02-15,56.81,2009-02-22,54.57,2007-12-16-2008-10-12,59.84-60.7,Sell,4 days,3.94%,Fall by -0.9%,-5.97%,
2009-12-27,63.42,2010-04-25,71.15,2009-06-07-2009-09-20,57.0-58.92,Sell,84 days,-12.19%,Fall by 7.04%,-18.16%,
2011-01-30,73.28,2011-08-21,87.23,2008-10-12-2010-12-12,45.79-80.94,Buy,144 days,19.04%,Rise by 16.63%,0.88%,
2012-06-03,86.71,2013-01-20,92.26,2008-10-12-2012-01-22,45.79-102.22,Sell,164 days,-6.4%,Fall by -4.67%,-5.52%,
2012-06-24,88.35,2016-02-28,117.06,2006-06-18-2012-01-22,31.73-102.22,Buy,959 days,32.5%,Rise by 11.55%,26.97%,
2012-11-18,84.12,2013-01-20,92.26,2006-06-18-2012-01-22,31.73-102.22,Sell,44 days,-9.68%,Fall by -4.67%,17.3%,
2012-11-25,87.05,2012-12-02,87.04,2012-01-22-2012-06-10,89.78-100.05,Sell,4 days,0.01%,Fall by -10.95%,17.31%,
2013-01-20,92.26,2016-02-28,117.06,2008-10-12-2012-01-22,45.79-102.22,Buy,809 days,26.88%,Rise by 11.55%,44.19%,
2013-05-19,101.54,2013-06-02,96.57,2012-01-22-2012-11-18,85.61-100.05,Sell,9 days,4.89%,Fall by 2.29%,49.08%,
2013-10-27,94.78,2013-10-27,94.78,2012-11-18-2013-04-14,83.31-103.7,Buy,0 days,0.0%,Rise by 0%,49.08%,
2014-02-23,96.45,2025-06-15,301.91,2008-10-12-2013-04-14,45.79-103.7,Buy,2949 days,213.02%,Rise by 4.13%,262.11%,
2014-06-22,101.92,2014-06-29,101.46,2013-12-01-2014-02-09,95.95-96.95,Sell,4 days,0.45%,Fall by 8.27%,262.56%,
2014-06-29,101.46,2016-06-12,122.36,2014-02-09-2014-05-18,92.22-103.78,Buy,509 days,20.6%,Rise by 0.72%,283.16%,
2014-09-28,94.7,2017-10-08,159.6,2008-10-12-2014-05-18,45.79-103.78,Buy,789 days,68.53%,Rise by 9.06%,351.69%,
2014-10-19,91.04,2014-11-02,93.73,2014-02-09-2014-05-18,92.22-103.78,Sell,9 days,-2.95%,Fall by 4.45%,348.73%,
2015-01-04,93.26,2016-02-28,117.06,2006-06-18-2013-04-14,31.73-103.7,Buy,299 days,25.52%,Rise by 11.55%,374.25%,
2015-07-05,96.17,2015-09-13,97.41,2014-12-21-2015-03-08,87.62-101.09,Buy,49 days,1.29%,Rise by 21.72%,375.54%,
2015-09-27,97.59,2015-10-25,112.59,2014-05-18-2014-12-21,94.32-102.15,Sell,19 days,-15.37%,Fall by -6.08%,360.17%,
2016-03-13,121.55,2016-03-13,121.55,2013-12-01-2015-08-30,97.37-96.95,Sell,0 days,-0.0%,Fall by 0%,360.17%,
2016-06-19,122.27,2016-06-19,122.27,2015-08-30-2016-05-15,87.5-131.96,Buy,0 days,0.0%,Rise by 0%,360.17%,
2016-06-26,119.44,2016-07-17,123.61,2015-08-30-2016-05-15,87.5-131.96,Sell,14 days,-3.49%,Fall by 10.17%,356.68%,
2016-07-31,117.65,2016-09-11,114.58,2012-11-18-2016-05-15,83.31-131.96,Sell,29 days,2.61%,Fall by 3.09%,359.29%,
2016-09-11,114.58,2018-01-14,173.57,2008-10-12-2016-05-15,45.79-131.96,Buy,349 days,51.48%,Rise by -14.58%,410.78%,
2016-11-06,111.04,2018-02-25,163.06,2006-06-18-2016-05-15,31.73-131.96,Buy,339 days,46.85%,Rise by 3.59%,457.62%,
2018-02-11,160.8,2018-03-04,148.27,2014-02-09-2018-02-04,92.22-178.7,Sell,14 days,7.79%,Fall by -5.68%,465.42%,
2018-02-18,157.79,2018-02-25,163.06,2016-10-23-2018-02-04,110.33-178.7,Sell,4 days,-3.34%,Fall by 3.91%,462.08%,
2018-03-04,148.27,2018-05-06,165.03,2012-11-18-2018-02-04,83.31-178.7,Sell,44 days,-11.3%,Fall by 5.05%,450.77%,
2018-03-11,157.24,2018-03-18,162.36,2016-05-15-2016-10-23,114.5-128.71,Sell,4 days,-3.26%,Fall by 3.49%,447.52%,
2018-03-18,162.36,2019-01-13,182.37,2008-10-12-2018-02-04,45.79-178.7,Buy,214 days,12.32%,Rise by 21.26%,459.84%,
2018-05-13,165.39,2018-12-30,175.56,2015-08-30-2018-02-04,87.5-178.7,Buy,164 days,6.15%,Rise by 25.97%,465.99%,
2018-06-24,164.55,2019-01-13,182.37,2016-10-23-2018-02-04,110.33-178.7,Buy,144 days,10.83%,Rise by 21.26%,476.82%,
2018-08-05,156.21,2018-10-07,166.57,2015-08-30-2018-02-04,87.5-178.7,Sell,44 days,-6.63%,Fall by -4.55%,470.19%,
2019-10-20,208.5,2020-12-06,210.74,2018-03-04-2019-08-11,146.84-221.93,Buy,294 days,1.07%,Rise by 12.02%,471.26%,
2019-11-24,193.14,2021-05-30,233.89,2015-08-30-2019-08-11,87.5-221.93,Buy,394 days,21.1%,Rise by 3.88%,492.36%,
2020-03-01,194.17,2020-03-15,177.13,2016-10-23-2019-08-11,110.33-221.93,Sell,9 days,8.78%,Fall by -20.25%,501.14%,
2020-03-15,177.13,2020-03-22,148.49,2018-03-04-2019-08-11,146.84-221.93,Sell,4 days,16.17%,Fall by -43.44%,517.3%,
2020-03-22,148.49,2020-03-29,164.01,2015-08-30-2019-08-11,87.5-221.93,Sell,4 days,-10.45%,Fall by -29.87%,506.85%,
2020-04-05,160.33,2022-02-06,260.06,2016-10-23-2019-08-11,110.33-221.93,Buy,479 days,62.2%,Rise by -3.31%,569.06%,
2020-07-12,184.88,2021-08-22,238.49,2008-10-12-2019-08-11,45.79-221.93,Buy,289 days,29.0%,Rise by 6.8%,598.05%,
2020-07-19,191.48,2020-08-23,211.57,2019-08-11-2019-11-10,196.0-209.43,Sell,24 days,-10.49%,Fall by -0.68%,587.56%,
2020-11-22,214.09,2021-02-14,213.9,2019-08-11-2020-03-22,161.92-209.43,Sell,59 days,0.09%,Fall by -7.35%,587.65%,
2020-11-29,218.33,2022-12-04,273.4,2020-03-22-2020-10-18,124.23-231.91,Buy,524 days,25.22%,Rise by -0.34%,612.87%,
2020-12-13,207.76,2021-02-14,213.9,2018-03-04-2020-10-18,146.84-231.91,Sell,44 days,-2.96%,Fall by -7.35%,609.92%,
2021-02-14,213.9,2021-08-29,237.48,2014-02-09-2020-10-18,92.22-231.91,Buy,139 days,11.02%,Rise by 7.26%,620.94%,
2021-09-05,238.82,2021-12-12,264.97,2020-10-18-2021-03-07,210.38-223.12,Sell,69 days,-10.95%,Fall by 11.01%,609.99%,
2022-02-13,255.16,2023-01-08,269.47,2018-03-04-2022-01-09,146.84-271.15,Buy,234 days,5.61%,Rise by 10.07%,615.6%,
2022-03-06,235.81,2022-03-13,226.87,2018-03-04-2022-01-09,146.84-271.15,Sell,4 days,3.79%,Fall by -3.1%,619.39%,
2022-03-13,226.87,2022-04-10,251.46,2016-10-23-2022-01-09,110.33-271.15,Sell,19 days,-10.84%,Fall by 8.24%,608.55%,
2022-03-27,241.58,2022-03-27,241.58,2020-03-22-2022-01-09,124.23-271.15,Buy,0 days,0.0%,Rise by 0%,608.55%,
2022-05-22,233.91,2022-07-03,252.96,2020-03-22-2022-01-09,124.23-271.15,Sell,29 days,-8.14%,Fall by 8.78%,600.41%,
2022-06-05,248.36,2025-04-06,300.11,2016-10-23-2022-01-09,110.33-271.15,Buy,739 days,20.84%,Rise by 4.75%,621.24%,
2023-01-22,268.58,2023-06-04,289.91,2021-03-07-2022-01-09,202.73-271.15,Buy,94 days,7.94%,Rise by -14.38%,629.19%,
2023-10-08,248.22,2023-11-19,275.75,2020-03-22-2023-07-23,124.23-299.35,Sell,29 days,-11.09%,Fall by 3.29%,618.1%,
2023-10-22,258.11,2025-04-06,300.11,2021-03-07-2023-07-23,202.73-299.35,Buy,379 days,16.27%,Rise by 4.75%,634.37%,
2023-10-29,255.76,2023-11-26,282.54,2018-03-04-2023-07-23,146.84-299.35,Sell,19 days,-10.47%,Fall by 5.61%,623.9%,
2024-02-25,297.75,2024-11-17,292.63,2022-03-13-2023-07-23,217.68-299.35,Buy,189 days,-1.72%,Rise by 9.79%,622.18%,
2024-03-03,290.73,2024-03-17,279.14,2023-07-23-2023-10-08,262.07-292.46,Sell,9 days,3.99%,Fall by 10.05%,626.16%,
2024-04-28,273.09,2024-11-17,292.63,2022-03-13-2024-01-28,217.68-302.39,Buy,144 days,7.16%,Rise by 9.79%,633.32%,
2024-05-19,272.38,2024-11-17,292.63,2020-03-22-2023-07-23,124.23-299.35,Buy,129 days,7.43%,Rise by 9.79%,640.75%,
2024-05-26,258.11,2024-07-28,252.0,2018-03-04-2024-01-28,146.84-302.39,Sell,44 days,2.37%,Fall by -15.19%,643.12%,
2024-06-16,253.58,2024-08-25,289.52,2020-03-22-2024-01-28,124.23-302.39,Sell,49 days,-14.17%,Fall by -0.26%,628.95%,
2024-07-07,251.09,2024-08-04,276.69,2016-10-23-2024-01-28,110.33-302.39,Sell,19 days,-10.2%,Fall by -4.91%,618.75%,
2024-07-28,252.0,2024-08-18,278.49,2014-02-09-2024-01-28,92.22-302.39,Sell,14 days,-10.51%,Fall by -4.23%,608.24%,
2025-04-20,311.3,2025-04-27,316.74,2024-01-28-2024-07-14,256.92-291.7,Sell,4 days,-1.75%,Fall by 9.24%,606.49%,
2025-04-27,316.74,2025-07-13,299.91,2023-10-08-2025-03-16,245.73-326.32,Buy,54 days,-5.31%,Rise by 4.82%,601.18%,
2025-06-01,313.85,2025-08-17,308.93,2024-07-14-2025-03-16,243.53-326.32,Buy,54 days,-1.57%,Rise by -3.4%,599.61%,
2025-07-13,299.91,2025-10-05,300.98,2020-03-22-2025-03-16,124.23-326.32,Buy,59 days,0.36%,Rise by -0.85%,599.97%,
2025-10-12,297.01,2025-10-12,297.01,2022-03-13-2025-03-16,217.68-326.32,Sell,0 days,-0.0%,Fall by 0%,599.97%,
