Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-04-23,5.69,2021-04-23,5.69,2021-01-07-2021-04-06,5.575-8.79,Sell,0 days,-0.0%,Fall by 0%,0.0%
2021-05-05,5.52,2021-05-05,5.52,2021-04-06-2021-04-16,5.04-6.25,Buy,0 days,0.0%,Rise by 0%,0.0%
2021-07-08,5.28,2021-07-08,5.28,2021-04-16-2021-06-22,5.19-5.83,Sell,0 days,-0.0%,Fall by 0%,0.0%
2021-08-16,5.03,2021-08-20,5.09,2021-04-06-2021-04-16,5.04-6.25,Sell,4 days,-1.19%,Fall by 0.79%,-1.19%
2021-09-07,5.14,2021-09-07,5.14,2021-03-17-2021-08-18,4.99-5.57,Sell,0 days,-0.0%,Fall by 0%,-1.19%
2021-11-01,4.93,2021-11-01,4.93,2021-03-17-2021-10-15,5.01-5.57,Sell,0 days,-0.0%,Fall by 0%,-1.19%
2021-11-15,4.8,2021-11-15,4.8,2021-07-12-2021-10-15,5.01-5.25,Sell,0 days,-0.0%,Fall by 0%,-1.19%
2021-12-08,4.77,2021-12-08,4.77,2021-03-17-2021-11-22,4.62-5.57,Sell,0 days,-0.0%,Fall by 0%,-1.19%
2022-01-07,4.685,2022-01-14,4.77,2021-10-22-2021-11-22,4.62-4.995,Sell,5 days,-1.81%,Fall by 9.01%,-3.01%
2022-01-28,4.34,2022-02-02,4.6,2021-11-22-2022-01-05,4.45-4.97,Sell,3 days,-5.99%,Fall by -2.39%,-9.0%
2022-02-28,4.995,2022-03-14,5.145,2021-11-22-2022-01-05,4.45-4.97,Buy,10 days,3.0%,Rise by 1.07%,-5.99%
2022-03-01,5.25,2022-03-10,5.08,2022-01-05-2022-01-31,4.44-4.78,Sell,7 days,3.24%,Fall by 10.04%,-2.76%
2022-03-15,5.14,2023-02-23,5.34,2022-01-31-2022-03-02,4.33-5.36,Buy,247 days,3.89%,Rise by 1.31%,1.13%
2022-05-13,4.47,2022-05-17,4.44,2021-11-22-2022-03-02,4.45-5.36,Sell,2 days,0.67%,Fall by 1.8%,1.81%
2022-06-15,4.5,2022-06-16,4.48,2022-03-02-2022-05-13,4.61-5.12,Sell,1 days,0.44%,Fall by -5.8%,2.25%
2022-06-21,4.37,2022-06-23,4.42,2022-01-31-2022-03-02,4.33-5.36,Sell,2 days,-1.14%,Fall by -7.24%,1.11%
2022-07-18,4.86,2022-07-18,4.86,2021-03-17-2022-06-21,4.4-5.57,Sell,0 days,-0.0%,Fall by 0%,1.11%
2022-08-24,5.1,2022-08-24,5.1,2021-04-16-2022-06-21,4.4-5.83,Sell,0 days,-0.0%,Fall by 0%,1.11%
2022-08-31,5.005,2023-07-20,5.47,2022-06-21-2022-08-22,4.32-5.35,Buy,231 days,9.29%,Rise by 0.55%,10.4%
2022-09-23,5.0,2022-09-29,4.85,2022-08-22-2022-09-07,4.96-5.21,Sell,4 days,3.0%,Fall by 7.22%,13.4%
2022-11-07,4.81,2022-11-09,4.54,2022-08-22-2022-10-20,4.58-5.21,Sell,2 days,5.61%,Fall by -15.86%,19.01%
2022-11-08,4.7,2022-11-09,4.54,2022-09-19-2022-10-20,4.58-5.085,Sell,1 days,3.4%,Fall by -15.86%,22.41%
2023-03-13,5.21,2023-07-12,5.5,2022-10-20-2023-02-17,4.45-5.49,Buy,87 days,5.57%,Rise by 2.64%,27.98%
2023-06-12,5.25,2023-06-14,5.42,2023-02-17-2023-03-23,5.095-5.36,Sell,2 days,-3.24%,Fall by 1.94%,24.74%
2023-07-07,5.6,2023-07-07,5.6,2021-01-07-2022-06-21,4.4-8.79,Sell,0 days,-0.0%,Fall by 0%,24.74%
2023-07-19,5.38,2024-01-31,5.55,2023-03-23-2023-06-30,4.99-5.66,Buy,140 days,3.16%,Rise by 8.11%,27.9%
2023-09-11,5.15,2023-09-15,5.36,2023-06-30-2023-07-21,5.47-5.49,Sell,4 days,-4.08%,Fall by 9.89%,23.82%
2023-10-12,5.2,2023-10-12,5.2,2023-06-30-2023-09-13,5.3-5.49,Sell,0 days,-0.0%,Fall by 0%,23.82%
2023-10-20,4.85,2023-11-01,4.89,2023-03-23-2023-06-30,4.99-5.66,Sell,8 days,-0.82%,Fall by -11.66%,23.0%
2023-11-22,5.1,2023-12-12,5.315,2023-07-31-2023-10-30,4.85-5.49,Sell,14 days,-4.22%,Fall by -2.73%,18.78%
2024-01-16,5.565,2024-04-22,5.92,2021-01-07-2021-11-22,4.62-8.79,Sell,69 days,-6.38%,Fall by -3.04%,12.4%
2024-03-01,5.9,2024-03-13,5.68,2021-01-07-2021-10-15,5.01-8.79,Sell,8 days,3.73%,Fall by -0.53%,16.13%
2024-03-14,5.7,2024-05-15,6.01,2023-03-23-2024-03-05,4.99-6.0,Buy,44 days,5.44%,Rise by 12.48%,21.57%
2024-03-19,5.795,2024-06-06,6.475,2023-10-30-2024-03-05,4.755-6.0,Buy,57 days,11.73%,Rise by 6.41%,33.31%
2024-06-12,6.37,2024-06-12,6.37,2023-03-23-2024-05-31,4.99-6.76,Buy,0 days,0.0%,Rise by 0%,33.31%
2024-06-27,6.29,2024-06-27,6.29,2023-10-30-2024-05-31,4.755-6.76,Buy,0 days,0.0%,Rise by 0%,33.31%
2024-07-25,6.69,2024-07-26,6.53,2024-04-04-2024-04-18,5.84-5.85,Sell,1 days,2.39%,Fall by 8.73%,35.7%
2024-07-29,6.55,2024-07-29,6.55,2022-01-31-2024-07-19,4.33-6.89,Buy,0 days,0.0%,Rise by 0%,35.7%
2024-08-07,6.42,2024-08-07,6.42,2023-10-30-2024-07-19,4.755-6.89,Buy,0 days,0.0%,Rise by 0%,35.7%
2024-08-08,6.21,2024-08-30,6.34,2022-06-21-2024-07-19,4.32-6.89,Sell,16 days,-2.09%,Fall by 8.52%,33.6%
2024-08-27,6.15,2024-08-30,6.34,2022-10-20-2024-07-19,4.45-6.89,Sell,3 days,-3.09%,Fall by 8.52%,30.52%
2024-08-28,6.13,2024-09-06,6.09,2022-10-20-2024-05-31,4.45-6.76,Sell,7 days,0.65%,Fall by 4.76%,31.17%
2024-09-05,6.18,2024-09-06,6.09,2022-06-21-2024-05-31,4.32-6.76,Sell,1 days,1.46%,Fall by 4.76%,32.62%
2024-09-20,6.07,2024-09-20,6.07,2024-07-19-2024-09-04,6.2-6.7,Sell,0 days,-0.0%,Fall by 0%,32.62%
2024-12-06,5.86,2024-12-11,5.67,2024-08-15-2024-10-15,5.87-6.555,Sell,3 days,3.24%,Fall by -1.94%,35.87%
2024-12-11,5.67,2024-12-16,5.65,2024-10-15-2024-11-29,5.79-6.37,Sell,3 days,0.35%,Fall by -2.3%,36.22%
2024-12-12,5.58,2024-12-16,5.65,2023-10-30-2024-07-19,4.755-6.89,Sell,2 days,-1.25%,Fall by -2.3%,34.96%
2024-12-18,5.65,2025-01-27,5.94,2021-04-06-2024-07-19,5.04-6.89,Sell,28 days,-5.13%,Fall by 10.44%,29.83%
2024-12-19,5.58,2025-01-27,5.94,2023-03-23-2024-07-19,4.99-6.89,Sell,27 days,-6.45%,Fall by 10.44%,23.38%
2025-01-09,5.9,2025-01-09,5.9,2024-05-31-2024-12-12,5.695-6.36,Sell,0 days,-0.0%,Fall by 0%,23.38%
2025-02-03,5.85,2025-03-04,5.77,2024-07-19-2024-12-12,5.695-6.7,Sell,21 days,1.37%,Fall by 7.8%,24.75%
2025-02-24,5.77,2025-02-24,5.77,2024-04-04-2024-12-12,5.695-5.85,Sell,0 days,-0.0%,Fall by 0%,24.75%
2025-03-04,5.77,2025-03-04,5.77,2024-12-12-2025-02-17,5.4-6.11,Buy,0 days,0.0%,Rise by 0%,24.75%
2025-03-05,5.55,2025-03-11,5.52,2021-04-06-2024-05-31,5.04-6.76,Sell,4 days,0.54%,Fall by 2.17%,25.29%
2025-03-06,5.405,2025-03-11,5.52,2023-10-30-2024-05-31,4.755-6.76,Sell,3 days,-2.13%,Fall by 2.17%,23.16%
2025-03-07,5.41,2025-03-11,5.52,2024-12-31-2025-01-23,5.92-5.91,Sell,2 days,-2.03%,Fall by 2.17%,21.13%
2025-03-17,5.35,2025-03-21,5.32,2024-12-12-2025-02-17,5.4-6.11,Sell,4 days,0.56%,Fall by -1.5%,21.69%
2025-04-17,5.665,2025-04-17,5.665,2024-07-19-2025-03-26,5.585-6.7,Sell,0 days,-0.0%,Fall by 0%,21.69%
2025-04-23,5.54,2025-05-02,5.77,2023-03-23-2024-05-31,4.99-6.76,Sell,7 days,-4.15%,Fall by 4.85%,17.54%
2025-05-16,5.67,2025-05-16,5.67,2024-10-18-2025-03-26,5.585-5.965,Sell,0 days,-0.0%,Fall by 0%,17.54%
2025-05-28,5.51,2025-06-05,5.73,2025-04-10-2025-04-30,5.495-5.75,Sell,6 days,-3.99%,Fall by 1.22%,13.54%
2025-07-22,5.77,2025-07-22,5.77,2025-03-26-2025-07-08,5.3-6.0,Buy,0 days,0.0%,Rise by 0%,13.54%
2025-09-10,5.78,2025-09-23,5.78,2024-07-19-2025-08-28,5.64-6.7,Sell,9 days,-0.0%,Fall by -0.35%,13.54%
2025-09-30,5.57,2025-10-02,5.89,2025-07-08-2025-08-28,5.64-5.82,Sell,2 days,-5.75%,Fall by 1.53%,7.8%
2025-10-22,5.98,2025-10-22,5.98,2025-08-28-2025-10-09,5.4-6.05,Buy,0 days,0.0%,Rise by 0%,7.8%
