Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1992-06-30,2.1875,1992-09-30,2.5156,1988-11-30-1992-01-31,0.3142-2.776,Sell,66 days,-15.0%,Fall by 8.07%,-15.0%
1993-07-31,2.3125,1993-09-30,2.5781,1988-11-30-1993-06-30,0.3142-3.0625,Sell,43 days,-11.49%,Fall by -111.21%,-26.48%
1993-10-31,2.5039,1999-01-31,43.75,1988-11-30-1992-01-31,0.3142-2.776,Buy,1369 days,1647.27%,Rise by 5.79%,1620.79%
1994-04-30,2.8906,1999-04-30,40.6562,1988-11-30-1993-06-30,0.3142-3.0625,Buy,1304 days,1306.5%,Rise by 43.58%,2927.29%
1995-07-31,5.6562,1995-10-31,6.25,1993-08-31-1995-07-31,2.1992-6.8281,Sell,66 days,-10.5%,Fall by -158.5%,2916.79%
1996-03-31,6.4453,1997-02-28,12.1875,1993-08-31-1995-07-31,2.1992-6.8281,Buy,239 days,89.09%,Rise by 45.0%,3005.88%
1998-02-28,21.1875,2021-11-30,330.59,1993-08-31-1997-07-31,2.1992-18.8438,Buy,6196 days,1460.31%,Rise by -16.05%,4466.19%
2000-02-29,44.6875,2000-03-31,53.125,1993-08-31-1999-12-31,2.1992-59.9688,Sell,23 days,-18.88%,Fall by 34.29%,4447.31%
2000-07-31,34.9062,2022-04-30,277.52,1988-11-30-1999-12-31,0.3142-59.9688,Buy,5674 days,695.05%,Rise by -16.08%,5142.35%
2001-07-31,33.095,2001-08-31,28.525,2000-12-31-2001-06-30,20.1562-38.075,Sell,23 days,13.81%,Fall by 10.76%,5156.16%
2001-11-30,32.105,2001-11-30,32.105,1993-08-31-1999-12-31,2.1992-59.9688,Buy,0 days,0.0%,Rise by 0%,5156.16%
2002-06-30,27.35,2002-07-31,23.99,1999-12-31-2000-12-31,30.3125-45.4375,Sell,22 days,12.29%,Fall by -3.92%,5168.44%
2003-05-31,24.61,2016-03-31,55.23,2000-12-31-2001-06-30,20.1562-38.075,Buy,3348 days,124.42%,Rise by 72.03%,5292.87%
2005-05-31,25.8,2008-04-30,28.52,2002-07-31-2003-09-30,20.705-30.0,Buy,761 days,10.54%,Rise by -21.7%,5303.41%
2006-05-31,22.65,2006-08-31,25.7,2005-03-31-2006-01-31,23.82-28.38,Sell,66 days,-13.47%,Fall by -8.44%,5289.94%
2006-08-31,25.7,2020-05-31,183.25,2002-07-31-2004-11-30,20.705-30.2,Buy,3586 days,613.04%,Rise by 83.53%,5902.98%
2007-05-31,30.69,2008-05-31,28.32,2005-03-31-2006-01-31,23.82-28.38,Buy,261 days,-7.72%,Rise by -21.15%,5895.26%
2007-06-30,29.47,2007-06-30,29.47,2004-11-30-2006-06-30,23.65-26.1,Sell,0 days,-0.0%,Fall by 0%,5895.26%
2007-11-30,33.6,2008-02-29,27.2,2006-06-30-2007-11-30,21.46-37.5,Sell,65 days,19.05%,Fall by 5.44%,5914.3%
2008-04-30,28.52,2008-05-31,28.32,2005-03-31-2007-11-30,23.82-37.5,Sell,22 days,0.7%,Fall by 21.15%,5915.0%
2008-05-31,28.32,2025-04-30,395.26,2005-03-31-2007-11-30,23.82-37.5,Buy,4412 days,1295.69%,Rise by 31.0%,7210.7%
2008-09-30,26.69,2008-10-31,22.33,2002-07-31-2003-09-30,20.705-30.0,Sell,23 days,16.34%,Fall by 17.73%,7227.03%
2010-05-31,25.8,2010-06-30,23.01,2009-03-31-2010-04-30,14.87-31.58,Sell,22 days,10.81%,Fall by -8.69%,7237.85%
2010-09-30,24.49,2010-09-30,24.49,2004-11-30-2009-03-31,18.88-26.1,Sell,0 days,-0.0%,Fall by 0%,7237.85%
2012-08-31,30.82,2012-09-30,29.76,2007-11-30-2009-03-31,18.88-32.68,Sell,20 days,3.44%,Fall by -47.35%,7241.28%
2012-10-31,28.54,2012-11-30,26.62,2009-03-31-2012-03-31,14.87-32.95,Sell,22 days,6.73%,Fall by -51.77%,7248.01%
2015-01-31,40.4,2015-04-30,48.64,2009-03-31-2014-11-30,14.87-50.05,Sell,63 days,-20.4%,Fall by -2.53%,7227.62%
2015-04-30,48.64,2015-05-31,46.86,1999-12-31-2009-03-31,18.88-45.4375,Sell,21 days,3.66%,Fall by -6.42%,7231.28%
2015-06-30,44.15,2016-09-30,57.6,2012-12-31-2014-11-30,26.26-50.05,Buy,328 days,30.46%,Rise by 64.95%,7261.74%
2015-08-31,43.52,2015-10-31,52.64,2012-12-31-2014-11-30,26.26-50.05,Sell,44 days,-20.96%,Fall by 5.26%,7240.78%
2015-10-31,52.64,2015-10-31,52.64,2006-06-30-2014-11-30,21.46-50.05,Buy,0 days,0.0%,Rise by 0%,7240.78%
2016-02-29,50.88,2016-07-31,56.68,2012-12-31-2015-12-31,26.26-56.85,Sell,109 days,-11.4%,Fall by -79.2%,7229.38%
2016-04-30,49.87,2016-04-30,49.87,2010-07-31-2015-12-31,22.73-56.85,Buy,0 days,0.0%,Rise by 0%,7229.38%
2016-08-31,57.46,2016-08-31,57.46,2009-03-31-2015-12-31,14.87-56.85,Buy,0 days,0.0%,Rise by 0%,7229.38%
2022-05-31,271.87,2022-06-30,256.83,2015-08-31-2021-11-30,39.72-349.67,Sell,22 days,5.53%,Fall by -64.88%,7234.92%
2023-01-31,247.81,2024-10-31,406.35,1993-08-31-2021-11-30,2.1992-349.67,Buy,457 days,63.98%,Rise by 31.29%,7298.89%
2024-08-31,417.14,2025-02-28,396.99,2022-11-30-2024-07-31,213.43-468.35,Sell,129 days,4.83%,Fall by -30.43%,7303.72%
2024-12-31,421.5,2025-02-28,396.99,2021-11-30-2022-11-30,255.33-326.37,Sell,43 days,5.81%,Fall by -30.43%,7309.54%
