Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-01-19,73.37,2021-02-02,72.83,2020-12-01-2021-01-04,72.0-72.1,Sell,10 days,0.74%,Fall by -17.03%,0.74%
2021-02-02,72.83,2021-11-26,102.33,2020-11-04-2021-01-12,65.73-74.7,Buy,213 days,40.51%,Rise by 0.68%,41.24%
2021-02-11,72.66,2021-02-16,73.39,2021-01-12-2021-01-29,73.65-73.1,Sell,3 days,-1.0%,Fall by -16.13%,40.24%
2021-06-16,92.93,2021-11-01,102.64,2020-11-04-2021-05-28,65.73-98.03,Buy,98 days,10.45%,Rise by 2.73%,50.69%
2021-07-05,93.79,2021-07-12,94.28,2021-05-28-2021-06-14,91.64-94.03,Sell,5 days,-0.52%,Fall by -0.76%,50.16%
2021-09-24,95.8,2024-12-06,132.75,2020-11-04-2021-09-01,65.73-101.43,Buy,835 days,38.57%,Rise by 0.02%,88.73%
2021-11-02,103.59,2021-11-03,104.31,2021-09-01-2021-09-22,96.34-99.67,Sell,1 days,-0.7%,Fall by 8.12%,88.04%
2021-12-06,97.85,2024-11-05,132.8,2020-11-04-2021-11-22,65.73-106.1,Buy,761 days,35.72%,Rise by 5.99%,123.76%
2021-12-20,94.37,2022-01-26,100.11,2020-11-04-2021-11-22,65.73-106.1,Sell,27 days,-6.08%,Fall by 3.55%,117.67%
2022-01-24,97.25,2022-01-24,97.25,2021-09-01-2021-12-20,96.68-99.67,Sell,0 days,-0.0%,Fall by 0%,117.67%
2022-02-28,101.63,2024-05-15,115.98,2021-12-20-2022-02-09,94.11-104.83,Buy,577 days,14.12%,Rise by 1.89%,131.79%
2022-03-29,97.18,2022-03-30,97.18,2022-02-09-2022-03-08,98.07-104.09,Sell,1 days,-0.0%,Fall by 8.61%,131.79%
2022-04-07,93.36,2022-04-11,94.78,2021-12-20-2022-02-09,94.11-104.83,Sell,2 days,-1.52%,Fall by 6.3%,130.27%
2022-04-26,90.5,2022-04-29,89.72,2020-11-04-2021-09-01,65.73-101.43,Sell,3 days,0.86%,Fall by 7.03%,131.13%
2022-04-28,90.56,2022-04-28,90.56,2021-09-01-2022-04-07,93.58-99.67,Sell,0 days,-0.0%,Fall by 0%,131.13%
2022-06-03,97.31,2022-06-10,92.72,2022-02-09-2022-05-12,89.25-104.09,Sell,5 days,4.72%,Fall by 10.13%,135.85%
