Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2006-10-01,30.5,2006-10-15,29.37,2006-03-05-2006-07-02,28.895-31.41,Sell,9 days,3.7%,Fall by -7.66%,3.7%
2007-02-11,32.04,2010-10-10,32.9,2006-07-02-2006-12-24,27.945-33.4,Buy,954 days,2.68%,Rise by 22.43%,6.39%
2007-08-19,27.4,2007-09-02,27.46,2006-07-02-2006-12-24,27.945-33.4,Sell,9 days,-0.22%,Fall by 10.34%,6.17%
2008-07-13,24.26,2008-07-13,24.26,2006-03-05-2008-03-23,24.25-31.41,Sell,0 days,-0.0%,Fall by 0%,6.17%
2008-08-03,25.39,2009-12-27,30.05,2008-03-23-2008-06-08,21.8-27.695,Buy,364 days,18.35%,Rise by 5.02%,24.52%
2008-10-12,21.125,2008-10-26,22.995,2008-03-23-2008-06-08,21.8-27.695,Sell,9 days,-8.85%,Fall by 33.7%,15.67%
2009-10-25,29.55,2009-10-25,29.55,2006-12-24-2008-12-21,15.325-32.66,Sell,0 days,-0.0%,Fall by 0%,15.67%
2010-02-07,28.74,2010-05-30,28.775,2008-12-21-2009-12-06,12.125-32.35,Buy,79 days,0.12%,Rise by 39.98%,15.79%
2010-02-21,29.205,2010-04-25,32.005,2008-03-23-2009-12-06,21.8-32.35,Sell,44 days,-9.59%,Fall by 10.58%,6.21%
2011-01-23,34.84,2011-03-20,38.52,2009-12-06-2010-07-11,28.845-30.005,Sell,39 days,-10.56%,Fall by 0.95%,-4.36%
2011-05-08,39.25,2011-07-31,37.025,2006-03-05-2008-12-21,15.325-31.41,Sell,59 days,5.67%,Fall by 9.55%,1.31%
2011-06-26,38.275,2014-12-14,45.38,2010-07-11-2011-05-22,27.2-40.99,Buy,904 days,18.56%,Rise by 6.02%,19.88%
2011-08-07,35.945,2011-08-28,34.79,2008-03-23-2011-05-22,21.8-40.99,Sell,14 days,3.21%,Fall by 8.28%,23.09%
2011-08-28,34.79,2014-06-22,45.77,2008-12-21-2011-05-22,12.125-40.99,Buy,734 days,31.56%,Rise by 15.84%,54.65%
2011-09-25,33.49,2011-11-27,31.91,2008-12-21-2011-05-22,12.125-40.99,Sell,44 days,4.72%,Fall by -12.49%,59.37%
2011-11-27,31.91,2011-12-11,34.05,2010-07-11-2011-05-22,27.2-40.99,Sell,9 days,-6.71%,Fall by -5.42%,52.66%
2012-05-06,36.495,2012-06-03,36.285,2011-05-22-2011-11-27,33.465-39.5,Sell,19 days,0.58%,Fall by -1.13%,53.24%
2012-06-03,36.285,2021-12-19,96.8,2011-11-27-2012-04-01,31.635-40.635,Buy,2489 days,166.78%,Rise by 6.39%,220.01%
2012-10-07,37.31,2013-05-05,37.535,2012-04-01-2012-07-01,36.725-39.45,Sell,149 days,-0.6%,Fall by 2.13%,219.41%
2013-05-05,37.535,2013-05-05,37.535,2012-07-01-2013-02-03,35.525-40.165,Buy,0 days,0.0%,Rise by 0%,219.41%
2013-12-22,44.49,2013-12-29,44.135,2013-02-03-2013-04-21,37.24-39.54,Sell,4 days,0.8%,Fall by -2.68%,220.21%
2013-12-29,44.135,2014-12-14,45.38,2013-04-21-2013-11-17,35.885-46.96,Buy,249 days,2.82%,Rise by 6.02%,223.03%
2014-02-23,43.5,2014-10-12,51.34,2010-07-11-2013-11-17,27.2-46.96,Buy,164 days,18.02%,Rise by -11.61%,241.05%
2014-07-06,45.8,2014-07-13,46.4,2013-11-17-2014-02-09,42.835-45.665,Sell,4 days,-1.31%,Fall by -9.09%,239.74%
2014-12-07,49.7,2014-12-14,45.38,2013-04-21-2014-11-23,35.885-55.5,Sell,4 days,8.69%,Fall by 2.58%,248.43%
2014-12-14,45.38,2015-01-04,50.05,2008-03-23-2014-11-23,21.8-55.5,Sell,14 days,-10.29%,Fall by 10.81%,238.14%
2015-01-04,50.05,2015-01-04,50.05,2008-12-21-2014-11-23,12.125-55.5,Buy,0 days,0.0%,Rise by 0%,238.14%
2015-01-11,47.33,2015-01-18,44.66,2010-07-11-2014-11-23,27.2-55.5,Sell,4 days,5.64%,Fall by 6.78%,243.78%
