Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1987-12-31,0.1069,1988-03-31,0.14,1984-12-31-1987-03-31,0.1044-0.2125,Sell,65 days,-30.96%,Fall by -76.79%,-30.96%,
1998-09-30,1.195,1998-12-31,1.33,1987-12-31-1998-06-30,0.0862-1.6975,Sell,66 days,-11.3%,Fall by 10.15%,-42.26%,
1999-09-30,1.195,2000-03-31,1.3725,1983-09-30-1987-12-31,0.1556-0.2738,Sell,131 days,-14.85%,Fall by -19.85%,-57.11%,
2001-09-30,2.1,2001-12-31,2.005,1999-03-31-2001-09-30,0.95-2.315,Sell,65 days,4.52%,Fall by 32.62%,-52.59%,
2002-03-31,1.98,2002-06-30,1.645,1987-12-31-2001-09-30,0.0862-2.315,Sell,64 days,16.92%,Fall by -66.47%,-35.67%,
2003-03-31,1.6485,2009-06-30,5.446,1987-12-31-1998-06-30,0.0862-1.6975,Buy,1631 days,230.36%,Rise by 82.74%,194.69%,
2008-09-30,5.12,2009-03-31,4.798,1987-12-31-2008-06-30,0.0862-7.373,Sell,130 days,6.29%,Fall by -161.11%,200.98%,
2009-03-31,4.798,2009-06-30,5.446,1999-03-31-2008-06-30,0.95-7.373,Sell,65 days,-13.51%,Fall by -82.74%,187.47%,
2009-12-31,6.385,2025-03-31,69.44,2002-09-30-2008-06-30,1.075-7.373,Buy,3977 days,987.55%,Rise by -28.77%,1175.02%,
2013-06-30,15.497,2013-12-31,18.476,2009-06-30-2013-03-31,4.135-19.444,Sell,131 days,-19.22%,Fall by -14.53%,1155.8%,
2017-06-30,21.445,2020-03-31,30.1,2009-06-30-2013-03-31,4.135-19.444,Buy,717 days,40.36%,Rise by 85.1%,1196.16%,
2019-06-30,25.52,2019-12-31,28.94,2016-12-31-2018-03-31,15.445-29.185,Sell,131 days,-13.4%,Fall by -91.86%,1182.76%,
2024-12-31,86.02,2025-03-31,69.44,2018-12-31-2024-06-30,20.615-148.15,Sell,64 days,19.27%,Fall by 28.77%,1202.03%,
2025-06-30,69.02,2025-09-30,55.49,2016-12-31-2024-06-30,15.445-148.15,Sell,66 days,19.6%,Fall by 10.87%,1221.63%,
2025-09-30,55.49,2025-09-30,55.49,2015-09-30-2018-12-31,23.705-26.175,Sell,0 days,-0.0%,Fall by 0%,1221.63%,
