Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-01-22,0.9123,2021-01-22,0.9123,2021-01-01-2021-01-06,0.746-0.9256,Buy,0 days,0.0%,Rise by 0%,0.0%
2021-02-11,0.9161,2021-02-19,0.9152,2020-12-03-2021-01-01,0.9147-0.9115,Sell,6 days,0.1%,Fall by 4.27%,0.1%
2021-03-11,0.9075,2021-03-11,0.9075,2021-01-01-2021-02-25,0.746-0.9322,Buy,0 days,0.0%,Rise by 0%,0.1%
2021-04-28,0.8936,2021-04-28,0.8936,2021-01-06-2021-03-25,0.8785-0.918,Sell,0 days,-0.0%,Fall by 0%,0.1%
2021-07-02,0.8661,2021-07-02,0.8661,2021-01-06-2021-05-21,0.869-0.918,Sell,0 days,-0.0%,Fall by 0%,0.1%
2021-07-26,0.8774,2021-07-26,0.8774,2021-01-06-2021-06-18,0.866-0.918,Sell,0 days,-0.0%,Fall by 0%,0.1%
2021-08-04,0.8829,2021-09-14,0.8993,2021-06-18-2021-07-19,0.86-0.8908,Buy,29 days,1.86%,Rise by -0.92%,1.96%
2021-09-16,0.8997,2021-09-21,0.8982,2021-07-19-2021-08-18,0.8766-0.8809,Sell,3 days,0.17%,Fall by 3.83%,2.12%
2021-09-21,0.8982,2021-09-21,0.8982,2021-06-18-2021-09-09,0.86-0.9041,Buy,0 days,0.0%,Rise by 0%,2.12%
2021-11-03,0.8836,2021-11-04,0.888,2021-09-09-2021-10-13,0.8661-0.8994,Sell,1 days,-0.5%,Fall by 3.38%,1.62%
2021-12-29,0.8716,2022-01-14,0.858,2021-11-08-2021-12-08,0.862-0.8847,Sell,12 days,1.56%,Fall by 2.59%,3.18%
2022-01-21,0.8438,2022-01-21,0.8438,2021-06-18-2021-09-09,0.86-0.9041,Sell,0 days,-0.0%,Fall by 0%,3.18%
2022-03-02,0.8609,2022-03-31,0.87,2021-12-22-2022-01-31,0.8412-0.8702,Sell,21 days,-1.06%,Fall by 6.79%,2.13%
2022-03-14,0.8675,2022-03-18,0.8705,2021-02-25-2022-01-31,0.8412-0.9276,Sell,4 days,-0.35%,Fall by 6.85%,1.78%
2022-03-31,0.87,2022-12-16,0.8661,2022-01-31-2022-03-07,0.8345-0.8806,Buy,186 days,-0.45%,Rise by 0.42%,1.33%
2022-05-12,0.8165,2022-05-18,0.8143,2022-01-31-2022-03-07,0.8345-0.8806,Sell,4 days,0.27%,Fall by 1.04%,1.6%
2022-06-01,0.8237,2022-06-01,0.8237,2021-12-22-2022-05-16,0.8133-0.8702,Sell,0 days,-0.0%,Fall by 0%,1.6%
2022-06-27,0.8142,2022-06-27,0.8142,2021-11-08-2022-06-14,0.8102-0.8847,Sell,0 days,-0.0%,Fall by 0%,1.6%
2022-08-08,0.8076,2022-08-08,0.8076,2021-01-06-2022-07-13,0.7996-0.918,Sell,0 days,-0.0%,Fall by 0%,1.6%
2022-08-23,0.8058,2022-08-23,0.8058,2022-07-13-2022-08-12,0.7911-0.8246,Buy,0 days,0.0%,Rise by 0%,1.6%
2022-09-26,0.7796,2022-09-30,0.7851,2022-07-13-2022-08-12,0.7911-0.8246,Sell,4 days,-0.71%,Fall by -7.94%,0.9%
2022-12-20,0.8678,2022-12-20,0.8678,2021-02-25-2022-10-10,0.7721-0.9276,Sell,0 days,-0.0%,Fall by 0%,0.9%
2022-12-28,0.8482,2022-12-28,0.8482,2022-10-10-2022-12-13,0.7626-0.8815,Buy,0 days,0.0%,Rise by 0%,0.9%
2023-01-25,0.8683,2023-02-08,0.8464,2022-12-13-2023-01-06,0.8527-0.8689,Sell,10 days,2.52%,Fall by 1.15%,3.42%
2023-03-24,0.8568,2023-03-24,0.8568,2022-12-13-2023-02-27,0.839-0.8689,Sell,0 days,-0.0%,Fall by 0%,3.42%
2023-05-11,0.8518,2023-05-11,0.8518,2023-01-18-2023-04-17,0.8292-0.8605,Sell,0 days,-0.0%,Fall by 0%,3.42%
