Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2006-03-31,0.719,2006-06-30,0.6798,2004-10-31-2005-04-30,0.2614-0.9231,Sell,65 days,5.45%,Fall by -16.0%,5.45%
2006-08-31,0.7239,2006-08-31,0.7239,2004-10-31-2005-04-30,0.2614-0.9231,Buy,0 days,0.0%,Rise by 0%,5.45%
2007-12-31,0.7636,2008-01-31,0.7874,2005-04-30-2006-06-30,0.7078-0.8573,Sell,23 days,-3.12%,Fall by 10.29%,2.34%
2008-01-31,0.7874,2011-11-30,0.7873,2006-06-30-2007-07-31,0.6619-0.848,Buy,999 days,-0.01%,Rise by 4.33%,2.32%
2008-10-31,0.7064,2008-11-30,0.6808,2006-06-30-2007-07-31,0.6619-0.848,Sell,20 days,3.62%,Fall by -4.26%,5.95%
2010-03-31,0.7176,2010-08-31,0.7456,2007-07-31-2009-02-28,0.664-0.8073,Sell,109 days,-3.9%,Fall by 1.52%,2.04%
2010-08-31,0.7456,2013-08-31,0.8176,2009-02-28-2009-10-31,0.6151-0.8024,Buy,783 days,9.66%,Rise by 17.16%,11.7%
2012-01-31,0.8208,2013-08-31,0.8176,2010-06-30-2011-08-31,0.6942-0.8416,Buy,413 days,-0.39%,Rise by 17.16%,11.31%
2012-07-31,0.8097,2013-07-31,0.823,2009-02-28-2011-08-31,0.6151-0.8416,Buy,261 days,1.64%,Rise by 16.39%,12.95%
2013-08-31,0.8176,2014-10-31,0.8773,2010-06-30-2013-04-30,0.6942-0.8777,Buy,304 days,7.3%,Rise by 8.3%,20.26%
2014-11-30,0.8911,2014-11-30,0.8911,2012-05-31-2014-03-31,0.7632-0.9646,Buy,0 days,0.0%,Rise by 0%,20.26%
2015-06-30,0.8481,2015-11-30,0.872,2014-09-30-2015-03-31,0.8616-0.9617,Sell,109 days,-2.82%,Fall by -7.06%,17.44%
2015-11-30,0.872,2016-10-31,0.9599,2009-02-28-2014-03-31,0.6151-0.9646,Sell,240 days,-10.08%,Fall by 2.74%,7.36%
2017-03-31,0.9336,2017-09-30,0.898,2015-09-30-2016-11-30,0.8291-0.992,Buy,130 days,-3.81%,Rise by 3.72%,3.54%
2017-04-30,0.9378,2017-08-31,0.9091,2014-03-31-2015-09-30,0.8579-0.922,Sell,88 days,3.06%,Fall by 5.4%,6.6%
2017-06-30,0.9495,2017-06-30,0.9495,2009-02-28-2016-11-30,0.6151-0.992,Buy,0 days,0.0%,Rise by 0%,6.6%
2017-10-31,0.8824,2018-01-31,0.905,2009-02-28-2016-11-30,0.6151-0.992,Sell,66 days,-2.56%,Fall by 4.97%,4.04%
2018-01-31,0.905,2018-01-31,0.905,2014-09-30-2015-03-31,0.8616-0.9617,Buy,0 days,0.0%,Rise by 0%,4.04%
2018-06-30,0.8949,2018-07-31,0.8888,2006-06-30-2016-11-30,0.6619-0.992,Sell,21 days,0.68%,Fall by 6.44%,4.73%
2018-09-30,0.8625,2018-12-31,0.9136,2014-09-30-2016-11-30,0.8616-0.992,Sell,65 days,-5.92%,Fall by 8.98%,-1.2%
2018-12-31,0.9136,2018-12-31,0.9136,2004-10-31-2016-11-30,0.2614-0.992,Buy,0 days,0.0%,Rise by 0%,-1.2%
2019-08-31,0.8385,2019-12-31,0.8793,2016-11-30-2017-11-30,0.8928-0.9421,Sell,86 days,-4.87%,Fall by 1.48%,-6.07%
2019-12-31,0.8793,2019-12-31,0.8793,2018-10-31-2019-03-31,0.8319-0.9278,Buy,0 days,0.0%,Rise by 0%,-6.07%
2020-05-31,0.8537,2021-03-31,0.8824,2016-11-30-2018-10-31,0.8655-0.9421,Sell,217 days,-3.36%,Fall by 5.28%,-9.43%
2021-07-31,0.8726,2021-07-31,0.8726,2016-11-30-2020-03-31,0.8731-0.9421,Sell,0 days,-0.0%,Fall by 0%,-9.43%
2021-08-31,0.8819,2021-08-31,0.8819,2021-01-31-2021-02-28,0.746-0.9322,Buy,0 days,0.0%,Rise by 0%,-9.43%
2022-02-28,0.8535,2022-03-31,0.87,2019-03-31-2021-01-31,0.9256-0.8944,Sell,23 days,-1.93%,Fall by 9.76%,-11.36%
2022-05-31,0.8298,2022-06-30,0.8016,2018-10-31-2019-03-31,0.8319-0.9278,Sell,22 days,3.4%,Fall by -0.26%,-7.96%
2022-08-31,0.8025,2022-12-31,0.86,2015-03-31-2021-01-31,0.9256-0.9179,Sell,87 days,-7.17%,Fall by 6.55%,-15.13%
2022-09-30,0.7851,2023-01-31,0.8656,2012-05-31-2016-11-30,0.7632-0.992,Sell,87 days,-10.25%,Fall by 7.15%,-25.38%
2023-05-31,0.8222,2023-11-30,0.8365,2011-08-31-2021-01-31,0.9256-0.7956,Sell,131 days,-1.74%,Fall by 3.28%,-27.12%
2023-11-30,0.8365,2023-11-30,0.8365,2022-10-31-2022-12-31,0.7626-0.8815,Buy,0 days,0.0%,Rise by 0%,-27.12%
2024-05-31,0.8368,2024-12-31,0.8091,2021-02-28-2022-10-31,0.7948-0.9104,Sell,152 days,3.31%,Fall by 0.91%,-23.81%
2024-12-31,0.8091,2024-12-31,0.8091,2010-06-30-2016-11-30,0.6942-0.992,Sell,0 days,-0.0%,Fall by 0%,-23.81%
2025-02-28,0.8126,2025-02-28,0.8126,2021-01-31-2024-09-30,0.746-0.8609,Buy,0 days,0.0%,Rise by 0%,-23.81%
2025-08-31,0.809,2025-08-31,0.809,2022-12-31-2024-12-31,0.8311-0.8457,Sell,0 days,-0.0%,Fall by 0%,-23.81%
