Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2007-12-31,0.766,2008-07-31,0.732,2005-03-31-2006-06-30,0.6358-0.7082,Sell,153 days,4.44%,Fall by 20.72%,4.44%
2008-10-31,0.5824,2008-10-31,0.5824,2006-06-30-2008-03-31,0.5934-0.8215,Sell,0 days,-0.0%,Fall by 0%,4.44%
2010-03-31,0.707,2010-03-31,0.707,2005-03-31-2009-03-31,0.5803-0.7082,Sell,0 days,-0.0%,Fall by 0%,4.44%
2010-04-30,0.7275,2011-12-31,0.7721,2009-03-31-2009-10-31,0.4909-0.7593,Buy,435 days,6.13%,Rise by 7.58%,10.57%
2012-03-31,0.8175,2012-05-31,0.7519,2010-05-31-2012-01-31,0.6566-1.2214,Sell,43 days,8.02%,Fall by -3.22%,18.59%
2013-08-31,0.7761,2014-01-31,0.8176,2010-05-31-2012-01-31,0.6566-1.2214,Buy,109 days,5.35%,Rise by 7.34%,23.94%
2015-01-31,0.7283,2015-04-30,0.7606,2013-06-30-2014-07-31,0.7687-0.8834,Sell,63 days,-4.43%,Fall by 16.46%,19.51%
2015-04-30,0.7606,2015-04-30,0.7606,2006-06-30-2012-01-31,0.5934-1.2214,Buy,0 days,0.0%,Rise by 0%,19.51%
2015-06-30,0.6839,2015-07-31,0.6608,2009-03-31-2009-10-31,0.4909-0.7593,Sell,23 days,3.38%,Fall by -5.51%,22.88%
2017-02-28,0.7185,2017-02-28,0.7185,2009-10-31-2015-09-30,0.6455-0.7126,Sell,0 days,-0.0%,Fall by 0%,22.88%
2017-07-31,0.752,2017-12-31,0.7093,2015-09-30-2016-09-30,0.6243-0.7487,Buy,109 days,-5.68%,Rise by -2.72%,17.21%
2018-01-31,0.734,2018-01-31,0.734,2015-09-30-2017-07-31,0.6243-0.7559,Buy,0 days,0.0%,Rise by 0%,17.21%
2020-02-29,0.6312,2020-03-31,0.601,2015-09-30-2016-09-30,0.6243-0.7487,Sell,21 days,4.78%,Fall by -16.31%,21.99%
2021-06-30,0.699,2021-06-30,0.699,2014-07-31-2020-03-31,0.6447-0.8466,Sell,0 days,-0.0%,Fall by 0%,21.99%
2021-10-31,0.7195,2021-10-31,0.7195,2020-03-31-2021-01-31,0.5479-0.7493,Buy,0 days,0.0%,Rise by 0%,21.99%
2023-07-31,0.616,2023-08-31,0.5953,2021-01-31-2022-10-31,0.5873-0.7098,Sell,23 days,3.36%,Fall by -0.32%,25.35%
2024-01-31,0.6132,2024-06-30,0.6085,2020-03-31-2021-01-31,0.5479-0.7493,Sell,107 days,0.77%,Fall by 7.53%,26.12%
2024-06-30,0.6085,2024-06-30,0.6085,2022-10-31-2023-12-31,0.5517-0.6655,Buy,0 days,0.0%,Rise by 0%,26.12%
2025-06-30,0.6064,2025-06-30,0.6064,2020-03-31-2023-12-31,0.5479-0.6655,Buy,0 days,0.0%,Rise by 0%,26.12%
