Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1979-12-31,0.7783,1984-09-30,1.3886,1974-12-31-1978-09-30,0.4274-0.7684,Buy,1239 days,78.41%,Rise by 73.66%,78.41%
1983-09-30,1.5714,1983-12-31,1.4133,1981-09-30-1983-09-30,0.7882-1.7691,Sell,65 days,10.06%,Fall by -68.18%,88.48%
1985-03-31,1.6949,1992-12-31,5.7321,1981-09-30-1983-09-30,0.7882-1.7691,Buy,2023 days,238.2%,Rise by -17.93%,326.67%
1987-12-31,1.8432,1988-03-31,2.1792,1984-09-30-1987-03-31,1.1613-3.044,Sell,65 days,-18.23%,Fall by -16.33%,308.44%
1988-06-30,2.0408,1993-09-30,4.7043,1981-09-30-1987-03-31,0.7882-3.044,Buy,1370 days,130.51%,Rise by 111.76%,438.96%
1990-09-30,2.7919,2022-09-30,43.76,1984-09-30-1987-03-31,1.1613-3.044,Buy,8349 days,1467.39%,Rise by -16.18%,1906.35%
1992-03-31,5.4949,1993-03-31,4.9217,1987-12-31-1992-03-31,1.6307-6.8786,Sell,261 days,10.43%,Fall by 13.25%,1916.78%
1993-03-31,4.9217,1993-09-30,4.7043,1981-09-30-1992-03-31,0.7882-6.8786,Sell,131 days,4.42%,Fall by -111.76%,1921.2%
1993-09-30,4.7043,2023-12-31,28.79,1987-12-31-1992-03-31,1.6307-6.8786,Buy,7891 days,511.99%,Rise by 0.52%,2433.19%
2004-09-30,29.0323,2004-12-31,25.5123,2002-09-30-2004-03-31,23.8425-36.8975,Sell,66 days,12.12%,Fall by 13.28%,2445.31%
2008-03-31,19.8577,2008-06-30,16.575,2005-12-31-2006-12-31,19.2315-27.1347,Sell,65 days,16.53%,Fall by 22.04%,2461.84%
2010-06-30,13.5294,2010-09-30,16.2903,2009-03-31-2010-03-31,11.0247-19.3169,Sell,66 days,-20.41%,Fall by -46.07%,2441.44%
2016-12-31,30.8159,2017-12-31,34.3643,2010-09-30-2016-09-30,13.2827-35.4744,Sell,259 days,-11.51%,Fall by 9.88%,2429.92%
2017-12-31,34.3643,2018-09-30,41.8121,1999-06-30-2002-09-30,33.425-29.9257,Sell,194 days,-21.67%,Fall by 18.47%,2408.25%
2019-03-31,40.2941,2019-09-30,34.0892,2002-09-30-2018-12-31,23.8425-44.0892,Sell,130 days,15.4%,Fall by -73.22%,2423.65%
2020-03-31,30.9677,2020-03-31,30.9677,2010-09-30-2018-12-31,13.2827-44.0892,Sell,0 days,-0.0%,Fall by 0%,2423.65%
2020-09-30,34.8197,2020-09-30,34.8197,2010-09-30-2016-09-30,13.2827-35.4744,Buy,0 days,0.0%,Rise by 0%,2423.65%
2022-03-31,51.77,2022-09-30,43.76,2020-03-31-2021-12-31,26.4516-61.71,Sell,131 days,15.47%,Fall by 16.18%,2439.12%
2022-09-30,43.76,2022-12-31,51.24,2005-12-31-2021-12-31,19.2315-61.71,Sell,65 days,-17.09%,Fall by 35.27%,2422.03%
2023-03-31,40.8,2023-06-30,36.68,2004-03-31-2009-03-31,17.5332-31.7837,Sell,65 days,10.1%,Fall by 24.35%,2432.13%
2025-11-03,24.65,2025-11-03,24.65,2005-12-31-2016-09-30,19.2315-35.4744,Buy,0 days,0.0%,Rise by 0%,2432.13%
