Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2008-06-30,22.385,2008-09-30,19.325,2003-09-30-2008-03-31,9.4688-24.75,Sell,66 days,13.67%,Fall by 11.75%,13.67%
2009-09-30,20.3,2009-09-30,20.3,2003-09-30-2008-03-31,9.4688-24.75,Buy,0 days,0.0%,Rise by 0%,13.67%
2010-03-31,20.26,2010-06-30,17.15,2009-03-31-2010-03-31,13.005-22.595,Sell,65 days,15.35%,Fall by -37.0%,29.02%
2015-09-30,32.95,2016-03-31,30.63,2010-09-30-2014-03-31,15.845-38.71,Sell,131 days,7.04%,Fall by 6.86%,36.06%
2016-03-31,30.63,2016-12-31,28.53,2003-09-30-2014-03-31,9.4688-38.71,Sell,196 days,6.86%,Fall by 3.15%,42.92%
2016-09-30,30.97,2023-03-31,35.86,2010-09-30-2014-03-31,15.845-38.71,Buy,1695 days,15.79%,Rise by -10.99%,58.71%
2017-06-30,31.8,2023-03-31,35.86,2009-03-31-2014-03-31,13.005-38.71,Buy,1500 days,12.77%,Rise by -10.99%,71.47%
2017-12-31,31.58,2018-03-31,28.63,2016-12-31-2017-06-30,25.25-36.82,Sell,64 days,9.34%,Fall by -51.52%,80.82%
2018-09-30,30.16,2018-12-31,31.08,2014-03-31-2016-12-31,31.06-33.23,Sell,65 days,-3.05%,Fall by -30.5%,77.77%
2018-12-31,31.08,2018-12-31,31.08,2016-12-31-2017-06-30,25.25-36.82,Buy,0 days,0.0%,Rise by 0%,77.77%
2022-06-30,41.71,2022-12-31,39.15,2018-06-30-2022-06-30,26.3-53.86,Sell,131 days,6.14%,Fall by 13.33%,83.9%
2023-03-31,35.86,2023-09-30,33.93,2009-03-31-2022-06-30,13.005-53.86,Sell,130 days,5.38%,Fall by -19.1%,89.28%
2024-12-31,34.88,2024-12-31,34.88,2018-06-30-2022-06-30,26.3-53.86,Buy,0 days,0.0%,Rise by 0%,89.28%
