Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1993-11-30,0.6953,1994-03-31,0.7617,1992-06-30-1993-09-30,0.3203-0.8828,Sell,87 days,-9.55%,Fall by 5.38%,-9.55%
1994-03-31,0.7617,1994-12-31,0.8594,1992-06-30-1993-09-30,0.3203-0.8828,Buy,196 days,12.83%,Rise by 45.45%,3.28%
1994-06-30,0.7891,1994-07-31,0.9062,1992-06-30-1994-06-30,0.3203-1.0156,Sell,21 days,-14.84%,Fall by 17.24%,-11.56%
1994-12-31,0.8594,1996-04-30,1.6953,1992-06-30-1994-06-30,0.3203-1.0156,Buy,346 days,97.27%,Rise by 27.65%,85.7%
1996-12-31,1.7891,1997-01-31,2.1406,1992-06-30-1996-10-31,0.3203-2.5156,Sell,23 days,-19.65%,Fall by 7.84%,66.06%
1998-01-31,2.2852,1998-12-31,3.5078,1992-06-30-1996-10-31,0.3203-2.5156,Buy,238 days,53.5%,Rise by 33.85%,119.56%
1998-07-31,2.6172,1998-08-31,1.9727,1992-06-30-1998-07-31,0.3203-3.7461,Sell,21 days,24.63%,Fall by -44.95%,144.18%
1999-05-31,4.6094,1999-07-31,2.9062,1998-09-30-1999-05-31,1.7969-5.125,Sell,44 days,36.95%,Fall by -66.45%,181.13%
1999-07-31,2.9062,1999-10-31,3.3984,1992-06-30-1999-05-31,0.3203-5.125,Sell,64 days,-16.94%,Fall by -42.35%,164.2%
1999-10-31,3.3984,2000-09-30,5.0078,1992-06-30-1998-07-31,0.3203-3.7461,Buy,239 days,47.36%,Rise by -15.78%,211.55%
2000-07-31,4.6875,2001-09-30,3.735,1998-09-30-1999-05-31,1.7969-5.125,Buy,304 days,-20.32%,Rise by 66.33%,191.23%
2001-03-31,5.3047,2001-04-30,4.8375,1998-09-30-2001-02-28,1.7969-6.4141,Sell,20 days,8.81%,Fall by 22.79%,200.04%
2001-08-31,4.2175,2001-09-30,3.735,1999-08-31-2001-02-28,2.4844-6.4141,Sell,20 days,11.44%,Fall by -31.39%,211.48%
2001-11-30,4.43,2003-02-28,5.8625,1992-06-30-1999-05-31,0.3203-5.125,Buy,325 days,32.34%,Rise by 100.38%,243.82%
2002-07-31,4.9075,2002-10-31,5.96,1999-08-31-2002-04-30,2.4844-6.425,Sell,66 days,-21.45%,Fall by -116.69%,222.37%
2002-09-30,5.165,2002-09-30,5.165,1998-09-30-2001-02-28,1.7969-6.4141,Buy,0 days,0.0%,Rise by 0%,222.37%
2002-12-31,5.095,2003-01-31,5.68,2001-09-30-2002-04-30,3.365-6.425,Sell,23 days,-11.48%,Fall by -127.38%,210.89%
2003-03-31,6.44,2004-07-31,11.7475,2001-09-30-2002-04-30,3.365-6.425,Buy,349 days,82.41%,Rise by 32.71%,293.3%
2005-02-28,12.9525,2005-04-30,12.38,2001-09-30-2004-12-31,3.365-16.065,Sell,44 days,4.42%,Fall by -25.24%,297.72%
2005-04-30,12.38,2005-05-31,13.6975,1992-06-30-2004-12-31,0.3203-16.065,Sell,21 days,-10.64%,Fall by -13.2%,287.08%
2005-06-30,12.915,2005-06-30,12.915,2001-09-30-2004-12-31,3.365-16.065,Buy,0 days,0.0%,Rise by 0%,287.08%
2007-02-28,15.45,2007-05-31,14.405,2001-09-30-2006-11-30,3.365-20.005,Sell,66 days,6.76%,Fall by 18.81%,293.85%
2007-05-31,14.405,2007-06-30,13.12,1992-06-30-2006-11-30,0.3203-20.005,Sell,21 days,8.92%,Fall by 10.86%,302.77%
2007-08-31,13.775,2012-07-31,22.64,1999-08-31-2004-12-31,2.4844-16.065,Buy,1282 days,64.36%,Rise by 79.9%,367.12%
2009-01-31,4.72,2014-03-31,36.69,1998-09-30-2002-04-30,1.7969-6.425,Buy,1345 days,677.33%,Rise by 6.04%,1044.45%
2010-10-31,14.28,2021-11-30,109.64,1999-08-31-2006-11-30,2.4844-20.005,Buy,2891 days,667.79%,Rise by -31.92%,1712.24%
2012-07-31,22.64,2012-09-30,25.355,2008-11-30-2012-04-30,3.53-31.0,Sell,43 days,-11.99%,Fall by -39.26%,1700.25%
2014-04-30,35.31,2014-08-31,38.905,2006-11-30-2008-11-30,6.575-17.58,Sell,87 days,-10.18%,Fall by -41.09%,1690.07%
2017-01-31,55.22,2017-01-31,55.22,2008-11-30-2015-10-31,3.53-64.0,Buy,0 days,0.0%,Rise by 0%,1690.07%
2018-06-30,48.85,2018-08-31,53.45,2016-11-30-2017-06-30,50.84-64.87,Sell,44 days,-9.42%,Fall by -22.99%,1680.65%
2019-10-31,84.56,2020-01-31,84.83,2018-06-30-2019-07-31,47.37-99.72,Sell,66 days,-0.32%,Fall by 13.25%,1680.33%
2019-12-31,87.92,2020-01-31,84.83,2015-10-31-2016-11-30,58.25-55.89,Sell,23 days,3.51%,Fall by 13.25%,1683.84%
2020-01-31,84.83,2020-02-29,78.43,2016-11-30-2019-07-31,50.84-99.72,Sell,20 days,7.54%,Fall by -35.24%,1691.39%
2020-03-31,65.74,2020-04-30,76.73,2008-11-30-2019-07-31,3.53-99.72,Sell,22 days,-16.72%,Fall by -38.24%,1674.67%
2020-05-31,77.99,2021-04-30,114.49,2008-11-30-2017-06-30,3.53-64.87,Buy,239 days,46.8%,Rise by -14.12%,1721.47%
2020-06-30,73.59,2020-08-31,84.47,1999-08-31-2019-07-31,2.4844-99.72,Sell,44 days,-14.78%,Fall by -25.57%,1706.69%
2021-10-31,106.07,2021-12-31,116.97,2020-03-31-2021-07-31,50.02-126.32,Sell,44 days,-10.28%,Fall by 32.89%,1696.41%
2021-12-31,116.97,2022-01-31,98.32,2017-06-30-2018-06-30,57.94-57.96,Sell,21 days,15.94%,Fall by 22.3%,1712.36%
2022-01-31,98.32,2022-02-28,91.79,2008-11-30-2021-07-31,3.53-126.32,Sell,20 days,6.64%,Fall by -6.37%,1719.0%
2023-10-31,92.24,2023-12-31,96.01,2021-07-31-2022-05-31,82.87-111.81,Sell,43 days,-4.09%,Fall by 16.45%,1714.91%
