Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2007-12-16,13.739,2008-01-06,15.167,2007-03-04-2007-08-19,12.806-12.675,Sell,14 days,-10.39%,Fall by -7.19%,-10.39%
2008-03-23,16.701,2008-04-20,17.671,2007-08-19-2008-03-16,11.0-20.73,Sell,19 days,-5.81%,Fall by 14.04%,-16.2%
2008-05-18,16.75,2011-05-29,37.03,2007-08-19-2008-03-16,11.0-20.73,Buy,789 days,121.07%,Rise by 13.91%,104.87%
2009-04-05,12.6,2009-04-05,12.6,2007-03-04-2008-11-02,10.06-12.675,Sell,0 days,-0.0%,Fall by 0%,104.87%
2010-01-31,15.9,2010-02-07,14.9,2008-11-02-2009-12-06,8.45-19.11,Sell,4 days,6.29%,Fall by -14.43%,111.16%
2010-05-23,17.29,2010-07-25,17.72,2008-11-02-2009-12-06,8.45-19.11,Buy,44 days,2.49%,Rise by 70.32%,113.65%
2011-02-13,29.21,2011-02-27,32.56,2008-07-20-2008-11-02,10.06-17.858,Sell,9 days,-11.47%,Fall by -4.98%,102.18%
2011-05-15,34.39,2011-07-03,33.0,2008-11-02-2011-05-01,8.45-48.35,Sell,34 days,4.04%,Fall by 12.39%,106.22%
2011-07-17,38.24,2011-07-17,38.24,2008-11-02-2011-05-01,8.45-48.35,Buy,0 days,0.0%,Rise by 0%,106.22%
2012-01-15,28.82,2012-01-15,28.82,2007-08-19-2011-05-01,11.0-48.35,Buy,0 days,0.0%,Rise by 0%,106.22%
2012-11-11,31.54,2012-11-18,31.21,2012-03-04-2012-07-01,26.96-32.9,Sell,4 days,1.05%,Fall by 10.83%,107.27%
2012-11-18,31.21,2025-08-17,34.5,2012-07-01-2012-10-07,25.34-34.08,Buy,3324 days,10.54%,Rise by 27.57%,117.81%
2013-04-14,25.28,2013-04-21,22.4,2012-07-01-2012-10-07,25.34-34.08,Sell,4 days,11.39%,Fall by 13.44%,129.2%
2013-10-06,20.93,2013-10-20,21.11,2012-10-07-2013-06-30,19.19-33.23,Sell,9 days,-0.86%,Fall by 11.13%,128.34%
2013-12-08,18.76,2014-02-16,20.65,2012-03-04-2013-06-30,19.19-32.9,Sell,49 days,-10.07%,Fall by 10.8%,118.27%
2014-04-06,19.16,2014-05-11,18.42,2013-09-01-2014-01-05,19.48-22.55,Sell,24 days,3.86%,Fall by 12.49%,122.13%
2015-03-01,15.87,2015-03-01,15.87,2014-07-13-2014-11-09,15.56-19.99,Sell,0 days,-0.0%,Fall by 0%,122.13%
2015-06-28,15.11,2015-07-19,14.23,2014-07-13-2015-03-15,15.2-19.99,Sell,14 days,5.82%,Fall by 2.18%,127.95%
2015-12-06,13.87,2015-12-06,13.87,2009-12-06-2015-08-30,14.46-17.8,Sell,0 days,-0.0%,Fall by 0%,127.95%
2016-06-05,15.61,2016-06-05,15.61,2009-12-06-2015-12-20,13.64-17.8,Sell,0 days,-0.0%,Fall by 0%,127.95%
2016-08-28,17.72,2016-10-09,16.6,2015-12-20-2016-08-07,13.04-19.71,Sell,29 days,6.32%,Fall by 10.18%,134.27%
2016-09-11,18.11,2016-09-11,18.11,2014-07-13-2015-12-20,13.64-19.99,Sell,0 days,-0.0%,Fall by 0%,134.27%
2016-10-23,16.65,2020-10-11,23.41,2015-12-20-2016-08-07,13.04-19.71,Buy,1034 days,40.6%,Rise by -10.08%,174.88%
2017-05-21,15.94,2017-05-28,16.4,2016-08-07-2016-12-25,15.3-18.71,Sell,4 days,-2.89%,Fall by 4.02%,171.99%
2017-10-15,16.41,2017-10-29,15.91,2016-08-07-2017-07-16,15.22-18.71,Sell,9 days,3.05%,Fall by 3.27%,175.04%
2018-03-04,15.56,2018-03-18,15.39,2017-04-16-2017-07-16,15.22-16.8,Sell,9 days,1.09%,Fall by 11.31%,176.13%
