Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-02-26,21.162,2021-03-02,21.154,2021-01-11-2021-01-29,19.418-20.666,Sell,2 days,0.04%,Fall by 12.03%,0.04%
2021-03-02,21.154,2021-11-12,24.58,2020-11-04-2021-02-05,17.034-23.7,Buy,183 days,16.2%,Rise by 2.47%,16.23%
2021-03-29,21.32,2021-04-23,21.988,2021-02-05-2021-03-09,20.398-23.048,Sell,19 days,-3.13%,Fall by 11.73%,13.1%
2021-06-11,19.92,2021-06-11,19.92,2021-01-11-2021-05-13,18.672-20.666,Sell,0 days,-0.0%,Fall by 0%,13.1%
2021-07-21,20.092,2021-08-16,20.05,2021-06-04-2021-06-18,19.076-19.916,Sell,18 days,0.21%,Fall by -5.3%,13.31%
2021-08-16,20.05,2021-11-11,24.2,2021-05-13-2021-07-29,18.35-21.224,Buy,63 days,20.7%,Rise by 4.08%,34.01%
2021-10-01,21.902,2021-10-06,21.112,2021-07-29-2021-08-19,19.398-20.816,Sell,3 days,3.61%,Fall by -13.08%,37.61%
2022-01-12,25.43,2022-01-18,23.168,2021-11-19-2021-12-20,23.9-24.974,Sell,4 days,8.9%,Fall by 10.02%,46.51%
2022-01-21,22.326,2022-01-21,22.326,2021-08-19-2022-01-05,19.124-26.75,Buy,0 days,0.0%,Rise by 0%,46.51%
2022-02-11,21.558,2022-02-18,20.846,2021-08-19-2022-01-05,19.124-26.75,Sell,5 days,3.3%,Fall by 9.06%,49.81%
2022-02-17,20.962,2022-02-23,20.262,2021-12-08-2022-01-27,21.158-24.868,Sell,4 days,3.34%,Fall by 6.44%,53.15%
2022-02-23,20.262,2022-02-28,20.506,2020-11-04-2022-01-05,17.034-26.75,Sell,3 days,-1.2%,Fall by 7.55%,51.95%
2022-03-31,20.542,2022-03-31,20.542,2021-11-19-2022-03-14,19.534-24.974,Sell,0 days,-0.0%,Fall by 0%,51.95%
2022-04-12,18.166,2022-04-21,17.63,2021-05-13-2021-07-29,18.35-21.224,Sell,7 days,2.95%,Fall by 9.18%,54.9%
2022-04-22,17.12,2022-04-29,17.21,2020-11-04-2021-02-05,17.034-23.7,Sell,5 days,-0.53%,Fall by 5.1%,54.37%
2022-06-08,18.452,2022-06-08,18.452,2021-11-19-2022-05-11,16.532-24.974,Sell,0 days,-0.0%,Fall by 0%,54.37%
2022-07-06,16.066,2022-07-07,16.702,2021-01-11-2022-05-11,16.532-20.666,Sell,1 days,-3.96%,Fall by -0.01%,50.41%
2022-07-29,17.078,2022-07-29,17.078,2021-02-05-2022-07-05,16.204-23.048,Sell,0 days,-0.0%,Fall by 0%,50.41%
2022-11-22,16.248,2022-11-22,16.248,2022-03-24-2022-10-13,13.138-21.188,Sell,0 days,-0.0%,Fall by 0%,50.41%
2022-12-20,15.5,2022-12-28,14.97,2021-09-24-2022-10-13,13.138-23.246,Sell,6 days,3.42%,Fall by -10.19%,53.83%
2022-12-30,15.256,2023-05-23,18.994,2022-10-13-2022-12-01,12.344-16.838,Buy,102 days,24.5%,Rise by 5.5%,78.33%
2023-02-09,18.024,2023-02-17,17.012,2021-12-08-2022-07-05,16.204-24.868,Sell,6 days,5.61%,Fall by -5.42%,83.95%
2023-02-27,16.67,2023-06-20,19.262,2022-10-13-2023-02-02,12.344-19.046,Buy,81 days,15.55%,Rise by -1.26%,99.5%
2023-03-14,17.088,2023-03-17,17.304,2023-02-02-2023-02-23,16.648-18.364,Sell,3 days,-1.26%,Fall by -3.64%,98.23%
2023-04-11,17.782,2023-05-18,19.778,2022-01-05-2022-07-05,16.204-25.662,Sell,27 days,-11.22%,Fall by 9.35%,87.01%
2023-05-04,18.534,2023-06-02,19.602,2022-12-01-2022-12-28,15.25-16.574,Sell,21 days,-5.76%,Fall by 8.54%,81.25%
2023-05-25,19.008,2023-05-26,19.196,2021-04-15-2022-10-13,13.138-22.424,Sell,1 days,-0.99%,Fall by 6.61%,80.26%
2023-06-21,18.936,2023-06-21,18.936,2021-11-19-2022-10-13,13.138-24.974,Sell,0 days,-0.0%,Fall by 0%,80.26%
2023-07-11,17.928,2023-08-07,18.088,2022-10-13-2023-06-13,12.344-20.188,Sell,19 days,-0.89%,Fall by 10.38%,79.37%
2023-08-07,18.088,2023-08-07,18.088,2022-10-13-2023-06-13,12.344-20.188,Buy,0 days,0.0%,Rise by 0%,79.37%
2023-09-01,17.052,2023-09-12,17.082,2022-10-13-2023-02-02,12.344-19.046,Sell,7 days,-0.18%,Fall by 4.92%,79.19%
2023-09-13,16.886,2023-09-26,16.26,2023-07-18-2023-08-25,16.338-18.916,Sell,9 days,3.71%,Fall by 1.55%,82.9%
2023-09-22,16.476,2023-10-31,16.61,2023-06-13-2023-08-25,16.338-20.008,Sell,27 days,-0.81%,Fall by -2.73%,82.08%
2023-11-22,17.518,2024-01-08,18.48,2023-06-13-2023-10-27,16.19-20.008,Sell,33 days,-5.49%,Fall by -3.24%,76.59%
2023-12-22,18.428,2024-01-08,18.48,2023-09-15-2023-10-04,16.386-17.352,Sell,11 days,-0.28%,Fall by -3.24%,76.31%
2024-01-22,19.918,2024-01-22,19.918,2023-07-18-2023-10-27,16.19-18.916,Sell,0 days,-0.0%,Fall by 0%,76.31%
2024-01-30,19.48,2024-11-13,18.5,2023-10-27-2024-01-12,15.924-20.176,Buy,206 days,-5.03%,Rise by 20.97%,71.28%
2024-05-10,15.074,2024-05-10,15.074,2024-01-12-2024-04-22,16.346-19.89,Sell,0 days,-0.0%,Fall by 0%,71.28%
2024-05-23,16.16,2024-05-23,16.16,2023-06-13-2024-05-10,15.186-20.008,Sell,0 days,-0.0%,Fall by 0%,71.28%
2024-06-13,16.82,2024-06-17,16.224,2023-07-18-2024-05-10,15.186-18.916,Sell,2 days,3.54%,Fall by -0.6%,74.82%
2024-07-19,18.566,2024-07-24,17.838,2024-01-12-2024-02-28,17.096-19.89,Sell,3 days,3.92%,Fall by -0.96%,78.74%
2024-07-29,17.28,2024-11-13,18.5,2024-05-10-2024-07-12,15.022-19.294,Buy,77 days,7.06%,Rise by 20.97%,85.8%
2024-09-09,18.21,2024-10-23,17.53,2024-03-20-2024-05-10,15.186-17.67,Sell,32 days,3.73%,Fall by -17.86%,89.54%
2024-10-11,18.98,2024-11-13,18.5,2024-05-10-2024-09-26,15.022-19.748,Buy,23 days,-2.53%,Rise by 20.97%,87.01%
2024-11-15,18.46,2024-12-03,20.47,2024-07-12-2024-08-05,16.52-19.004,Sell,12 days,-10.89%,Fall by -0.93%,76.12%
2024-12-23,21.16,2024-12-23,21.16,2024-10-23-2024-12-12,17.42-22.71,Buy,0 days,0.0%,Rise by 0%,76.12%
2025-01-16,20.33,2025-02-04,22.52,2024-05-10-2024-12-12,15.022-22.71,Sell,13 days,-10.77%,Fall by -1.47%,65.35%
2025-03-05,24.34,2025-03-06,24.4,2024-09-26-2024-10-23,17.64-19.484,Sell,1 days,-0.25%,Fall by 10.57%,65.1%
2025-05-07,25.02,2025-06-25,24.92,2024-12-12-2025-01-14,20.17-22.38,Sell,35 days,0.4%,Fall by 4.01%,65.5%
2025-06-25,24.92,2025-09-23,29.76,2025-04-07-2025-05-29,20.42-26.95,Buy,64 days,19.42%,Rise by -6.28%,84.92%
2025-07-15,24.08,2025-07-18,23.92,2024-10-23-2025-05-29,17.42-26.95,Sell,3 days,0.66%,Fall by -12.67%,85.59%
2025-07-18,23.92,2025-08-08,27.15,2020-11-04-2025-05-29,17.034-26.95,Sell,15 days,-13.5%,Fall by 0.74%,72.08%
2025-07-28,24.36,2025-08-08,27.15,2021-05-13-2025-05-29,18.35-26.95,Sell,9 days,-11.45%,Fall by 0.74%,60.63%
2025-07-31,24.32,2025-08-08,27.15,2025-05-29-2025-06-23,24.45-26.5,Sell,6 days,-11.64%,Fall by 0.74%,49.0%
2025-08-22,28.61,2025-08-29,27.52,2025-02-26-2025-04-07,22.19-25.27,Sell,5 days,3.81%,Fall by -2.03%,52.8%
