Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1975-07-31,0.8182,1975-08-31,0.7818,1974-10-31-1975-06-30,0.3182-0.9636,Sell,21 days,4.45%,Fall by 8.43%,4.45%
1975-12-31,0.6545,1981-09-30,1.5114,1974-10-31-1975-06-30,0.3182-0.9636,Buy,1500 days,130.92%,Rise by -19.55%,135.37%
1977-06-30,0.8182,1977-07-31,0.7614,1974-10-31-1977-03-31,0.3182-0.9659,Sell,21 days,6.94%,Fall by 14.93%,142.32%
1977-11-30,0.6932,1977-12-31,0.6477,1976-11-30-1977-03-31,0.6705-0.9659,Sell,22 days,6.56%,Fall by -7.02%,148.88%
1978-09-30,0.7159,1978-10-31,0.6932,1973-02-28-1974-10-31,0.4091-1.4,Sell,21 days,3.17%,Fall by 8.19%,152.05%
1979-01-31,0.7614,1981-11-30,1.6136,1974-10-31-1977-03-31,0.3182-0.9659,Buy,738 days,111.93%,Rise by -20.42%,263.98%
1979-08-31,0.7727,1979-09-30,0.75,1976-11-30-1979-04-30,0.6705-0.9773,Sell,20 days,2.94%,Fall by 19.69%,266.91%
1979-09-30,0.75,1979-09-30,0.75,1977-12-31-1979-04-30,0.6023-0.9773,Buy,0 days,0.0%,Rise by 0%,266.91%
1979-11-30,0.6364,1980-01-31,0.6591,1977-12-31-1979-04-30,0.6023-0.9773,Sell,44 days,-3.57%,Fall by -129.31%,263.35%
1981-06-30,1.8636,1981-08-31,1.7841,1974-10-31-1981-06-30,0.3182-3.0795,Sell,44 days,4.27%,Fall by 12.1%,267.61%
1981-08-31,1.7841,1981-09-30,1.5114,1980-03-31-1981-06-30,0.5455-3.0795,Sell,22 days,15.29%,Fall by 19.55%,282.9%
1981-11-30,1.6136,1981-11-30,1.6136,1977-03-31-1980-03-31,0.6477-0.8295,Sell,0 days,-0.0%,Fall by 0%,282.9%
1982-05-31,1.2955,1990-04-30,4.8295,1980-03-31-1981-06-30,0.5455-3.0795,Buy,2065 days,272.79%,Rise by -23.53%,555.69%
1983-01-31,1.2614,1983-02-28,1.1591,1982-08-31-1982-12-31,1.0-1.5682,Sell,20 days,8.11%,Fall by -5.88%,563.8%
1983-04-30,1.4205,1984-07-31,1.2386,1982-08-31-1982-12-31,1.0-1.5682,Buy,326 days,-12.81%,Rise by 33.95%,550.99%
1983-10-31,1.3636,1990-03-31,4.5795,1976-11-30-1981-06-30,0.6705-3.0795,Buy,1674 days,235.84%,Rise by -19.35%,786.83%
1984-07-31,1.2386,1984-09-30,1.4659,1982-08-31-1984-03-31,1.0-1.5795,Sell,43 days,-18.35%,Fall by 7.75%,768.48%
1985-03-31,1.5455,1985-08-31,1.375,1982-08-31-1984-03-31,1.0-1.5795,Buy,109 days,-11.03%,Rise by 50.41%,757.45%
1985-09-30,1.375,2000-07-31,18.7875,1984-07-31-1985-03-31,1.1591-1.7386,Buy,3870 days,1266.36%,Rise by -26.01%,2023.81%
1987-06-30,2.6023,1989-04-30,4.5227,1974-10-31-1981-06-30,0.3182-3.0795,Buy,478 days,73.8%,Rise by 23.12%,2097.61%
1989-06-30,4.7955,1989-08-31,5.4773,1981-06-30-1982-08-31,1.3523-1.8523,Sell,44 days,-14.22%,Fall by 16.39%,2083.39%
1989-07-31,5.2386,1990-10-31,4.5341,1984-07-31-1989-01-31,1.1591-5.4432,Buy,327 days,-13.45%,Rise by -16.54%,2069.94%
1990-03-31,4.5795,1990-05-31,5.1591,1984-07-31-1989-10-31,1.1591-5.9773,Sell,43 days,-12.66%,Fall by 12.11%,2057.29%
1990-05-31,5.1591,1990-10-31,4.5341,1982-08-31-1989-01-31,1.0-5.4432,Buy,109 days,-12.11%,Rise by -16.54%,2045.17%
1990-08-31,4.7159,1990-09-30,3.6932,1984-07-31-1989-01-31,1.1591-5.4432,Sell,20 days,21.69%,Fall by -2.46%,2066.86%
1990-09-30,3.6932,1990-10-31,4.5341,1974-10-31-1989-01-31,0.3182-5.4432,Sell,22 days,-22.77%,Fall by 16.54%,2044.09%
1990-11-30,4.0682,1990-12-31,3.9091,1980-03-31-1989-01-31,0.5455-5.4432,Sell,21 days,3.91%,Fall by 3.2%,2048.0%
1991-10-31,3.975,1994-10-31,6.0375,1984-07-31-1989-10-31,1.1591-5.9773,Buy,782 days,51.89%,Rise by -19.05%,2099.89%
1993-09-30,4.2625,1993-12-31,4.9875,1989-10-31-1990-09-30,4.6818-5.3068,Sell,66 days,-17.01%,Fall by 12.53%,2082.88%
1994-12-31,5.6125,1995-01-31,4.7,1989-10-31-1992-08-31,3.3875-5.3068,Sell,21 days,16.26%,Fall by 2.66%,2099.14%
1995-01-31,4.7,1995-02-28,4.3625,1984-07-31-1994-07-31,1.1591-6.325,Sell,20 days,7.18%,Fall by -4.87%,2106.32%
