Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2004-03-31,20.5533,2004-04-30,18.4333,2002-10-31-2004-01-31,8.6167-23.5567,Sell,22 days,10.31%,Fall by 13.16%,10.31%,
2004-10-31,16.9567,2015-09-30,27.1533,2002-10-31-2004-01-31,8.6167-23.5567,Buy,2847 days,60.13%,Rise by 81.67%,70.45%,
2005-05-31,17.8333,2005-08-31,19.65,2001-07-31-2002-10-31,12.4933-21.8833,Sell,66 days,-10.19%,Fall by 5.92%,60.26%,
2006-07-31,18.4867,2006-09-30,20.4933,2004-08-31-2006-04-30,14.5667-23.1333,Sell,44 days,-10.85%,Fall by 1.92%,49.41%,
2007-10-31,21.55,2007-11-30,19.7133,2004-08-31-2007-07-31,14.5667-23.75,Sell,22 days,8.52%,Fall by 13.43%,57.93%,
2007-11-30,19.7133,2008-01-31,17.07,2002-10-31-2007-07-31,8.6167-23.75,Sell,44 days,13.41%,Fall by 20.84%,71.34%,
2008-01-31,17.07,2008-03-31,16.52,2006-07-31-2007-07-31,16.93-23.75,Sell,42 days,3.22%,Fall by 18.2%,74.56%,
2008-03-31,16.52,2008-03-31,16.52,2004-08-31-2007-07-31,14.5667-23.75,Buy,0 days,0.0%,Rise by 0%,74.56%,
2010-05-31,15.7067,2010-06-30,14.57,2008-11-30-2010-04-30,7.6333-18.0,Sell,22 days,7.24%,Fall by -5.06%,81.8%,
2011-06-30,18.5,2011-07-31,17.49,2010-05-31-2011-02-28,7.7533-21.3967,Sell,21 days,5.46%,Fall by 4.92%,87.26%,
2011-07-31,17.49,2011-07-31,17.49,2001-07-31-2008-11-30,11.55-21.8833,Sell,0 days,-0.0%,Fall by 0%,87.26%,
2011-12-31,16.4667,2015-10-31,29.8467,2010-05-31-2011-02-28,7.7533-21.3967,Buy,999 days,81.25%,Rise by 65.28%,168.51%,
2012-08-31,17.9833,2012-08-31,17.9833,2004-01-31-2008-11-30,11.55-20.92,Sell,0 days,-0.0%,Fall by 0%,168.51%,
2012-09-30,17.2933,2019-01-31,57.5633,2011-10-31-2012-03-31,14.5133-20.11,Buy,1653 days,232.86%,Rise by 45.41%,401.38%,
2015-07-31,29.18,2015-08-31,27.6733,2011-10-31-2015-06-30,14.5133-33.9333,Sell,21 days,5.16%,Fall by -122.2%,406.54%,
2015-10-31,29.8467,2019-01-31,57.5633,2011-10-31-2015-06-30,14.5133-33.9333,Buy,848 days,92.86%,Rise by 45.41%,499.4%,
2016-01-31,27.6767,2016-03-31,30.54,2010-05-31-2015-06-30,7.7533-33.9333,Sell,43 days,-10.35%,Fall by -84.15%,489.06%,
2016-04-30,29.1267,2016-04-30,29.1267,2006-07-31-2015-06-30,16.93-33.9333,Buy,0 days,0.0%,Rise by 0%,489.06%,
2018-10-31,54.32,2018-12-31,52.3033,2011-10-31-2018-03-31,14.5133-65.77,Sell,43 days,3.71%,Fall by -30.78%,492.77%,
2018-12-31,52.3033,2019-01-31,57.5633,2015-08-31-2018-03-31,24.2867-65.77,Sell,23 days,-10.06%,Fall by -18.83%,482.71%,
2019-02-28,61.2467,2020-05-31,83.9533,2006-07-31-2018-03-31,16.93-65.77,Buy,326 days,37.07%,Rise by 115.33%,519.79%,
2020-05-31,83.9533,2021-04-30,140.6767,2015-08-31-2018-03-31,24.2867-65.77,Buy,239 days,67.57%,Rise by 28.5%,587.35%,
2022-01-31,159.8233,2022-04-30,133.5933,2018-12-31-2022-01-31,48.2633-186.34,Sell,64 days,16.41%,Fall by 20.47%,603.76%,
2022-04-30,133.5933,2022-06-30,116.5367,2015-08-31-2022-01-31,24.2867-186.34,Sell,43 days,12.77%,Fall by -26.54%,616.53%,
2022-12-31,115.9933,2024-10-31,218.26,2010-05-31-2022-01-31,7.7533-186.34,Buy,478 days,88.17%,Rise by -13.79%,704.7%,
2023-12-31,192.0333,2025-05-31,204.94,2015-08-31-2022-01-31,24.2867-186.34,Buy,369 days,6.72%,Rise by 49.58%,711.42%,
2024-07-31,235.38,2024-10-31,218.26,2022-10-31-2024-07-31,95.94-267.24,Sell,66 days,7.27%,Fall by 13.79%,718.69%,
2024-08-31,231.14,2024-10-31,218.26,2018-12-31-2024-07-31,48.2633-267.24,Sell,43 days,5.57%,Fall by 13.79%,724.26%,
2025-06-30,238.7,2025-06-30,238.7,2015-08-31-2024-07-31,24.2867-267.24,Buy,0 days,0.0%,Rise by 0%,724.26%,
