Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2006-07-02,127.28,2007-03-25,143.39,2005-11-13-2006-05-07,121.75-132.8,Buy,189 days,12.66%,Rise by 7.46%,12.66%
2007-12-16,147.17,2013-06-16,163.18,2006-06-18-2007-10-14,122.34-157.52,Buy,1434 days,10.88%,Rise by 4.76%,23.54%
2008-06-29,127.53,2008-08-03,126.16,2007-10-14-2008-01-27,136.76-154.54,Sell,24 days,1.07%,Fall by 12.54%,24.61%
2008-07-13,123.84,2008-08-03,126.16,2006-06-18-2007-10-14,122.34-157.52,Sell,14 days,-1.87%,Fall by 12.54%,22.74%
2008-09-28,120.85,2008-10-05,110.34,2005-11-13-2006-05-07,121.75-132.8,Sell,4 days,8.7%,Fall by 27.93%,31.43%
2009-02-15,82.76,2009-02-15,82.76,2007-07-22-2008-11-23,88.56-152.83,Sell,0 days,-0.0%,Fall by 0%,31.43%
2009-07-19,94.13,2009-09-13,104.77,2008-05-25-2009-03-08,73.92-137.52,Sell,39 days,-11.3%,Fall by -1.8%,20.13%
2010-05-09,111.26,2010-06-06,106.82,2009-03-08-2010-05-02,67.1-122.12,Sell,19 days,3.99%,Fall by -25.48%,24.12%
2010-06-06,106.82,2010-07-04,102.2,2007-10-14-2009-03-08,73.92-154.54,Sell,19 days,4.33%,Fall by -24.85%,28.45%
2010-07-18,106.66,2012-11-11,138.16,2009-03-08-2010-05-02,67.1-122.12,Buy,604 days,29.53%,Rise by 20.83%,57.98%
2011-03-27,131.3,2011-03-27,131.3,2006-05-07-2009-03-08,73.92-130.32,Sell,0 days,-0.0%,Fall by 0%,57.98%
2011-07-10,134.4,2012-11-11,138.16,2010-07-04-2011-05-08,101.13-137.18,Buy,349 days,2.8%,Rise by 20.83%,60.78%
2011-08-07,120.08,2011-08-21,112.64,2009-03-08-2011-05-08,67.1-137.18,Sell,9 days,6.2%,Fall by -13.78%,66.97%
2011-08-28,117.97,2017-01-08,227.21,2009-03-08-2011-05-08,67.1-137.18,Buy,1399 days,92.6%,Rise by 4.93%,159.57%
2012-05-13,135.61,2012-05-20,129.74,2011-05-08-2011-10-09,117.25-133.02,Sell,4 days,4.33%,Fall by -5.11%,163.9%
2015-09-13,196.74,2015-11-29,209.56,2010-07-04-2014-12-21,101.13-212.97,Buy,54 days,6.52%,Rise by -10.38%,170.42%
2015-10-18,203.27,2015-10-18,203.27,2011-10-09-2015-05-24,107.43-213.78,Buy,0 days,0.0%,Rise by 0%,170.42%
2015-12-13,201.88,2016-01-03,203.87,2015-05-24-2015-08-30,199.84-212.16,Sell,14 days,-0.99%,Fall by 0.31%,169.43%
2016-01-17,187.81,2016-01-17,187.81,2006-06-18-2015-05-24,122.34-213.78,Sell,0 days,-0.0%,Fall by 0%,169.43%
2016-05-29,210.24,2016-06-05,210.28,2015-11-08-2016-01-24,190.76-208.17,Sell,4 days,-0.02%,Fall by -1.43%,169.41%
2016-10-02,216.3,2016-11-06,208.55,2015-05-24-2016-01-24,190.76-212.16,Sell,24 days,3.58%,Fall by -11.49%,172.99%
2017-04-09,235.2,2017-04-16,232.51,2016-08-28-2016-11-06,213.19-216.25,Sell,4 days,1.14%,Fall by -12.47%,174.14%
2018-02-11,261.5,2018-09-02,290.31,2016-01-24-2018-01-28,181.02-286.63,Sell,144 days,-11.02%,Fall by 10.28%,163.12%
2018-11-18,273.73,2020-03-15,269.32,2016-01-24-2018-01-28,181.02-286.63,Buy,344 days,-1.61%,Rise by 18.57%,161.51%
2018-12-16,260.47,2018-12-23,240.7,2016-01-24-2018-09-23,181.02-293.94,Sell,4 days,7.59%,Fall by -14.36%,169.1%
2018-12-23,240.7,2019-01-20,266.46,2011-10-09-2018-09-23,107.43-293.94,Sell,19 days,-10.7%,Fall by -3.31%,158.4%
2019-01-13,258.98,2019-01-13,258.98,2016-01-24-2018-09-23,181.02-293.94,Buy,0 days,0.0%,Rise by 0%,158.4%
2019-06-09,287.65,2019-06-09,287.65,2018-01-28-2018-12-30,251.4-280.11,Sell,0 days,-0.0%,Fall by 0%,158.4%
2020-03-08,297.46,2020-03-15,269.32,2016-01-24-2020-02-23,181.02-339.08,Sell,4 days,9.46%,Fall by -22.06%,167.86%
2020-03-15,269.32,2020-03-22,228.8,2009-03-08-2020-02-23,67.1-339.08,Sell,4 days,15.05%,Fall by -43.68%,182.9%
2020-03-22,228.8,2020-03-29,253.42,2018-12-30-2020-02-23,233.76-339.08,Sell,4 days,-10.76%,Fall by -29.72%,172.14%
2020-04-05,248.19,2020-04-12,278.2,2011-10-09-2020-02-23,107.43-339.08,Sell,4 days,-12.09%,Fall by -18.16%,160.05%
2020-04-12,278.2,2020-04-12,278.2,2011-10-09-2018-01-28,107.43-286.63,Buy,0 days,0.0%,Rise by 0%,160.05%
2020-07-19,321.72,2020-11-15,358.1,2018-09-23-2020-03-29,262.8-289.03,Sell,84 days,-11.31%,Fall by -15.87%,148.74%
2020-10-11,346.85,2020-10-11,346.85,2018-12-30-2020-02-23,233.76-339.08,Buy,0 days,0.0%,Rise by 0%,148.74%
2022-03-13,420.07,2024-08-11,532.99,2020-03-29-2022-01-09,218.26-479.98,Buy,629 days,26.88%,Rise by 14.04%,175.62%
2022-05-08,411.34,2022-05-22,389.63,2020-03-29-2022-01-09,218.26-479.98,Sell,9 days,5.28%,Fall by 8.33%,180.9%
2022-05-15,401.72,2022-05-22,389.63,2016-01-24-2022-01-09,181.02-479.98,Sell,4 days,3.01%,Fall by 8.33%,183.91%
2022-05-22,389.63,2022-06-19,365.86,2011-10-09-2022-01-09,107.43-479.98,Sell,19 days,6.1%,Fall by 2.37%,190.01%
2022-06-05,410.54,2022-06-05,410.54,2018-12-30-2022-01-09,233.76-479.98,Buy,0 days,0.0%,Rise by 0%,190.01%
2022-06-19,365.86,2022-07-31,411.99,2009-03-08-2022-01-09,67.1-479.98,Sell,29 days,-12.61%,Fall by 10.69%,177.4%
2022-10-30,389.02,2022-10-30,389.02,2006-06-18-2022-01-09,122.34-479.98,Buy,0 days,0.0%,Rise by 0%,177.4%
2023-01-22,395.88,2023-01-22,395.88,2022-01-09-2022-10-16,370.26-464.65,Sell,0 days,-0.0%,Fall by 0%,177.4%
2023-04-02,409.39,2023-04-02,409.39,2010-07-04-2022-01-09,101.13-479.98,Buy,0 days,0.0%,Rise by 0%,177.4%
2024-05-05,511.29,2024-08-25,562.13,2023-07-30-2023-10-29,424.82-451.55,Sell,79 days,-9.94%,Fall by -3.27%,167.46%
