Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-06-08,77.59,2021-06-10,78.4,2021-04-06-2021-05-11,76.79-83.0,Sell,2 days,-1.04%,Fall by 10.82%,-1.04%,
2021-09-14,59.94,2021-09-17,58.9,2021-06-01-2021-08-19,54.66-80.6,Sell,3 days,1.74%,Fall by 1.0%,0.69%,
2022-01-20,60.5,2022-02-16,61.01,2021-10-22-2021-12-20,55.42-64.22,Sell,19 days,-0.84%,Fall by 14.44%,-0.15%,
2022-04-11,46.97,2022-04-20,44.85,2022-02-09-2022-03-15,40.43-61.95,Sell,7 days,4.51%,Fall by 6.27%,4.36%,
2022-05-10,42.95,2022-05-11,43.16,2021-10-22-2022-03-15,40.43-64.22,Sell,1 days,-0.49%,Fall by 10.43%,3.87%,
2022-06-15,48.69,2022-06-16,46.19,2022-05-03-2022-05-24,43.46-47.76,Sell,1 days,5.13%,Fall by 10.35%,9.01%,
2022-07-01,45.28,2022-07-06,43.89,2021-09-07-2022-03-15,40.43-65.75,Sell,3 days,3.07%,Fall by 11.92%,12.08%,
2022-08-24,40.11,2022-09-08,38.56,2022-06-08-2022-08-01,38.37-49.13,Sell,11 days,3.86%,Fall by 11.13%,15.94%,
2022-09-02,41.42,2022-09-06,39.27,2022-02-09-2022-08-01,38.37-61.95,Sell,2 days,5.19%,Fall by 11.2%,21.13%,
2022-11-23,36.29,2022-11-25,34.58,2022-08-26-2022-10-24,26.08-41.05,Sell,2 days,4.71%,Fall by -28.63%,25.84%,
2022-12-20,39.46,2023-01-03,44.58,2021-02-12-2022-10-24,26.08-98.43,Sell,10 days,-12.98%,Fall by 5.25%,12.87%,
2023-02-03,48.25,2023-02-21,45.6,2022-06-08-2022-10-24,26.08-49.13,Sell,12 days,5.49%,Fall by 7.37%,18.36%,
2023-02-08,48.23,2023-02-08,48.23,2022-10-24-2023-01-27,24.75-52.88,Buy,0 days,0.0%,Rise by 0%,18.36%,
2023-02-16,48.77,2023-02-17,47.2,2021-10-22-2022-10-24,26.08-64.22,Sell,1 days,3.22%,Fall by 10.51%,21.58%,
2023-02-22,44.78,2023-03-09,42.24,2022-10-24-2023-01-27,24.75-52.88,Sell,11 days,5.67%,Fall by -0.31%,27.25%,
2023-03-09,42.24,2023-03-09,42.24,2021-04-06-2022-10-24,26.08-83.0,Sell,0 days,-0.0%,Fall by 0%,27.25%,
2023-05-08,43.23,2023-05-09,41.86,2023-01-27-2023-03-10,42.87-52.15,Sell,1 days,3.17%,Fall by 5.57%,30.42%,
2023-06-26,42.41,2023-06-26,42.41,2023-01-27-2023-05-31,39.63-52.15,Sell,0 days,-0.0%,Fall by 0%,30.42%,
2023-06-27,43.57,2024-05-22,48.75,2023-05-31-2023-06-16,38.88-46.46,Buy,236 days,11.89%,Rise by 1.07%,42.31%,
2023-08-07,43.04,2023-08-10,43.43,2023-06-16-2023-07-06,41.57-45.48,Sell,3 days,-0.91%,Fall by 11.81%,41.4%,
2023-09-11,41.2,2023-09-11,41.2,2023-06-16-2023-08-16,41.15-45.48,Sell,0 days,-0.0%,Fall by 0%,41.4%,
2023-09-21,38.3,2023-09-25,38.91,2023-05-31-2023-06-16,38.88-46.46,Sell,2 days,-1.59%,Fall by 6.4%,39.81%,
