Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2007-03-04,302.1375,2007-03-25,322.05,2006-06-18-2007-01-21,181.4075-347.2375,Sell,14 days,-6.59%,Fall by 11.51%,-6.59%,
2007-03-25,322.05,2010-02-14,371.35,2006-06-18-2007-01-21,181.4075-347.2375,Buy,754 days,15.31%,Rise by 63.14%,8.72%,
2008-07-13,199.65,2008-07-13,199.65,2006-05-14-2008-05-04,240.5-246.2875,Sell,0 days,-0.0%,Fall by 0%,8.72%,
2008-10-19,113.4625,2008-11-02,134.375,2007-01-21-2008-05-04,240.5-323.0375,Sell,9 days,-18.43%,Fall by 12.25%,-9.71%,
2010-02-28,380.9,2010-05-23,359.35,2008-06-08-2008-11-02,148.75-234.5375,Sell,59 days,5.66%,Fall by -49.86%,-4.06%,
2011-02-27,555.025,2011-08-07,528.975,2007-01-21-2008-11-02,148.75-323.0375,Sell,114 days,4.69%,Fall by -2.04%,0.64%,
2011-07-10,585.825,2012-03-25,592.325,2006-06-18-2011-04-10,181.4075-623.475,Buy,184 days,1.11%,Rise by 7.83%,1.75%,
2011-08-14,473.575,2011-10-09,524.275,2008-11-02-2011-04-10,103.8375-623.475,Sell,39 days,-10.71%,Fall by -2.95%,-8.96%,
2012-04-01,584.4,2012-04-08,589.225,2011-04-10-2011-08-28,494.0-592.0,Sell,4 days,-0.83%,Fall by -3.78%,-9.78%,
2012-10-14,649.225,2012-12-09,632.075,2011-08-28-2012-09-16,451.0-719.9,Sell,39 days,2.64%,Fall by -8.32%,-7.14%,
2012-12-09,632.075,2013-12-01,1002.175,2011-08-28-2012-09-16,451.0-719.9,Buy,254 days,58.55%,Rise by 30.0%,51.41%,
2013-01-06,649.6,2014-02-16,1083.95,2006-06-18-2012-09-16,181.4075-719.9,Buy,289 days,66.86%,Rise by 20.2%,118.27%,
2014-04-06,1069.425,2014-11-09,1286.425,2011-08-28-2014-01-19,451.0-1192.4,Buy,154 days,20.29%,Rise by 4.8%,138.57%,
2014-08-31,1261.175,2014-10-05,1387.8,2014-01-19-2014-05-25,1080.0-1103.025,Sell,24 days,-10.04%,Fall by 11.71%,128.53%,
2015-01-04,1289.725,2015-03-29,1257.4,2011-08-28-2014-10-12,451.0-1419.85,Buy,59 days,-2.51%,Rise by 7.49%,126.02%,
2015-04-12,1326.875,2015-04-19,1237.425,2014-10-12-2014-12-21,1261.875-1324.625,Sell,4 days,6.74%,Fall by 0.02%,132.76%,
2015-12-06,1164.2,2016-02-14,1113.3,2011-08-28-2014-10-12,451.0-1419.85,Sell,49 days,4.37%,Fall by -8.98%,137.13%,
2016-02-07,1210.975,2021-02-21,3071.8501,2008-11-02-2014-10-12,103.8375-1419.85,Buy,1314 days,153.67%,Rise by 8.15%,290.8%,
2016-02-14,1113.3,2016-03-27,1236.9,2006-06-18-2014-10-12,181.4075-1419.85,Sell,29 days,-11.1%,Fall by 1.91%,279.7%,
2016-07-31,1309.65,2016-07-31,1309.65,2014-10-12-2016-03-06,1195.5-1324.625,Sell,0 days,-0.0%,Fall by 0%,279.7%,
2016-11-13,1050.575,2016-12-04,1110.925,2016-03-06-2016-08-14,1057.5-1372.4,Sell,14 days,-5.74%,Fall by -0.48%,273.95%,
2017-04-23,1155.4,2017-04-23,1155.4,2014-10-12-2016-11-20,1104.45-1324.625,Sell,0 days,-0.0%,Fall by 0%,273.95%,
2017-05-07,1160.25,2017-05-07,1160.25,2016-03-06-2016-08-14,1057.5-1372.4,Buy,0 days,0.0%,Rise by 0%,273.95%,
2017-07-16,1198.725,2017-11-12,1354.375,2015-10-11-2016-03-06,1195.5-1304.0,Sell,84 days,-12.98%,Fall by -4.04%,260.97%,
2018-10-14,1918.3,2018-10-28,1799.1,2016-11-20-2018-10-07,1025.95-2275.95,Sell,9 days,6.21%,Fall by -15.44%,267.18%,
2018-10-28,1799.1,2018-12-09,1995.2,2011-08-28-2018-10-07,451.0-2275.95,Sell,29 days,-10.9%,Fall by -4.1%,256.28%,
2018-11-18,1886.6,2019-05-26,2048.0,2016-11-20-2018-10-07,1025.95-2275.95,Buy,134 days,8.56%,Rise by 10.33%,264.84%,
2019-02-03,2029.95,2019-05-26,2048.0,2011-08-28-2018-10-07,451.0-2275.95,Buy,79 days,0.89%,Rise by 10.33%,265.73%,
2019-10-13,1986.85,2019-11-03,2200.8999,2016-11-20-2019-09-08,1025.95-2296.2,Sell,14 days,-10.77%,Fall by 17.93%,254.95%,
2019-12-29,2198.5,2019-12-29,2198.5,2016-11-20-2019-09-08,1025.95-2296.2,Buy,0 days,0.0%,Rise by 0%,254.95%,
2020-03-15,1806.3,2020-04-05,1654.2,2011-08-28-2019-09-08,451.0-2296.2,Sell,14 days,8.42%,Fall by -84.86%,263.37%,
2020-03-29,1824.5,2020-11-08,2707.45,2006-06-18-2019-09-08,181.4075-2296.2,Buy,159 days,48.39%,Rise by 22.0%,311.77%,
2020-04-05,1654.2,2020-05-03,2014.45,2006-06-18-2018-10-07,181.4075-2275.95,Sell,19 days,-21.78%,Fall by -43.68%,289.99%,
2020-09-06,2288.8,2020-10-04,2523.45,2019-09-08-2020-03-15,2079.8999-2192.6001,Sell,19 days,-10.25%,Fall by -14.7%,279.74%,
2022-03-13,3599.1499,2022-03-13,3599.1499,2020-03-15-2022-01-23,1506.05-4043.0,Buy,0 days,0.0%,Rise by 0%,279.74%,
2022-05-22,3293.0,2022-06-19,3088.8999,2020-03-15-2022-01-23,1506.05-4043.0,Sell,19 days,6.2%,Fall by 3.46%,285.94%,
2022-06-12,3359.8999,2024-04-14,4001.3999,2011-08-28-2022-01-23,451.0-4043.0,Buy,479 days,19.09%,Rise by 13.8%,305.03%,
2022-06-19,3088.8999,2022-07-17,2994.6001,2011-08-28-2022-01-23,451.0-4043.0,Sell,19 days,3.05%,Fall by 0.42%,308.08%,
2023-01-08,3211.55,2023-02-12,3537.55,2022-01-23-2022-07-17,3225.0-3771.1001,Sell,24 days,-10.15%,Fall by 10.65%,297.93%,
2023-03-26,3120.5,2023-04-09,3220.7,2022-01-23-2022-10-02,3055.8501-3771.1001,Sell,9 days,-3.21%,Fall by 1.42%,294.72%,
2023-05-07,3230.7,2023-05-07,3230.7,2022-10-02-2023-02-19,2926.1001-3575.0,Buy,0 days,0.0%,Rise by 0%,294.72%,
