Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-06-03,87.82,2021-06-16,87.84,2021-04-06-2021-04-20,82.2-83.22,Sell,9 days,-0.02%,Fall by 6.86%,-0.02%
2021-07-12,85.05,2022-01-24,99.21,2020-11-04-2021-05-27,59.08-89.12,Buy,140 days,16.65%,Rise by 8.7%,16.63%
2021-08-20,86.13,2021-08-20,86.13,2021-04-06-2021-07-20,82.77-83.22,Sell,0 days,-0.0%,Fall by 0%,16.63%
2021-11-22,92.96,2021-11-22,92.96,2021-04-06-2021-09-20,81.92-83.22,Sell,0 days,-0.0%,Fall by 0%,16.63%
2022-02-28,102.28,2022-02-28,102.28,2021-09-20-2022-02-11,80.68-109.08,Buy,0 days,0.0%,Rise by 0%,16.63%
2022-03-10,98.36,2022-03-10,98.36,2020-11-04-2022-02-11,59.08-109.08,Buy,0 days,0.0%,Rise by 0%,16.63%
2022-03-29,101.57,2022-04-05,100.19,2022-02-11-2022-03-08,98.18-107.28,Sell,5 days,1.36%,Fall by 9.51%,17.98%
2022-04-12,94.59,2022-04-26,91.37,2020-11-04-2022-02-11,59.08-109.08,Sell,10 days,3.4%,Fall by -0.43%,21.39%
2022-05-11,92.67,2022-05-16,92.14,2022-02-11-2022-04-27,91.72-107.28,Sell,3 days,0.57%,Fall by 10.53%,21.96%
2022-06-08,94.85,2022-06-10,91.62,2022-03-22-2022-04-27,91.72-102.88,Sell,2 days,3.41%,Fall by 10.02%,25.37%
2022-07-11,81.84,2022-07-14,78.17,2021-09-20-2022-02-11,80.68-109.08,Sell,3 days,4.48%,Fall by -7.6%,29.85%
2022-08-25,86.06,2022-08-25,86.06,2022-02-11-2022-07-14,78.69-107.28,Sell,0 days,-0.0%,Fall by 0%,29.85%
2022-09-19,88.36,2022-09-23,84.37,2022-08-18-2022-09-01,84.65-88.04,Sell,4 days,4.52%,Fall by 4.2%,34.37%
2022-09-30,84.72,2022-11-30,89.53,2022-07-14-2022-09-12,77.27-89.13,Buy,43 days,5.68%,Rise by 4.5%,40.04%
2022-11-17,88.73,2022-12-21,88.1,2022-09-12-2022-10-13,84.78-88.37,Sell,24 days,0.71%,Fall by 2.38%,40.75%
2022-12-21,88.1,2025-07-14,101.48,2022-10-13-2022-12-02,79.9-92.86,Buy,668 days,15.19%,Rise by 11.65%,55.94%
