Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1998-09-30,10.1875,1998-12-31,13.45,1995-03-31-1998-06-30,4.875-18.6875,Sell,66 days,-32.02%,Fall by -46.84%,-32.02%
1999-09-30,14.225,1999-12-31,19.375,1995-03-31-1999-06-30,4.875-22.75,Sell,66 days,-36.2%,Fall by 0.28%,-68.23%
2000-06-30,18.0,2000-09-30,22.1,1998-12-31-1999-06-30,9.375-22.75,Sell,65 days,-22.78%,Fall by 12.58%,-91.01%
2000-12-31,21.725,2001-03-31,19.75,1995-03-31-2000-12-31,4.875-23.325,Sell,64 days,9.09%,Fall by 29.7%,-81.92%
2001-03-31,19.75,2002-03-31,21.825,1998-12-31-2000-12-31,9.375-23.325,Sell,259 days,-10.51%,Fall by 22.08%,-92.42%
2003-06-30,18.68,2008-09-30,32.04,1998-12-31-2000-12-31,9.375-23.325,Buy,1371 days,71.52%,Rise by 18.13%,-20.9%
2009-09-30,34.625,2012-06-30,39.84,1998-12-31-1999-06-30,9.375-22.75,Buy,717 days,15.06%,Rise by 38.73%,-5.84%
2011-09-30,37.295,2012-03-31,42.33,2002-12-31-2011-03-31,12.585-43.41,Sell,130 days,-13.5%,Fall by -29.77%,-19.34%
2012-06-30,39.84,2012-06-30,39.84,1995-03-31-2011-03-31,4.875-43.41,Buy,0 days,0.0%,Rise by 0%,-19.34%
2015-09-30,52.6,2016-09-30,58.24,2011-12-31-2014-09-30,34.065-58.2,Sell,262 days,-10.72%,Fall by -16.52%,-30.06%
2016-03-31,56.06,2023-03-31,80.95,2002-12-31-2014-09-30,12.585-58.2,Buy,1826 days,44.4%,Rise by 5.77%,14.34%
2018-12-31,67.86,2019-06-30,76.52,2015-09-30-2018-09-30,47.75-80.05,Sell,129 days,-12.76%,Fall by 21.81%,1.57%
2020-03-31,59.83,2020-12-31,71.92,2002-12-31-2018-09-30,12.585-80.05,Sell,197 days,-20.21%,Fall by -12.56%,-18.63%
2020-09-30,61.65,2023-06-30,82.11,2011-12-31-2014-09-30,34.065-58.2,Buy,717 days,33.19%,Rise by 35.53%,14.55%
2022-06-30,84.41,2023-03-31,80.95,2020-03-31-2022-03-31,49.01-109.08,Sell,196 days,4.1%,Fall by 7.1%,18.65%
2023-03-31,80.95,2024-06-30,75.2,1995-03-31-2022-03-31,4.875-109.08,Sell,325 days,7.1%,Fall by -53.14%,25.76%
2025-06-30,100.16,2025-06-30,100.16,2020-03-31-2022-03-31,49.01-109.08,Buy,0 days,0.0%,Rise by 0%,25.76%
