Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
1998-09-30,6.6562,1998-12-31,8.8125,1996-09-30-1998-06-30,4.7188-13.0625,Sell,66 days,-32.4%,Fall by -42.81%,-32.4%
1999-06-30,11.375,1999-09-30,9.75,1998-12-31-1999-06-30,6.0312-15.25,Sell,66 days,14.29%,Fall by -32.0%,-18.11%
1999-09-30,9.75,1999-12-31,13.5,1996-09-30-1999-06-30,4.7188-15.25,Sell,66 days,-38.46%,Fall by -1.56%,-56.57%
2000-12-31,14.5,2001-03-31,12.585,1996-09-30-2000-12-31,4.7188-15.5625,Sell,64 days,13.21%,Fall by 30.04%,-43.36%
2001-09-30,12.31,2002-03-31,13.71,1998-12-31-2000-12-31,6.0312-15.5625,Sell,129 days,-11.37%,Fall by 21.04%,-54.74%
2003-06-30,13.89,2003-06-30,13.89,1998-12-31-2000-12-31,6.0312-15.5625,Buy,0 days,0.0%,Rise by 0%,-54.74%
2009-09-30,32.225,2009-09-30,32.225,1996-09-30-2000-12-31,4.7188-15.5625,Buy,0 days,0.0%,Rise by 0%,-54.74%
2011-09-30,35.475,2012-03-31,42.475,2002-12-31-2011-06-30,7.885-44.895,Sell,130 days,-19.73%,Fall by 5.39%,-74.47%
2014-12-31,47.78,2015-03-31,42.85,2011-12-31-2014-09-30,32.28-53.49,Sell,64 days,10.32%,Fall by 8.59%,-64.15%
2015-03-31,42.85,2015-09-30,39.42,2002-12-31-2014-09-30,7.885-53.49,Sell,131 days,8.0%,Fall by -48.6%,-56.15%
2018-12-31,49.72,2019-06-30,58.36,2002-12-31-2018-09-30,7.885-62.0,Sell,129 days,-17.38%,Fall by 27.36%,-73.52%
2019-06-30,58.36,2023-03-31,59.9,2011-12-31-2014-09-30,32.28-53.49,Buy,979 days,2.64%,Rise by 7.88%,-70.89%
2019-09-30,58.26,2019-12-31,56.13,2016-03-31-2018-09-30,33.49-62.0,Sell,66 days,3.66%,Fall by 17.62%,-67.23%
2020-09-30,46.24,2020-09-30,46.24,1998-12-31-2018-09-30,6.0312-62.0,Buy,0 days,0.0%,Rise by 0%,-67.23%
2022-06-30,65.58,2022-09-30,61.33,2020-03-31-2022-03-31,33.74-86.02,Sell,66 days,6.48%,Fall by 13.19%,-60.75%
2023-03-31,59.9,2024-06-30,54.96,2011-12-31-2022-03-31,32.28-86.02,Sell,325 days,8.25%,Fall by -49.44%,-52.5%
2023-09-30,60.26,2023-09-30,60.26,2016-03-31-2018-09-30,33.49-62.0,Buy,0 days,0.0%,Rise by 0%,-52.5%
