Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-02-03,149.68,2021-02-09,148.79,2020-11-04-2021-01-12,151.16-160.54,Sell,4 days,0.59%,Fall by 9.99%,0.59%,
2021-04-22,140.39,2021-05-03,138.52,2020-11-04-2021-03-18,134.47-160.54,Sell,7 days,1.33%,Fall by -5.81%,1.93%,
2021-06-03,138.01,2021-06-18,145.73,2021-04-15-2021-05-12,136.8-139.46,Sell,11 days,-5.59%,Fall by -0.35%,-3.67%,
2021-08-16,148.91,2021-12-10,148.86,2021-03-18-2021-07-20,133.19-152.71,Buy,84 days,-0.03%,Rise by -5.08%,-3.7%,
2021-08-27,149.46,2021-08-30,149.85,2021-07-20-2021-08-12,146.44-149.76,Sell,1 days,-0.26%,Fall by 5.56%,-3.96%,
2021-10-25,143.91,2021-10-25,143.91,2021-07-20-2021-10-11,141.9-149.76,Sell,0 days,-0.0%,Fall by 0%,-3.96%,
2021-12-20,149.7,2021-12-20,149.7,2021-10-11-2021-12-03,141.45-155.12,Buy,0 days,0.0%,Rise by 0%,-3.96%,
2021-12-23,148.52,2021-12-23,148.52,2021-03-18-2021-12-03,133.19-155.12,Buy,0 days,0.0%,Rise by 0%,-3.96%,
2022-02-04,139.01,2022-02-18,138.23,2021-10-11-2021-12-03,141.45-155.12,Sell,10 days,0.56%,Fall by 10.92%,-3.4%,
2022-03-08,137.77,2022-03-08,137.77,2021-07-20-2022-02-16,136.07-149.76,Sell,0 days,-0.0%,Fall by 0%,-3.4%,
2022-03-14,131.76,2022-03-14,131.76,2021-03-18-2021-12-03,133.19-155.12,Sell,0 days,-0.0%,Fall by 0%,-3.4%,
2022-06-06,113.89,2022-06-06,113.89,2021-09-22-2022-05-09,114.71-150.44,Sell,0 days,-0.0%,Fall by 0%,-3.4%,
2022-07-12,115.12,2022-07-12,115.12,2021-04-15-2022-06-16,111.72-139.46,Sell,0 days,-0.0%,Fall by 0%,-3.4%,
2022-08-15,115.45,2022-08-15,115.45,2022-06-16-2022-08-02,108.12-120.69,Buy,0 days,0.0%,Rise by 0%,-3.4%,
2022-09-22,105.27,2022-09-27,100.95,2022-06-16-2022-08-02,108.12-120.69,Sell,3 days,4.1%,Fall by 8.47%,0.7%,
2022-12-14,108.16,2022-12-20,103.44,2022-08-02-2022-10-24,93.55-117.29,Sell,4 days,4.36%,Fall by 3.83%,5.07%,
2022-12-22,103.68,2022-12-27,100.14,2020-11-04-2022-10-24,93.55-160.54,Sell,3 days,3.41%,Fall by 0.66%,8.48%,
2023-01-25,107.48,2023-01-26,106.98,2022-12-07-2022-12-28,100.78-108.2,Sell,1 days,0.47%,Fall by 7.01%,8.95%,
2023-01-26,106.98,2023-01-26,106.98,2022-10-24-2022-12-07,91.85-109.68,Buy,0 days,0.0%,Rise by 0%,8.95%,
2023-03-20,105.91,2023-03-24,106.85,2023-02-02-2023-03-02,99.65-108.09,Sell,4 days,-0.89%,Fall by 2.83%,8.06%,
2023-03-31,106.37,2023-04-21,104.4,2021-12-03-2022-10-24,93.55-151.35,Sell,15 days,1.85%,Fall by 3.95%,9.91%,
2023-05-03,106.29,2023-05-09,103.05,2021-07-20-2022-10-24,93.55-149.76,Sell,4 days,3.05%,Fall by 2.69%,12.96%,
2023-05-18,101.82,2023-05-31,102.99,2021-09-22-2022-10-24,93.55-150.44,Sell,9 days,-1.15%,Fall by 3.8%,11.81%,
2023-06-30,102.94,2023-07-03,102.08,2023-03-13-2023-05-26,101.17-105.04,Sell,1 days,0.84%,Fall by 9.37%,12.65%,
2023-07-26,101.27,2023-08-01,98.14,2023-03-13-2023-07-10,99.53-105.04,Sell,4 days,3.09%,Fall by 5.73%,15.74%,
2023-09-08,94.37,2023-09-08,94.37,2023-03-13-2023-08-21,92.76-105.04,Sell,0 days,-0.0%,Fall by 0%,15.74%,
2023-09-21,90.7,2023-10-02,86.93,2022-10-24-2022-12-07,91.85-109.68,Sell,7 days,4.16%,Fall by 4.79%,19.89%,
2024-01-05,96.29,2024-01-05,96.29,2021-12-03-2023-10-23,84.86-151.35,Sell,0 days,-0.0%,Fall by 0%,19.89%,
2024-01-10,96.17,2024-09-20,98.88,2023-10-23-2023-12-28,82.42-100.57,Buy,182 days,2.82%,Rise by -6.21%,22.71%,
2024-02-08,94.04,2024-02-08,94.04,2021-07-20-2023-10-23,84.86-149.76,Sell,0 days,-0.0%,Fall by 0%,22.71%,
2024-03-14,92.97,2024-03-22,93.98,2024-02-01-2024-02-21,92.9-97.19,Sell,6 days,-1.09%,Fall by 6.6%,21.62%,
2024-04-05,91.39,2024-04-16,88.3,2023-12-28-2024-02-21,92.9-99.56,Sell,7 days,3.38%,Fall by -0.77%,25.01%,
2024-05-14,90.86,2024-05-14,90.86,2023-12-28-2024-04-25,87.9-99.56,Sell,0 days,-0.0%,Fall by 0%,25.01%,
2024-07-03,91.8,2024-07-03,91.8,2024-04-25-2024-06-14,87.34-94.84,Buy,0 days,0.0%,Rise by 0%,25.01%,
2024-08-12,96.61,2024-09-04,99.01,2024-06-14-2024-07-01,91.08-94.24,Sell,17 days,-2.48%,Fall by 9.3%,22.52%,
2024-09-30,98.1,2024-09-30,98.1,2024-04-25-2024-09-17,87.34-101.64,Buy,0 days,0.0%,Rise by 0%,22.52%,
2024-12-13,90.15,2024-12-27,87.1,2024-09-17-2024-11-18,90.59-100.74,Sell,10 days,3.38%,Fall by 2.08%,25.9%,
2025-01-06,86.9,2025-01-16,87.04,2024-04-25-2024-09-17,87.34-101.64,Sell,8 days,-0.16%,Fall by -0.22%,25.74%,
2025-01-07,85.92,2025-01-16,87.04,2024-04-25-2024-06-14,87.34-94.84,Sell,7 days,-1.3%,Fall by -0.22%,24.44%,
2025-02-12,87.23,2025-02-12,87.23,2024-09-17-2025-01-14,85.36-100.74,Sell,0 days,-0.0%,Fall by 0%,24.44%,
2025-05-08,86.92,2025-05-08,86.92,2025-01-14-2025-04-04,84.89-94.09,Buy,0 days,0.0%,Rise by 0%,24.44%,
