Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2006-12-31,88.43,2010-03-31,89.5,2004-06-30-2005-06-30,80.51-97.0,Buy,847 days,1.21%,Rise by 39.89%,1.21%
2009-12-31,89.89,2015-12-31,120.58,2007-06-30-2008-12-31,82.2-123.15,Buy,1565 days,34.14%,Rise by 1.09%,35.35%
2010-12-31,94.12,2013-06-30,110.44,2004-06-30-2008-12-31,80.51-123.15,Buy,650 days,17.34%,Rise by 11.86%,52.69%
2011-09-30,120.8,2013-09-30,106.4,2010-06-30-2010-09-30,87.3-109.34,Buy,521 days,-11.92%,Rise by 22.83%,40.77%
2011-12-31,121.25,2012-03-31,112.2,2004-06-30-2008-12-31,80.51-123.15,Sell,64 days,7.46%,Fall by -1.18%,48.23%
2012-09-30,124.22,2013-03-31,117.76,2010-06-30-2012-09-30,87.3-132.21,Sell,129 days,5.2%,Fall by 13.5%,53.44%
2014-06-30,113.52,2015-12-31,120.58,2007-06-30-2012-09-30,82.2-132.21,Buy,393 days,6.22%,Rise by 1.09%,59.65%
2016-12-31,119.13,2016-12-31,119.13,2007-06-30-2016-09-30,82.2-143.62,Sell,0 days,-0.0%,Fall by 0%,59.65%
2017-09-30,124.76,2018-09-30,117.27,2010-06-30-2015-03-31,87.3-138.5,Sell,259 days,6.0%,Fall by -34.5%,65.66%
2019-06-30,132.81,2021-09-30,144.32,2007-06-30-2016-09-30,82.2-143.62,Buy,588 days,8.67%,Rise by -20.41%,74.32%
2020-06-30,163.93,2020-12-31,157.73,2010-06-30-2020-03-31,87.3-179.7,Sell,132 days,3.78%,Fall by 16.26%,78.11%
2020-12-31,157.73,2021-03-31,135.45,2013-12-31-2020-03-31,101.17-179.7,Sell,64 days,14.13%,Fall by 15.19%,92.23%
2021-03-31,135.45,2021-09-30,144.32,2018-12-31-2020-03-31,111.9-179.7,Sell,131 days,-6.55%,Fall by 20.41%,85.68%
2021-09-30,144.32,2021-09-30,144.32,2013-12-31-2020-03-31,101.17-179.7,Buy,0 days,0.0%,Rise by 0%,85.68%
2022-03-31,132.08,2022-06-30,114.87,2007-06-30-2020-03-31,82.2-179.7,Sell,65 days,13.03%,Fall by 10.39%,98.71%
2022-06-30,114.87,2022-09-30,102.45,2004-06-30-2020-03-31,80.51-179.7,Sell,66 days,10.81%,Fall by 13.43%,109.53%
2022-09-30,102.45,2022-09-30,102.45,2013-12-31-2016-09-30,101.17-143.62,Sell,0 days,-0.0%,Fall by 0%,109.53%
2023-06-30,102.94,2023-09-30,88.69,2004-06-30-2015-03-31,80.51-138.5,Sell,65 days,13.84%,Fall by 1.53%,123.37%
2023-09-30,88.69,2023-12-31,98.88,2010-06-30-2010-09-30,87.3-109.34,Sell,64 days,-11.49%,Fall by 11.68%,111.88%
2025-06-30,88.25,2025-11-03,90.29,2007-06-30-2008-12-31,82.2-123.15,Sell,90 days,-2.31%,Fall by 0.0%,109.57%
2025-11-03,90.29,2025-11-03,90.29,2012-09-30-2023-12-31,100.57-118.05,Sell,0 days,-0.0%,Fall by 0%,109.57%
