Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-03-02,228.8133,2021-03-03,217.7333,2020-11-04-2021-01-25,139.0333-300.1333,Sell,1 days,4.84%,Fall by 6.42%,4.84%,
2021-04-01,220.5833,2021-04-01,220.5833,2020-11-04-2021-01-25,139.0333-300.1333,Buy,0 days,0.0%,Rise by 0%,4.84%,
2021-04-12,233.9933,2021-04-29,225.6667,2021-01-25-2021-03-05,209.28-279.6067,Sell,13 days,3.56%,Fall by 15.56%,8.4%,
2021-05-17,192.2767,2021-05-17,192.2767,2021-03-05-2021-04-14,179.83-260.2633,Buy,0 days,0.0%,Rise by 0%,8.4%,
2021-06-07,201.71,2021-06-18,207.77,2021-04-14-2021-05-19,188.7367-242.6767,Sell,9 days,-3.0%,Fall by -3.22%,5.4%,
2021-06-21,206.9433,2021-06-28,229.5733,2021-03-05-2021-04-14,179.83-260.2633,Sell,5 days,-10.94%,Fall by 6.58%,-5.54%,
2021-11-09,341.1667,2021-11-12,344.4733,2021-05-19-2021-11-04,182.3267-414.4967,Sell,3 days,-0.97%,Fall by 10.31%,-6.51%,
2021-11-17,363.0033,2021-11-17,363.0033,2021-05-19-2021-11-04,182.3267-414.4967,Buy,0 days,0.0%,Rise by 0%,-6.51%,
2021-12-08,356.32,2021-12-08,356.32,2020-11-04-2021-11-04,139.0333-414.4967,Buy,0 days,0.0%,Rise by 0%,-6.51%,
2022-01-11,354.8,2022-01-12,368.74,2021-11-04-2021-12-21,313.1667-405.6667,Sell,1 days,-3.93%,Fall by 25.05%,-10.44%,
2022-04-12,328.9833,2022-04-12,328.9833,2021-11-04-2022-02-24,267.4933-405.6667,Sell,0 days,-0.0%,Fall by 0%,-10.44%,
2022-04-18,334.7633,2022-04-18,334.7633,2022-02-24-2022-04-05,233.3333-384.29,Buy,0 days,0.0%,Rise by 0%,-10.44%,
2022-04-28,292.5033,2022-05-02,300.98,2022-02-24-2022-04-05,233.3333-384.29,Sell,2 days,-2.9%,Fall by 19.78%,-13.33%,
2022-07-05,233.0667,2022-07-15,240.0667,2022-01-04-2022-05-24,217.9733-374.35,Sell,8 days,-3.0%,Fall by -12.56%,-16.34%,
