Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2012-05-31,1.9667,2012-07-31,1.828,2010-06-30-2012-03-31,1.1693-2.6633,Sell,43 days,7.05%,Fall by -711.12%,7.05%,
2012-10-31,1.8753,2014-12-31,14.8273,2010-06-30-2012-03-31,1.1693-2.6633,Buy,565 days,690.66%,Rise by 20.62%,697.72%,
2014-10-31,16.1133,2014-12-31,14.8273,2010-06-30-2014-09-30,1.1693-19.428,Sell,43 days,7.98%,Fall by 6.96%,705.7%,
2016-01-31,12.7467,2016-03-31,15.318,2015-03-31-2015-07-31,12.0933-19.11,Sell,43 days,-20.17%,Fall by 11.2%,685.52%,
2017-10-31,22.102,2017-11-30,20.59,2016-02-29-2017-09-30,9.4033-25.974,Sell,22 days,6.84%,Fall by 14.27%,692.36%,
2017-11-30,20.59,2018-01-31,23.6207,2010-06-30-2017-09-30,1.1693-25.974,Sell,44 days,-14.72%,Fall by 15.85%,677.65%,
2018-01-31,23.6207,2019-03-31,18.6573,2016-02-29-2017-09-30,9.4033-25.974,Buy,302 days,-21.01%,Rise by -19.38%,656.63%,
2018-02-28,22.8707,2018-03-31,17.742,2014-09-30-2016-02-29,13.3013-16.008,Sell,22 days,22.42%,Fall by 0.51%,679.06%,
2018-06-30,22.8633,2019-05-31,12.344,2015-03-31-2015-07-31,12.0933-19.11,Buy,239 days,-46.01%,Rise by 1245.65%,633.05%,
2018-09-30,17.6513,2018-10-31,22.488,2018-04-30-2018-08-31,16.306-25.8307,Sell,22 days,-27.4%,Fall by 17.03%,605.65%,
2021-06-30,226.5667,2021-09-30,258.4933,2018-08-31-2019-06-30,15.6493-19.2133,Sell,66 days,-14.09%,Fall by 13.16%,591.56%,
2021-12-31,352.26,2022-01-31,312.24,2019-06-30-2021-11-30,11.7993-414.4967,Sell,21 days,11.36%,Fall by 28.11%,602.92%,
2022-07-31,297.15,2025-03-31,259.16,2016-02-29-2021-11-30,9.4033-414.4967,Buy,695 days,-12.78%,Rise by 76.17%,590.13%,
2023-03-31,207.46,2023-03-31,207.46,2018-04-30-2021-11-30,16.306-414.4967,Buy,0 days,0.0%,Rise by 0%,590.13%,
2023-08-31,258.08,2023-09-30,250.22,2023-01-31-2023-07-31,101.81-299.29,Sell,21 days,3.05%,Fall by 19.32%,593.18%,
2025-02-28,292.98,2025-03-31,259.16,2023-01-31-2024-12-31,101.81-488.54,Sell,21 days,11.54%,Fall by -76.17%,604.72%,
2025-05-31,346.46,2025-06-30,317.66,2023-07-31-2024-04-30,198.87-254.12,Sell,20 days,8.31%,Fall by -43.73%,613.03%,
2025-06-30,317.66,2025-06-30,317.66,2024-04-30-2024-12-31,138.8-488.54,Buy,0 days,0.0%,Rise by 0%,613.03%,
