Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2007-04-01,10.6965,2007-05-06,10.6468,2006-05-14-2006-07-23,8.6368-9.7087,Sell,24 days,0.46%,Fall by 9.35%,0.46%
2007-09-02,9.8706,2014-08-03,20.2,2006-07-23-2007-07-15,7.9303-11.7512,Buy,1804 days,104.65%,Rise by 16.19%,105.11%
2007-11-11,9.7612,2007-11-25,9.4428,2007-02-25-2007-08-19,10.1493-11.1244,Sell,9 days,3.26%,Fall by 8.96%,108.37%
2007-11-25,9.4428,2008-01-06,8.8856,2006-07-23-2007-07-15,7.9303-11.7512,Sell,29 days,5.9%,Fall by -6.83%,114.28%
2008-06-22,10.7463,2008-07-06,10.199,2006-07-23-2008-06-08,7.9303-11.9104,Sell,9 days,5.09%,Fall by 11.9%,119.37%
2008-07-06,10.199,2008-08-03,9.4925,2008-01-27-2008-06-08,7.5224-11.9104,Sell,19 days,6.93%,Fall by 11.42%,126.3%
2008-07-13,10.2488,2008-08-03,9.4925,2007-07-15-2008-01-27,9.005-11.2736,Sell,14 days,7.38%,Fall by 11.42%,133.67%
2008-08-03,9.4925,2011-03-06,12.41,2008-01-27-2008-06-08,7.5224-11.9104,Buy,674 days,30.73%,Rise by 10.8%,164.41%
2008-09-28,9.204,2012-05-27,13.98,2006-07-23-2008-06-08,7.9303-11.9104,Buy,954 days,51.89%,Rise by 14.95%,216.3%
2009-05-10,10.3881,2009-05-17,9.9701,2008-11-23-2009-05-10,5.801-11.9403,Sell,4 days,4.02%,Fall by 4.31%,220.32%
2009-06-14,9.9901,2009-06-14,9.9901,2006-05-14-2008-11-23,6.8657-9.7087,Sell,0 days,-0.0%,Fall by 0%,220.32%
2009-06-21,9.1841,2009-07-26,10.29,2008-01-27-2009-05-10,7.5224-11.9403,Sell,24 days,-12.04%,Fall by 7.29%,208.28%
2009-07-05,9.3234,2009-10-04,10.35,2008-11-23-2009-05-10,5.801-11.9403,Buy,64 days,11.01%,Rise by 10.53%,219.29%
2009-11-22,10.39,2010-01-31,10.16,2008-01-27-2009-05-10,7.5224-11.9403,Buy,49 days,-2.21%,Rise by 7.87%,217.08%
2009-12-13,10.73,2010-01-24,10.09,2006-07-23-2009-05-10,7.9303-11.9403,Sell,29 days,5.96%,Fall by 4.66%,223.04%
2010-09-05,9.77,2010-10-31,10.91,2010-01-10-2010-05-30,9.98-11.03,Sell,39 days,-11.67%,Fall by -7.7%,211.38%
2011-07-17,12.22,2011-08-07,11.56,2008-01-27-2011-06-12,7.5224-14.05,Sell,14 days,5.4%,Fall by -12.98%,216.78%
2011-08-07,11.56,2011-08-21,10.94,2008-11-23-2011-06-12,5.801-14.05,Sell,9 days,5.36%,Fall by -19.38%,222.14%
2011-08-21,10.94,2011-09-04,11.66,2010-05-30-2011-06-12,9.3-14.05,Sell,9 days,-6.58%,Fall by -12.01%,215.56%
2011-09-04,11.66,2013-06-09,18.69,2008-11-23-2011-06-12,5.801-14.05,Buy,459 days,60.29%,Rise by -10.11%,275.85%
2011-10-23,12.18,2011-12-11,13.08,2011-06-12-2011-08-21,11.72-13.0,Sell,34 days,-7.39%,Fall by 0.15%,268.46%
2012-01-08,13.15,2012-02-19,14.62,2011-01-23-2011-08-21,11.72-13.21,Sell,29 days,-11.18%,Fall by 10.67%,257.28%
2012-06-03,13.06,2012-07-22,12.65,2008-11-23-2012-04-29,5.801-16.15,Sell,34 days,3.14%,Fall by -32.25%,260.42%
2012-06-17,13.67,2012-06-24,13.83,2008-01-27-2012-04-29,7.5224-16.15,Sell,4 days,-1.17%,Fall by -20.97%,259.25%
2012-06-24,13.83,2015-04-19,23.22,2011-08-21-2012-04-29,10.75-16.15,Buy,734 days,67.9%,Rise by -12.23%,327.15%
2012-07-08,13.5,2012-07-15,12.89,2006-07-23-2012-04-29,7.9303-16.15,Sell,4 days,4.52%,Fall by -29.79%,331.67%
2012-08-12,14.49,2013-06-02,18.66,2008-11-23-2012-04-29,5.801-16.15,Buy,209 days,28.78%,Rise by -11.63%,360.44%
2012-09-09,14.51,2012-10-07,16.07,2010-05-30-2012-04-29,9.3-16.15,Sell,19 days,-10.75%,Fall by -4.11%,349.69%
2013-03-31,17.19,2013-04-21,18.8,2012-04-29-2012-07-29,13.76-14.74,Sell,14 days,-9.37%,Fall by 12.29%,340.33%
2013-06-16,17.99,2013-06-23,17.18,2012-07-29-2013-05-12,12.14-20.3,Sell,4 days,4.5%,Fall by 7.04%,344.83%
2013-06-23,17.18,2013-07-14,18.44,2011-08-21-2013-05-12,10.75-20.3,Sell,14 days,-7.33%,Fall by 10.2%,337.5%
2013-07-14,18.44,2014-12-28,22.31,2012-07-29-2013-05-12,12.14-20.3,Buy,379 days,20.99%,Rise by 11.34%,358.48%
2013-07-21,16.49,2013-08-18,15.97,2008-11-23-2013-05-12,5.801-20.3,Sell,19 days,3.15%,Fall by -5.82%,361.64%
2013-08-04,16.8,2013-08-11,16.21,2006-07-23-2013-05-12,7.9303-20.3,Sell,4 days,3.51%,Fall by -4.26%,365.15%
2013-09-08,17.01,2014-08-10,19.79,2008-01-27-2013-05-12,7.5224-20.3,Buy,239 days,16.34%,Rise by 18.6%,381.49%
2014-02-23,17.74,2014-03-30,19.64,2013-05-12-2013-08-25,16.29-19.37,Sell,24 days,-10.71%,Fall by -0.76%,370.78%
