Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-03-02,54.65,2021-03-02,54.65,2021-01-27-2021-02-11,47.15-64.05,Buy,0 days,0.0%,Rise by 0%,0.0%
2021-03-08,53.2,2021-03-11,58.95,2020-11-04-2021-02-11,39.0-64.05,Sell,3 days,-10.81%,Fall by 10.11%,-10.81%
2021-03-23,53.49,2021-03-29,53.35,2021-02-11-2021-02-26,52.75-60.395,Sell,4 days,0.26%,Fall by 12.56%,-10.55%
2021-05-06,46.65,2021-05-12,43.81,2021-01-27-2021-02-11,47.15-64.05,Sell,4 days,6.09%,Fall by -11.16%,-4.46%
2021-06-07,50.76,2021-06-07,50.76,2021-01-14-2021-05-12,46.105-56.7,Sell,0 days,-0.0%,Fall by 0%,-4.46%
2021-07-21,47.52,2021-07-21,47.52,2021-05-12-2021-06-28,43.17-52.36,Buy,0 days,0.0%,Rise by 0%,-4.46%
2021-08-03,42.79,2021-08-09,43.25,2021-05-12-2021-06-28,43.17-52.36,Sell,4 days,-1.08%,Fall by 11.03%,-5.53%
2021-09-01,40.62,2021-09-14,39.01,2021-05-28-2021-06-22,49.34-50.47,Sell,9 days,3.96%,Fall by -9.95%,-1.57%
2021-10-04,45.72,2021-10-29,43.82,2021-06-28-2021-09-15,39.0-50.365,Sell,19 days,4.16%,Fall by 13.28%,2.59%
2021-10-15,48.36,2021-10-20,46.0,2021-04-14-2021-09-15,39.0-59.18,Sell,3 days,4.88%,Fall by 11.91%,7.47%
2021-11-04,45.27,2025-07-15,92.21,2021-09-15-2021-10-08,38.08-48.88,Buy,963 days,103.69%,Rise by 4.97%,111.15%
2021-11-30,38.0,2021-12-01,36.02,2021-09-15-2021-10-08,38.08-48.88,Sell,1 days,5.21%,Fall by 5.36%,116.37%
2021-12-31,41.93,2021-12-31,41.93,2021-10-08-2021-12-13,36.308-47.605,Sell,0 days,-0.0%,Fall by 0%,116.37%
2022-01-12,43.04,2022-01-14,41.51,2021-02-11-2021-12-13,36.308-60.395,Sell,2 days,3.55%,Fall by 10.46%,119.92%
2022-02-17,35.71,2022-02-17,35.71,2021-05-28-2022-01-28,35.22-50.47,Sell,0 days,-0.0%,Fall by 0%,119.92%
2022-04-05,34.96,2022-04-06,33.41,2022-02-10-2022-03-08,31.57-37.35,Sell,1 days,4.43%,Fall by 11.79%,124.35%
2022-05-06,26.07,2022-05-09,23.05,2021-10-08-2022-03-08,31.57-47.605,Sell,1 days,11.58%,Fall by 6.51%,135.94%
2022-07-29,23.45,2022-08-02,29.25,2022-06-09-2022-06-30,21.126-25.355,Sell,2 days,-24.73%,Fall by 4.92%,111.2%
2022-08-18,30.15,2022-08-18,30.15,2022-03-29-2022-06-30,21.126-35.57,Sell,0 days,-0.0%,Fall by 0%,111.2%
2022-09-22,28.58,2022-09-26,26.89,2022-08-11-2022-09-01,28.95-32.042,Sell,2 days,5.91%,Fall by 8.29%,117.12%
2022-09-28,28.04,2023-02-14,35.23,2022-06-30-2022-09-15,19.895-34.325,Buy,99 days,25.64%,Rise by -11.69%,142.76%
2022-10-07,28.07,2022-10-11,24.66,2022-06-30-2022-09-15,19.895-34.325,Sell,2 days,12.15%,Fall by -7.66%,154.91%
2022-10-13,25.0,2022-10-13,25.0,2021-02-11-2022-06-30,21.126-60.395,Sell,0 days,-0.0%,Fall by 0%,154.91%
2022-11-08,27.44,2022-11-09,26.55,2022-08-11-2022-10-11,26.05-32.042,Sell,1 days,3.24%,Fall by 8.1%,158.15%
2022-11-22,28.08,2022-12-06,26.92,2022-09-15-2022-10-11,26.05-32.74,Sell,10 days,4.13%,Fall by 9.36%,162.28%
2022-11-25,28.5,2023-02-14,35.23,2022-10-11-2022-11-15,22.94-31.815,Buy,57 days,23.61%,Rise by -11.69%,185.9%
2022-12-08,26.45,2022-12-08,26.45,2021-04-14-2022-06-30,21.126-59.18,Sell,0 days,-0.0%,Fall by 0%,185.9%
2022-12-16,25.97,2022-12-19,24.95,2022-10-11-2022-11-15,22.94-31.815,Sell,1 days,3.93%,Fall by -25.01%,189.82%
2022-12-20,24.96,2023-01-10,28.04,2021-05-28-2022-05-25,22.355-50.47,Sell,15 days,-12.34%,Fall by -7.24%,177.48%
2023-01-31,30.93,2023-02-07,34.9,2021-02-11-2022-05-25,22.355-60.395,Sell,5 days,-12.84%,Fall by 10.86%,164.65%
2023-02-13,33.44,2023-02-16,36.22,2022-12-27-2023-02-08,23.9-37.58,Sell,3 days,-8.31%,Fall by 10.77%,156.34%
2023-02-16,36.22,2023-05-26,38.45,2022-12-27-2023-02-08,23.9-37.58,Buy,71 days,6.16%,Rise by 15.53%,162.49%
2023-02-24,33.4,2023-03-06,33.88,2022-10-11-2023-02-08,22.94-37.58,Sell,6 days,-1.44%,Fall by 11.25%,161.06%
2023-03-06,33.88,2023-05-17,37.84,2022-10-11-2023-02-08,22.94-37.58,Buy,52 days,11.69%,Rise by 17.39%,172.74%
2023-03-09,32.32,2023-03-10,31.11,2022-06-30-2023-02-08,19.895-37.58,Sell,1 days,3.74%,Fall by 3.34%,176.49%
2023-04-12,30.59,2023-04-25,29.59,2021-06-28-2022-06-30,21.126-50.365,Sell,9 days,3.27%,Fall by -42.31%,179.76%
2023-05-30,37.56,2023-06-02,39.73,2022-11-15-2022-12-27,24.7-30.0,Sell,3 days,-5.78%,Fall by -5.99%,173.98%
2023-07-06,42.11,2023-07-18,47.41,2023-02-08-2023-04-27,30.17-34.5,Sell,8 days,-12.59%,Fall by 7.93%,161.39%
2023-08-07,44.95,2023-08-16,43.65,2021-01-14-2022-01-28,35.22-56.7,Sell,7 days,2.89%,Fall by -1.42%,164.28%
2023-08-11,43.71,2023-09-11,48.94,2023-04-27-2023-07-31,29.22-49.49,Sell,21 days,-11.97%,Fall by 9.54%,152.32%
2023-08-16,43.65,2023-08-16,43.65,2022-12-27-2023-07-31,23.9-49.49,Buy,0 days,0.0%,Rise by 0%,152.32%
