Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-03-23,39.37,2021-04-19,43.32,2020-11-04-2021-03-11,26.69-44.64,Sell,19 days,-10.03%,Fall by 1.94%,-10.03%,
2021-07-22,49.17,2022-06-13,90.36,2020-11-04-2021-07-01,26.69-51.4,Buy,232 days,83.77%,Rise by -11.08%,73.74%,
2021-08-06,47.57,2021-08-11,48.3,2021-07-01-2021-07-20,46.61-50.42,Sell,3 days,-1.53%,Fall by -13.87%,72.2%,
2021-08-20,43.43,2021-08-25,47.81,2020-11-04-2021-07-01,26.69-51.4,Sell,3 days,-10.09%,Fall by -14.87%,62.12%,
2021-09-10,48.8,2021-09-13,49.48,2021-07-01-2021-08-20,44.31-50.42,Sell,1 days,-1.39%,Fall by -10.99%,60.72%,
2021-11-08,57.09,2022-03-11,76.4,2021-08-20-2021-10-25,43.42-58.69,Buy,89 days,33.82%,Rise by 5.25%,94.55%,
2021-11-26,49.63,2021-11-30,47.91,2020-11-04-2021-10-25,26.69-58.69,Sell,2 days,3.47%,Fall by -4.15%,98.01%,
2021-12-06,50.51,2021-12-06,50.51,2020-11-04-2021-10-25,26.69-58.69,Buy,0 days,0.0%,Rise by 0%,98.01%,
2022-03-15,68.63,2022-03-21,79.54,2021-10-25-2021-12-02,48.6-57.78,Sell,4 days,-15.9%,Fall by 9.1%,82.12%,
2022-06-23,78.98,2022-07-05,74.78,2021-12-02-2022-06-08,46.16-92.2,Sell,8 days,5.32%,Fall by 4.73%,87.43%,
2022-06-24,81.27,2022-06-24,81.27,2020-11-06-2022-06-08,26.2-92.2,Buy,0 days,0.0%,Rise by 0%,87.43%,
2022-07-05,74.78,2022-08-04,71.53,2020-11-06-2022-06-08,26.2-92.2,Sell,22 days,4.35%,Fall by 5.47%,91.78%,
2022-07-08,78.54,2022-07-12,72.81,2021-08-20-2022-06-08,43.42-92.2,Sell,2 days,7.3%,Fall by 2.16%,99.08%,
2022-07-18,76.81,2022-07-18,76.81,2021-12-02-2022-06-08,46.16-92.2,Buy,0 days,0.0%,Rise by 0%,99.08%,
2022-07-26,75.16,2022-07-26,75.16,2021-08-20-2022-06-08,43.42-92.2,Buy,0 days,0.0%,Rise by 0%,99.08%,
2022-07-27,77.87,2022-08-01,75.13,2022-06-08-2022-07-14,73.3-89.74,Sell,3 days,3.52%,Fall by 5.18%,102.6%,
2022-10-17,70.13,2022-10-17,70.13,2022-06-08-2022-09-26,66.25-89.74,Sell,0 days,-0.0%,Fall by 0%,102.6%,
2022-11-23,67.41,2022-11-23,67.41,2022-09-26-2022-11-07,63.15-77.72,Buy,0 days,0.0%,Rise by 0%,102.6%,
2022-12-08,62.71,2022-12-13,65.86,2022-09-26-2022-11-07,63.15-77.72,Sell,3 days,-5.02%,Fall by 2.37%,97.57%,
2023-01-04,64.3,2023-01-04,64.3,2022-07-29-2022-12-09,63.75-78.0,Sell,0 days,-0.0%,Fall by 0%,97.57%,
2023-02-24,67.1,2023-09-22,80.63,2022-12-09-2023-01-23,61.81-72.25,Buy,150 days,20.16%,Rise by 1.3%,117.74%,
2023-03-13,65.25,2023-03-14,62.93,2023-01-23-2023-02-06,65.53-71.29,Sell,1 days,3.56%,Fall by 4.16%,121.29%,
2023-03-15,60.02,2023-03-21,61.23,2022-12-09-2023-01-23,61.81-72.25,Sell,4 days,-2.02%,Fall by 1.5%,119.28%,
2023-04-19,69.3,2023-04-19,69.3,2022-07-29-2023-03-17,60.02-78.0,Sell,0 days,-0.0%,Fall by 0%,119.28%,
2023-04-24,69.25,2023-04-24,69.25,2023-03-17-2023-04-12,57.83-72.65,Buy,0 days,0.0%,Rise by 0%,119.28%,
2023-05-03,60.31,2023-07-11,67.03,2022-12-09-2023-04-12,61.81-72.65,Sell,49 days,-11.14%,Fall by -6.46%,108.13%,
2023-06-01,62.55,2023-06-02,64.15,2023-04-12-2023-05-04,61.66-71.61,Sell,1 days,-2.56%,Fall by -11.24%,105.58%,
2023-06-28,62.52,2023-06-30,63.55,2023-05-24-2023-06-12,61.23-64.94,Sell,2 days,-1.65%,Fall by -12.29%,103.93%,
2023-09-26,80.88,2023-09-27,82.9,2023-08-09-2023-08-23,72.0-74.21,Sell,1 days,-2.5%,Fall by 13.39%,101.43%,
2023-10-10,76.71,2023-10-10,76.71,2022-12-09-2023-09-27,61.81-83.29,Buy,0 days,0.0%,Rise by 0%,101.43%,
2023-10-27,78.36,2023-10-27,78.36,2023-03-17-2023-09-27,57.83-83.29,Buy,0 days,0.0%,Rise by 0%,101.43%,
2023-12-07,65.11,2023-12-11,66.8,2023-09-27-2023-11-16,69.71-82.05,Sell,2 days,-2.6%,Fall by 1.54%,98.83%,
2024-01-02,65.77,2024-01-19,68.82,2023-03-17-2023-09-27,57.83-83.29,Sell,13 days,-4.64%,Fall by 1.9%,94.2%,
2024-01-03,68.19,2024-01-03,68.19,2023-08-09-2023-12-12,65.06-74.21,Sell,0 days,-0.0%,Fall by 0%,94.2%,
2024-01-19,68.82,2024-02-28,73.62,2022-12-09-2023-09-27,61.81-83.29,Sell,28 days,-6.97%,Fall by -2.05%,87.22%,
2024-04-24,79.64,2025-01-22,80.43,2023-12-12-2024-04-12,63.84-83.41,Buy,195 days,0.99%,Rise by -11.2%,88.21%,
2024-06-04,71.09,2024-06-06,73.26,2024-04-12-2024-05-15,75.88-81.23,Sell,2 days,-3.05%,Fall by 1.11%,85.16%,
2024-07-12,80.25,2024-07-18,79.9,2024-04-12-2024-06-04,71.45-81.23,Sell,4 days,0.44%,Fall by 9.32%,85.6%,
2024-07-18,79.9,2025-01-23,79.21,2024-06-04-2024-07-05,70.44-82.6,Buy,135 days,-0.86%,Rise by -10.2%,84.73%,
2024-08-19,74.38,2024-08-23,75.55,2024-07-05-2024-08-06,73.39-81.23,Sell,4 days,-1.57%,Fall by 11.37%,83.16%,
2024-09-04,69.61,2024-09-10,66.96,2024-06-04-2024-07-05,70.44-82.6,Sell,4 days,3.81%,Fall by -3.06%,86.97%,
2024-10-01,72.11,2024-10-22,73.98,2024-07-05-2024-09-10,69.49-81.23,Sell,15 days,-2.59%,Fall by 5.72%,84.38%,
2024-10-22,73.98,2025-01-21,81.11,2024-09-10-2024-10-07,66.02-79.31,Buy,65 days,9.64%,Rise by -11.95%,94.01%,
2024-11-14,71.29,2024-11-19,72.31,2024-10-07-2024-10-29,70.31-77.29,Sell,3 days,-1.43%,Fall by 2.86%,92.58%,
2025-02-10,77.4,2025-02-10,77.4,2024-09-10-2025-01-15,66.02-84.58,Buy,0 days,0.0%,Rise by 0%,92.58%,
2025-02-12,76.32,2025-02-26,73.85,2023-03-17-2025-01-15,57.83-84.58,Sell,10 days,3.24%,Fall by 10.66%,95.82%,
2025-04-08,63.34,2025-04-08,63.34,2025-01-15-2025-03-05,71.49-82.28,Sell,0 days,-0.0%,Fall by 0%,95.82%,
2025-04-14,66.66,2025-04-30,63.56,2023-03-17-2024-04-12,57.83-83.41,Sell,12 days,4.65%,Fall by -15.32%,100.47%,
2025-04-29,65.85,2025-04-29,65.85,2024-07-05-2025-04-09,68.05-81.23,Sell,0 days,-0.0%,Fall by 0%,100.47%,
2025-05-05,62.37,2025-05-13,69.59,2022-12-09-2024-04-12,61.81-83.41,Sell,6 days,-11.58%,Fall by -6.52%,88.89%,
2025-07-18,75.93,2025-08-05,75.02,2025-04-09-2025-06-23,60.67-83.57,Buy,12 days,-1.2%,Rise by 2.32%,87.69%,
2025-09-09,73.39,2025-09-24,76.39,2025-06-23-2025-08-13,72.83-76.41,Sell,11 days,-4.09%,Fall by 11.23%,83.61%,
2025-10-10,69.39,2025-10-22,70.63,2025-08-13-2025-09-26,71.56-78.32,Sell,8 days,-1.79%,Fall by -2.73%,81.82%,
2025-10-16,67.81,2025-10-22,70.63,2025-04-09-2025-06-23,60.67-83.57,Sell,4 days,-4.16%,Fall by -2.73%,77.66%,
2025-10-22,70.63,2025-10-22,70.63,2025-04-09-2025-09-26,60.67-78.32,Buy,0 days,0.0%,Rise by 0%,77.66%,
