Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2010-05-31,272.32,2010-07-31,282.72,2009-02-28-2010-04-30,181.92-337.52,Sell,44 days,-3.82%,Fall by 13.72%,-3.82%,
2011-06-30,297.92,2011-08-31,276.08,2010-05-31-2011-05-31,247.44-364.8,Sell,44 days,7.33%,Fall by 7.77%,3.51%,
2012-08-31,287.12,2012-09-30,272.96,2010-04-30-2011-10-31,291.92-314.32,Sell,20 days,4.93%,Fall by 4.43%,8.44%,
2012-09-30,272.96,2012-10-31,254.24,2011-10-31-2012-03-31,232.8-338.4,Sell,22 days,6.86%,Fall by -2.61%,15.3%,
2013-01-31,282.24,2013-01-31,282.24,2009-02-28-2011-05-31,181.92-364.8,Buy,0 days,0.0%,Rise by 0%,15.3%,
2013-02-28,264.48,2013-06-30,273.44,2010-04-30-2012-06-30,262.4-314.32,Sell,86 days,-3.39%,Fall by 2.11%,11.91%,
2013-06-30,273.44,2013-06-30,273.44,2011-10-31-2012-03-31,232.8-338.4,Buy,0 days,0.0%,Rise by 0%,11.91%,
2014-02-28,293.92,2014-03-31,292.72,2011-05-31-2012-06-30,262.4-301.76,Sell,21 days,0.41%,Fall by 16.29%,12.32%,
2014-03-31,292.72,2014-03-31,292.72,2012-06-30-2013-09-30,232.16-316.32,Buy,0 days,0.0%,Rise by 0%,12.32%,
2014-11-30,204.64,2014-12-31,162.88,2012-06-30-2013-09-30,232.16-316.32,Sell,22 days,20.41%,Fall by 23.43%,32.73%,
2018-10-31,110.32,2018-11-30,85.84,2016-02-29-2018-10-31,61.36-129.92,Sell,22 days,22.19%,Fall by 11.93%,54.92%,
2022-07-31,78.05,2022-08-31,73.11,2020-04-30-2022-06-30,16.88-92.2,Sell,22 days,6.33%,Fall by 17.07%,61.25%,
2022-11-30,70.23,2022-11-30,70.23,2010-04-30-2020-04-30,48.16-314.32,Sell,0 days,-0.0%,Fall by 0%,61.25%,
2024-02-29,73.36,2024-02-29,73.36,2020-04-30-2022-06-30,16.88-92.2,Buy,0 days,0.0%,Rise by 0%,61.25%,
2024-11-30,71.61,2024-11-30,71.61,2023-03-31-2024-04-30,57.83-83.41,Buy,0 days,0.0%,Rise by 0%,61.25%,
2025-04-30,63.56,2025-06-30,73.11,2020-04-30-2025-01-31,16.88-84.58,Sell,43 days,-15.03%,Fall by 0.75%,46.22%,
