Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2000-06-30,54.9534,2000-09-30,49.8084,1999-09-30-2000-03-31,4.6432-194.0625,Sell,65 days,9.36%,Fall by 47.08%,9.36%,
2001-12-31,30.1959,2022-12-31,196.375,1999-09-30-2000-03-31,4.6432-194.0625,Buy,5479 days,550.34%,Rise by 33.55%,559.7%,
2007-03-31,62.9325,2007-06-30,58.3256,2001-06-30-2007-03-31,14.2341-77.7375,Sell,64 days,7.32%,Fall by 16.66%,567.02%,
2011-06-30,78.3,2011-09-30,63.9,2008-12-31-2010-12-31,20.295-93.75,Sell,66 days,18.39%,Fall by -11.81%,585.41%,
2012-03-31,82.5188,2017-03-31,96.6938,2008-12-31-2010-12-31,20.295-93.75,Buy,1304 days,17.18%,Rise by 21.87%,602.59%,
2015-06-30,102.5063,2016-09-30,89.8031,2011-09-30-2015-03-31,58.2188-127.05,Sell,328 days,12.39%,Fall by -38.16%,614.98%,
2017-06-30,96.8813,2020-03-31,98.35,2001-06-30-2010-12-31,14.2341-93.75,Buy,717 days,1.52%,Rise by 111.51%,616.5%,
2019-09-30,119.9,2020-03-31,98.35,2016-12-31-2019-06-30,76.5188-150.8,Sell,131 days,17.97%,Fall by -111.51%,634.47%,
2020-03-31,98.35,2020-06-30,109.825,2008-12-31-2019-06-30,20.295-150.8,Sell,65 days,-11.67%,Fall by -79.49%,622.8%,
2020-09-30,156.775,2020-09-30,156.775,2011-09-30-2019-06-30,58.2188-150.8,Buy,0 days,0.0%,Rise by 0%,622.8%,
2022-03-31,295.95,2022-06-30,208.025,2020-03-31-2021-12-31,79.7-369.925,Sell,65 days,29.71%,Fall by 12.21%,652.51%,
2023-12-31,235.65,2023-12-31,235.65,2011-09-30-2021-12-31,58.2188-369.925,Buy,0 days,0.0%,Rise by 0%,652.51%,
2025-11-03,240.5,2025-11-03,240.5,2020-03-31-2021-12-31,79.7-369.925,Buy,0 days,0.0%,Rise by 0%,652.51%,
