Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-03-18,49.52,2021-03-23,47.83,2021-01-14-2021-02-01,40.0-43.43,Sell,3 days,3.41%,Fall by 1.59%,3.41%,
2021-03-25,49.21,2021-03-25,49.21,2020-11-04-2021-03-11,28.77-54.37,Buy,0 days,0.0%,Rise by 0%,3.41%,
2021-04-20,47.07,2021-05-05,52.42,2020-11-04-2021-03-11,28.77-54.37,Sell,11 days,-11.37%,Fall by 1.55%,-7.95%,
2021-05-17,54.73,2021-05-19,52.13,2021-03-11-2021-04-21,47.84-53.34,Sell,2 days,4.75%,Fall by -0.5%,-3.2%,
2021-06-23,54.58,2022-04-26,73.78,2021-04-21-2021-06-10,46.25-56.65,Buy,219 days,35.18%,Rise by 25.07%,31.98%,
2021-07-12,52.77,2022-03-11,76.85,2020-11-04-2021-06-10,28.77-56.65,Buy,174 days,45.63%,Rise by 2.47%,77.61%,
2021-07-16,48.68,2021-07-19,46.96,2020-11-04-2021-06-10,28.77-56.65,Sell,1 days,3.53%,Fall by 2.49%,81.14%,
2021-08-09,48.81,2021-08-18,47.01,2021-06-10-2021-07-19,47.63-54.98,Sell,7 days,3.69%,Fall by -0.49%,84.83%,
2021-08-19,45.79,2021-08-23,47.61,2021-04-21-2021-06-10,46.25-56.65,Sell,2 days,-3.97%,Fall by 0.78%,80.85%,
2021-09-07,48.33,2021-09-13,49.16,2021-06-10-2021-08-19,46.5-54.98,Sell,4 days,-1.72%,Fall by -9.87%,79.14%,
2021-11-05,58.26,2022-03-16,71.49,2021-08-19-2021-10-26,45.14-59.41,Buy,93 days,22.71%,Rise by 13.33%,101.84%,
2021-12-06,55.96,2022-03-11,76.85,2020-11-04-2021-10-26,28.77-59.41,Buy,69 days,37.33%,Rise by 2.47%,139.17%,
2022-02-18,68.05,2022-02-18,68.05,2021-10-26-2021-12-20,53.05-58.78,Sell,0 days,-0.0%,Fall by 0%,139.17%,
2022-03-17,73.95,2022-04-26,73.78,2021-08-19-2022-03-08,45.14-80.22,Buy,28 days,-0.23%,Rise by 25.07%,138.94%,
2022-03-31,76.44,2022-04-26,73.78,2021-12-20-2022-03-08,51.66-80.22,Buy,18 days,-3.48%,Rise by 25.07%,135.47%,
2022-06-15,82.38,2022-06-16,77.74,2021-12-20-2022-06-08,51.66-93.31,Sell,1 days,5.63%,Fall by 10.34%,141.1%,
2022-06-16,77.74,2022-06-17,73.49,2021-08-19-2022-06-08,45.14-93.31,Sell,1 days,5.47%,Fall by 8.16%,146.56%,
2022-06-17,73.49,2022-06-23,70.66,2021-04-21-2022-06-08,46.25-93.31,Sell,4 days,3.85%,Fall by 4.49%,150.42%,
2022-06-23,70.66,2022-07-06,68.51,2021-08-19-2022-03-08,45.14-80.22,Sell,9 days,3.04%,Fall by -0.35%,153.46%,
2022-06-27,73.69,2022-06-27,73.69,2021-08-19-2022-06-08,45.14-93.31,Buy,0 days,0.0%,Rise by 0%,153.46%,
2022-07-08,70.95,2022-07-08,70.95,2021-12-20-2022-06-08,51.66-93.31,Buy,0 days,0.0%,Rise by 0%,153.46%,
2022-08-04,71.66,2022-08-09,74.75,2021-12-20-2022-03-08,51.66-80.22,Sell,3 days,-4.31%,Fall by 8.03%,149.15%,
2022-08-05,73.08,2022-08-09,74.75,2022-03-08-2022-07-14,67.57-75.33,Sell,2 days,-2.29%,Fall by 8.03%,146.86%,
2022-09-06,79.22,2022-09-09,80.6,2022-06-08-2022-07-14,67.57-91.71,Sell,3 days,-1.74%,Fall by 12.56%,145.12%,
2022-09-09,80.6,2022-11-21,90.39,2022-07-14-2022-08-29,65.48-85.18,Buy,51 days,12.15%,Rise by -2.66%,157.27%,
2022-11-21,90.39,2022-11-23,92.21,2022-08-29-2022-09-26,70.92-82.59,Sell,2 days,-2.01%,Fall by 10.34%,155.25%,
2022-11-23,92.21,2024-04-17,94.13,2022-09-26-2022-11-14,68.66-94.71,Buy,365 days,2.08%,Rise by 0.88%,157.33%,
2022-12-13,86.46,2022-12-13,86.46,2021-12-20-2022-11-14,51.66-94.71,Buy,0 days,0.0%,Rise by 0%,157.33%,
2023-02-02,86.15,2023-02-08,87.56,2022-11-14-2022-12-09,85.4-92.85,Sell,4 days,-1.64%,Fall by 11.65%,155.7%,
2023-03-10,82.63,2023-03-15,77.36,2021-12-20-2022-11-14,51.66-94.71,Sell,3 days,6.38%,Fall by 0.49%,162.08%,
2023-03-15,77.36,2023-03-20,77.7,2022-09-26-2022-11-14,68.66-94.71,Sell,3 days,-0.44%,Fall by 0.93%,161.64%,
2023-03-22,78.68,2023-03-28,80.78,2021-08-19-2022-11-14,45.14-94.71,Sell,4 days,-2.67%,Fall by 4.7%,158.97%,
2023-04-11,86.47,2023-04-11,86.47,2022-11-14-2023-03-16,78.4-92.85,Sell,0 days,-0.0%,Fall by 0%,158.97%,
2023-04-24,86.28,2024-04-17,94.13,2023-03-16-2023-04-14,75.36-87.74,Buy,257 days,9.1%,Rise by 0.88%,168.06%,
2023-05-08,80.23,2023-05-08,80.23,2020-11-04-2022-11-14,28.77-94.71,Buy,0 days,0.0%,Rise by 0%,168.06%,
2023-06-21,78.98,2023-06-27,78.93,2023-04-14-2023-06-01,78.41-86.72,Sell,4 days,0.06%,Fall by -9.91%,168.13%,
2023-09-25,90.43,2023-09-25,90.43,2023-06-01-2023-09-14,76.25-93.69,Buy,0 days,0.0%,Rise by 0%,168.13%,
2023-11-10,83.41,2023-11-13,84.01,2023-09-14-2023-10-06,86.51-92.96,Sell,1 days,-0.72%,Fall by 3.34%,167.41%,
2023-12-08,82.23,2023-12-11,82.33,2023-09-14-2023-11-16,84.12-92.96,Sell,1 days,-0.12%,Fall by 2.94%,167.29%,
2024-01-11,81.76,2024-01-12,82.68,2023-09-14-2023-12-12,81.66-92.96,Sell,1 days,-1.13%,Fall by -0.75%,166.16%,
2024-02-07,83.75,2024-03-19,92.18,2023-09-14-2024-01-18,80.13-92.96,Sell,29 days,-10.07%,Fall by 0.16%,156.1%,
2024-02-29,86.14,2024-04-01,95.11,2023-12-01-2024-01-18,80.13-84.1,Sell,22 days,-10.41%,Fall by 3.24%,145.68%,
2024-05-07,93.21,2024-05-07,93.21,2024-01-18-2024-04-12,78.98-98.97,Buy,0 days,0.0%,Rise by 0%,145.68%,
2024-05-28,92.31,2024-05-31,93.2,2024-04-12-2024-05-03,92.74-95.67,Sell,3 days,-0.96%,Fall by 5.54%,144.72%,
2024-06-06,90.35,2024-06-06,90.35,2021-12-20-2024-04-12,51.66-98.97,Buy,0 days,0.0%,Rise by 0%,144.72%,
2024-06-18,88.64,2024-06-20,90.27,2022-07-14-2024-04-12,65.48-98.97,Sell,2 days,-1.84%,Fall by 1.67%,142.88%,
2024-06-20,90.27,2024-06-20,90.27,2021-08-19-2024-04-12,45.14-98.97,Buy,0 days,0.0%,Rise by 0%,142.88%,
2024-07-09,88.76,2024-07-26,92.19,2024-04-12-2024-06-17,88.67-95.67,Sell,13 days,-3.86%,Fall by 8.5%,139.02%,
2024-08-05,86.45,2024-08-07,87.33,2024-06-17-2024-07-18,87.6-94.51,Sell,2 days,-1.02%,Fall by 3.41%,138.0%,
2024-09-03,89.01,2024-09-06,86.01,2024-04-12-2024-08-05,87.18-95.67,Sell,3 days,3.37%,Fall by -2.13%,141.37%,
2024-09-11,84.35,2024-09-30,87.8,2021-08-19-2024-04-12,45.14-98.97,Sell,13 days,-4.09%,Fall by -0.05%,137.28%,
2024-09-13,85.59,2024-09-13,85.59,2020-11-06-2024-04-12,28.81-98.97,Buy,0 days,0.0%,Rise by 0%,137.28%,
2024-10-14,92.77,2024-10-14,92.77,2024-04-12-2024-09-11,85.17-95.67,Sell,0 days,-0.0%,Fall by 0%,137.28%,
2024-10-17,90.64,2024-10-17,90.64,2024-06-17-2024-07-18,87.6-94.51,Buy,0 days,0.0%,Rise by 0%,137.28%,
