Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2009-02-15,46.99,2009-02-15,46.99,2006-05-14-2008-10-12,57.28-56.67,Sell,0 days,-0.0%,Fall by 0%,0.0%,
2009-07-12,44.67,2009-07-12,44.67,2006-05-14-2009-03-08,40.97-56.67,Sell,0 days,-0.0%,Fall by 0%,0.0%,
2010-06-13,54.32,2013-06-23,78.17,2009-03-08-2010-05-02,37.4-62.3,Buy,789 days,43.91%,Rise by 12.87%,43.91%,
2010-07-04,49.38,2010-07-18,51.73,2009-03-08-2010-05-02,37.4-62.3,Sell,9 days,-4.76%,Fall by -37.12%,39.15%,
2010-09-12,54.52,2010-11-07,62.31,2010-01-17-2010-07-04,52.73-58.52,Sell,39 days,-14.29%,Fall by -13.83%,24.86%,
2011-05-08,74.8,2011-06-05,75.26,2008-01-06-2008-10-12,57.28-77.5,Sell,19 days,-0.61%,Fall by 11.03%,24.24%,
2011-06-05,75.26,2013-06-16,79.91,2010-07-04-2011-04-03,48.56-80.97,Buy,529 days,6.18%,Rise by 10.41%,30.42%,
2011-06-19,71.68,2011-07-24,79.73,2010-07-04-2011-04-03,48.56-80.97,Sell,24 days,-11.23%,Fall by 18.61%,19.19%,
2011-09-04,66.22,2011-09-25,58.7,2008-05-25-2008-10-12,57.28-85.77,Sell,14 days,11.36%,Fall by -5.69%,30.55%,
2011-11-06,71.26,2011-11-20,68.15,2009-03-08-2011-04-03,37.4-80.97,Sell,9 days,4.36%,Fall by 8.97%,34.91%,
2012-04-01,71.75,2012-04-15,68.7,2011-04-03-2011-10-09,62.18-78.13,Sell,9 days,4.25%,Fall by 9.69%,39.16%,
2012-10-21,73.83,2012-11-04,71.06,2012-02-26-2012-06-10,65.88-75.05,Sell,9 days,3.75%,Fall by -4.93%,42.92%,
2012-12-02,71.06,2013-12-22,86.67,2011-10-09-2012-02-26,54.26-76.5,Buy,274 days,21.97%,Rise by 16.45%,64.88%,
2014-10-05,88.17,2014-10-12,83.55,2011-10-09-2014-06-29,54.26-101.52,Sell,4 days,5.24%,Fall by 11.41%,70.12%,
2014-10-12,83.55,2014-11-02,87.42,2009-03-08-2014-06-29,37.4-101.52,Sell,14 days,-4.63%,Fall by 12.65%,65.49%,
2014-10-19,82.7,2014-11-30,79.82,2010-07-04-2014-06-29,48.56-101.52,Sell,29 days,3.48%,Fall by 6.5%,68.97%,
2014-11-02,87.42,2014-11-02,87.42,2012-06-10-2014-06-29,61.11-101.52,Buy,0 days,0.0%,Rise by 0%,68.97%,
2014-12-14,74.02,2015-01-04,79.53,2012-06-10-2014-06-29,61.11-101.52,Sell,14 days,-7.44%,Fall by 6.16%,61.53%,
2015-03-29,76.4,2015-07-12,73.49,2014-01-05-2015-01-18,75.39-86.75,Sell,74 days,3.81%,Fall by 10.53%,65.34%,
2015-06-14,76.95,2015-07-05,74.53,2014-06-29-2015-01-18,75.39-98.64,Sell,14 days,3.14%,Fall by 14.8%,68.48%,
2015-09-13,63.37,2015-09-13,63.37,2010-07-04-2014-06-29,48.56-101.52,Buy,0 days,0.0%,Rise by 0%,68.48%,
2015-09-27,62.37,2015-10-11,68.94,2011-10-09-2012-02-26,54.26-76.5,Sell,9 days,-10.53%,Fall by 12.3%,57.95%,
2015-12-13,60.46,2015-12-13,60.46,2014-01-05-2015-08-30,66.42-86.75,Sell,0 days,-0.0%,Fall by 0%,57.95%,
2016-06-05,66.54,2016-06-05,66.54,2015-05-10-2016-01-24,56.12-79.84,Sell,0 days,-0.0%,Fall by 0%,57.95%,
2016-07-17,69.23,2016-12-11,76.6,2014-06-29-2016-01-24,56.12-98.64,Sell,104 days,-10.65%,Fall by 10.5%,47.3%,
2017-04-16,69.31,2024-05-05,92.57,2016-01-24-2016-12-18,49.93-78.45,Buy,1839 days,33.56%,Rise by 0.66%,80.86%,
2017-05-07,67.31,2017-05-21,68.08,2016-01-24-2016-12-18,49.93-78.45,Sell,9 days,-1.14%,Fall by 5.98%,79.72%,
2018-03-04,66.95,2018-04-22,73.3,2016-12-18-2017-08-27,63.25-75.52,Sell,34 days,-9.48%,Fall by 0.94%,70.23%,
