Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-03-25,33.84,2021-03-29,34.07,2021-01-14-2021-01-29,29.54-31.29,Sell,2 days,-0.68%,Fall by -1.67%,-0.68%
2021-06-22,35.97,2024-07-23,43.17,2020-11-04-2021-06-03,24.19-38.6,Buy,805 days,20.02%,Rise by 5.95%,19.34%
2021-07-07,36.41,2021-07-12,37.07,2021-06-03-2021-06-18,35.74-38.04,Sell,3 days,-1.81%,Fall by 1.54%,17.52%
2021-08-20,37.69,2021-08-23,38.0,2021-06-03-2021-07-19,35.61-38.04,Sell,1 days,-0.82%,Fall by 3.95%,16.7%
2021-09-10,37.58,2021-10-01,38.15,2021-07-19-2021-08-30,34.9-39.04,Buy,15 days,1.52%,Rise by 6.47%,18.22%
2021-09-22,37.11,2022-01-19,39.25,2020-11-04-2021-08-30,24.19-39.04,Buy,85 days,5.77%,Rise by 4.56%,23.99%
2021-10-05,38.56,2021-10-15,39.51,2021-08-30-2021-09-20,36.69-38.43,Sell,8 days,-2.46%,Fall by 4.99%,21.52%
2021-11-08,40.24,2022-01-19,39.25,2021-09-20-2021-10-26,36.03-40.86,Buy,52 days,-2.46%,Rise by 4.56%,19.06%
2021-12-03,38.03,2024-09-10,44.49,2020-11-04-2021-10-26,24.19-40.86,Buy,722 days,16.99%,Rise by 7.04%,36.05%
2021-12-23,38.82,2022-01-26,38.57,2021-10-26-2021-12-01,38.88-40.54,Sell,24 days,0.64%,Fall by 7.54%,36.69%
2022-01-21,38.2,2022-01-26,38.57,2021-10-26-2021-12-20,37.86-40.54,Sell,3 days,-0.97%,Fall by 7.54%,35.72%
2022-01-26,38.57,2022-01-26,38.57,2021-09-20-2022-01-13,36.03-41.7,Buy,0 days,0.0%,Rise by 0%,35.72%
2022-02-17,39.23,2022-02-24,37.88,2021-10-26-2022-01-24,38.39-40.54,Sell,5 days,3.44%,Fall by 10.48%,39.16%
2022-03-07,35.87,2022-03-10,36.66,2020-11-04-2021-10-26,24.19-40.86,Sell,3 days,-2.2%,Fall by 10.04%,36.96%
2022-03-08,35.66,2022-03-10,36.66,2021-09-20-2021-10-26,36.03-40.86,Sell,2 days,-2.8%,Fall by 10.04%,34.16%
2022-03-11,36.4,2022-04-11,37.72,2020-11-04-2022-01-13,24.19-41.7,Sell,21 days,-3.63%,Fall by 10.1%,30.53%
2022-04-05,37.81,2022-04-05,37.81,2021-10-26-2022-03-08,36.67-40.54,Sell,0 days,-0.0%,Fall by 0%,30.53%
2022-04-28,35.74,2022-04-29,34.51,2022-02-10-2022-03-08,36.67-40.51,Sell,1 days,3.44%,Fall by 4.61%,33.97%
2022-04-29,34.51,2022-04-29,34.51,2021-07-19-2021-10-26,34.9-40.86,Sell,0 days,-0.0%,Fall by 0%,33.97%
2022-05-06,34.74,2022-05-10,33.61,2020-11-04-2021-06-03,24.19-38.6,Sell,2 days,3.25%,Fall by 8.24%,37.23%
2022-06-07,35.24,2022-06-09,33.75,2022-02-10-2022-05-20,33.38-40.51,Sell,2 days,4.23%,Fall by 8.92%,41.45%
2022-07-06,31.69,2022-07-06,31.69,2022-02-10-2022-06-16,31.01-40.51,Sell,0 days,-0.0%,Fall by 0%,41.45%
2022-07-15,31.78,2022-07-18,31.66,2021-06-03-2022-06-16,31.01-38.04,Sell,1 days,0.38%,Fall by -3.63%,41.83%
2022-08-23,34.05,2022-08-23,34.05,2022-02-10-2022-07-14,30.84-40.51,Sell,0 days,-0.0%,Fall by 0%,41.83%
2022-09-08,34.05,2023-12-19,37.57,2022-07-14-2022-08-16,30.37-35.97,Buy,333 days,10.34%,Rise by 11.5%,52.17%
2022-09-27,30.43,2022-09-29,30.64,2022-07-14-2022-08-16,30.37-35.97,Sell,2 days,-0.69%,Fall by -9.01%,51.48%
2022-10-11,30.36,2022-10-17,31.79,2022-05-31-2022-07-14,30.84-35.09,Sell,4 days,-4.71%,Fall by -5.06%,46.77%
2022-11-18,35.37,2022-12-08,34.62,2022-03-29-2022-10-13,31.62-39.27,Sell,14 days,2.12%,Fall by 7.68%,48.89%
2022-12-08,34.62,2022-12-08,34.62,2021-06-03-2022-10-13,31.62-38.04,Sell,0 days,-0.0%,Fall by 0%,48.89%
2022-12-14,34.64,2023-02-17,36.39,2022-10-13-2022-12-01,29.59-36.49,Buy,47 days,5.05%,Rise by -13.08%,53.94%
2023-02-14,36.71,2023-02-22,35.6,2022-12-01-2022-12-19,33.74-35.82,Sell,6 days,3.02%,Fall by 11.15%,56.97%
2023-02-28,35.72,2024-01-18,37.33,2022-10-13-2023-02-07,29.59-37.11,Buy,232 days,4.51%,Rise by 12.83%,61.47%
2023-04-26,32.26,2023-04-26,32.26,2022-12-01-2023-03-24,31.02-35.82,Sell,0 days,-0.0%,Fall by 0%,61.47%
2023-05-26,32.11,2023-05-30,32.1,2023-04-19-2023-05-04,31.85-33.25,Sell,2 days,0.03%,Fall by -1.78%,61.5%
2023-08-01,35.33,2024-01-11,37.67,2023-03-24-2023-07-24,30.39-35.71,Buy,117 days,6.62%,Rise by 11.81%,68.13%
2023-09-11,34.46,2023-09-26,33.29,2023-07-24-2023-08-22,33.99-35.27,Sell,11 days,3.4%,Fall by 5.53%,71.52%
2023-10-24,32.22,2023-10-25,32.1,2023-09-14-2023-10-04,32.63-34.76,Sell,1 days,0.37%,Fall by -16.11%,71.89%
2023-11-10,33.91,2023-11-10,33.91,2023-07-24-2023-10-27,32.03-35.27,Sell,0 days,-0.0%,Fall by 0%,71.89%
2024-04-08,41.75,2024-07-23,43.17,2021-09-20-2024-03-28,36.03-42.22,Buy,76 days,3.4%,Rise by 5.95%,75.3%
2024-04-18,39.83,2024-07-23,43.17,2023-10-27-2024-03-28,31.36-42.22,Buy,68 days,8.39%,Rise by 5.95%,83.68%
2024-05-31,41.64,2024-07-23,43.17,2023-10-27-2024-05-17,31.36-42.49,Buy,37 days,3.67%,Rise by 5.95%,87.36%
2024-06-18,41.27,2024-07-23,43.17,2024-04-17-2024-05-17,39.53-42.49,Buy,25 days,4.6%,Rise by 5.95%,91.96%
2024-07-01,41.2,2024-07-01,41.2,2024-05-17-2024-06-14,40.73-42.2,Sell,0 days,-0.0%,Fall by 0%,91.96%
2024-09-13,44.51,2025-02-05,51.68,2024-04-17-2024-09-03,39.53-45.88,Buy,103 days,16.11%,Rise by -2.42%,108.07%
2024-12-12,49.58,2025-02-12,51.36,2024-04-17-2024-11-27,39.53-51.62,Buy,44 days,3.59%,Rise by -1.81%,111.66%
2024-12-20,48.51,2024-12-20,48.51,2023-10-27-2024-11-27,31.36-51.62,Buy,0 days,0.0%,Rise by 0%,111.66%
2025-01-15,49.48,2025-07-30,52.7,2022-10-13-2024-11-27,29.59-51.62,Buy,140 days,6.51%,Rise by 2.94%,118.17%
2025-03-10,48.02,2025-03-14,48.52,2021-09-20-2025-03-03,36.03-52.64,Sell,4 days,-1.04%,Fall by 9.48%,117.12%
2025-03-12,47.68,2025-04-02,50.16,2021-07-19-2025-03-03,34.9-52.64,Sell,15 days,-5.2%,Fall by 0.4%,111.92%
2025-03-14,48.52,2025-09-10,53.16,2023-10-27-2025-03-03,31.36-52.64,Buy,128 days,9.56%,Rise by -1.49%,121.49%
2025-04-02,50.16,2025-04-03,47.69,2024-11-27-2025-01-13,47.68-51.21,Sell,1 days,4.92%,Fall by -4.76%,126.41%
2025-04-04,44.2,2025-04-09,47.23,2025-01-13-2025-03-03,47.04-52.64,Sell,3 days,-6.86%,Fall by -5.78%,119.56%
2025-04-08,43.92,2025-04-09,47.23,2023-10-27-2025-03-03,31.36-52.64,Sell,1 days,-7.54%,Fall by -5.78%,112.02%
2025-04-09,47.23,2025-04-21,45.65,2023-03-24-2024-09-03,30.39-45.88,Buy,8 days,-3.35%,Rise by 13.08%,108.67%
2025-04-10,45.91,2025-05-12,50.87,2022-10-13-2024-11-27,29.59-51.62,Sell,22 days,-10.8%,Fall by 1.79%,97.87%
2025-04-16,46.53,2025-05-15,51.28,2023-03-24-2025-03-03,30.39-52.64,Sell,21 days,-10.21%,Fall by 2.57%,87.66%
2025-04-21,45.65,2025-05-12,50.87,2023-10-27-2024-11-27,31.36-51.62,Sell,15 days,-11.43%,Fall by 1.79%,76.23%
2025-04-23,47.72,2025-04-23,47.72,2020-11-04-2024-11-27,24.19-51.62,Buy,0 days,0.0%,Rise by 0%,76.23%
2025-07-11,52.16,2025-07-18,52.54,2025-03-03-2025-04-07,45.65-51.37,Sell,5 days,-0.73%,Fall by 2.23%,75.5%
2025-09-29,54.13,2025-09-29,54.13,2025-01-13-2025-09-18,47.04-54.5,Buy,0 days,0.0%,Rise by 0%,75.5%
2025-10-14,53.24,2025-10-14,53.24,2025-04-07-2025-09-18,42.21-54.5,Buy,0 days,0.0%,Rise by 0%,75.5%
