Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2001-06-30,23.0707,2001-08-31,21.3404,2000-03-31-2001-01-31,15.8154-24.9035,Sell,44 days,7.5%,Fall by 12.26%,7.5%,
2001-11-30,21.0479,2007-09-30,27.8798,2000-03-31-2001-01-31,15.8154-24.9035,Buy,1520 days,32.46%,Rise by -24.74%,39.96%,
2004-08-31,23.4606,2005-06-30,23.9399,2001-01-31-2002-10-31,18.8465-22.7457,Sell,217 days,-2.04%,Fall by -11.64%,37.92%,
2005-04-30,23.1032,2005-11-30,25.8895,2000-03-31-2005-01-31,15.8154-25.0122,Sell,152 days,-12.06%,Fall by -3.23%,25.86%,
2005-06-30,23.9399,2005-06-30,23.9399,2002-10-31-2004-03-31,15.0447-24.866,Buy,0 days,0.0%,Rise by 0%,25.86%,
2005-12-31,25.7271,2006-11-30,28.9846,2002-10-31-2005-01-31,15.0447-25.0122,Buy,238 days,12.66%,Rise by 6.22%,38.52%,
2007-10-31,27.4005,2007-11-30,25.1828,2002-10-31-2007-05-31,15.0447-30.9911,Sell,22 days,8.09%,Fall by 14.16%,46.61%,
2008-03-31,20.2031,2008-05-31,20.1137,2002-10-31-2004-03-31,15.0447-24.866,Sell,44 days,0.44%,Fall by 37.28%,47.05%,
2008-05-31,20.1137,2008-05-31,20.1137,2002-10-31-2007-05-31,15.0447-30.9911,Buy,0 days,0.0%,Rise by 0%,47.05%,
2010-05-31,11.9253,2010-06-30,11.2185,2009-03-31-2010-04-30,4.7766-13.9074,Sell,22 days,5.93%,Fall by 14.48%,52.98%,
2011-08-31,10.8692,2011-09-30,9.5938,2010-08-31-2011-02-28,10.7961-13.9724,Sell,22 days,11.73%,Fall by -83.74%,64.71%,
2012-05-31,11.381,2012-09-30,12.6645,2009-03-31-2011-02-28,4.7766-13.9724,Sell,86 days,-11.28%,Fall by -56.19%,53.44%,
2012-08-31,12.3152,2013-01-31,14.1186,2010-04-30-2011-10-31,11.511-12.9326,Sell,109 days,-14.64%,Fall by -32.39%,38.79%,
2013-01-31,14.1186,2018-06-30,26.59,2010-08-31-2011-02-28,10.7961-13.9724,Buy,1411 days,88.33%,Rise by -10.42%,127.13%,
2014-12-31,20.0894,2014-12-31,20.0894,2000-03-31-2007-05-31,15.8154-30.9911,Buy,0 days,0.0%,Rise by 0%,127.13%,
2015-05-31,19.9838,2015-08-31,19.0333,2001-01-31-2009-03-31,7.8798-22.7457,Sell,65 days,4.76%,Fall by 9.99%,131.88%,
2015-08-31,19.0333,2015-09-30,18.4078,2010-08-31-2015-07-31,10.7961-20.8123,Sell,22 days,3.29%,Fall by 6.93%,135.17%,
2015-12-31,19.3582,2016-01-31,17.6442,2007-05-31-2009-03-31,7.8798-29.87,Sell,21 days,8.85%,Fall by -31.77%,144.02%,
2016-01-31,17.6442,2016-04-30,18.9358,2011-10-31-2015-07-31,8.8952-20.8123,Sell,64 days,-7.32%,Fall by -22.78%,136.7%,
2016-02-29,17.1324,2016-04-30,18.9358,2009-03-31-2015-07-31,4.7766-20.8123,Sell,44 days,-10.53%,Fall by -22.78%,126.18%,
2016-04-30,18.9358,2020-05-31,23.41,2011-10-31-2015-07-31,8.8952-20.8123,Buy,1064 days,23.63%,Rise by 62.28%,149.8%,
2018-10-31,26.28,2018-12-31,23.82,2010-08-31-2018-01-31,10.7961-30.33,Sell,43 days,9.36%,Fall by 12.59%,159.17%,
2018-12-31,23.82,2019-02-28,26.52,2015-08-31-2018-01-31,15.0447-30.33,Sell,43 days,-11.34%,Fall by 21.49%,147.83%,
2019-02-28,26.52,2022-06-30,31.45,2011-10-31-2018-01-31,8.8952-30.33,Buy,870 days,18.59%,Rise by 16.25%,166.42%,
2020-02-29,26.59,2020-03-31,20.82,2015-08-31-2020-02-29,15.0447-31.38,Sell,21 days,21.7%,Fall by -58.74%,188.12%,
2020-03-31,20.82,2020-05-31,23.41,2018-12-31-2020-02-29,22.05-31.38,Sell,43 days,-12.44%,Fall by -34.34%,175.68%,
2020-05-31,23.41,2020-05-31,23.41,2009-03-31-2018-01-31,4.7766-30.33,Buy,0 days,0.0%,Rise by 0%,175.68%,
2020-06-30,23.14,2020-11-30,27.88,2000-03-31-2020-02-29,15.8154-31.38,Sell,109 days,-20.48%,Fall by -12.8%,155.2%,
2020-07-31,24.03,2020-11-30,27.88,2018-01-31-2018-12-31,27.47-27.79,Sell,86 days,-16.02%,Fall by -12.8%,139.17%,
2020-09-30,24.07,2020-11-30,27.88,2011-10-31-2018-01-31,8.8952-30.33,Sell,43 days,-15.83%,Fall by -12.8%,123.35%,
2022-04-30,34.51,2022-06-30,31.45,2020-03-31-2022-01-31,17.49-41.7,Sell,43 days,8.87%,Fall by -0.99%,132.21%,
2022-06-30,31.45,2022-09-30,30.36,2018-01-31-2020-03-31,28.25-27.79,Sell,66 days,3.47%,Fall by -4.61%,135.68%,
2022-08-31,33.05,2022-09-30,30.36,2010-08-31-2022-01-31,10.7961-41.7,Sell,22 days,8.14%,Fall by -4.61%,143.82%,
2022-12-31,34.2,2022-12-31,34.2,2020-03-31-2022-01-31,17.49-41.7,Buy,0 days,0.0%,Rise by 0%,143.82%,
2023-12-31,37.6,2023-12-31,37.6,2022-10-31-2023-02-28,29.59-37.11,Buy,0 days,0.0%,Rise by 0%,143.82%,
