Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-01-14,62.38,2021-01-29,62.15,2020-11-04-2020-12-21,61.28-63.63,Sell,11 days,0.37%,Fall by 6.1%,0.37%,
2021-03-23,62.57,2021-03-23,62.57,2020-11-04-2021-03-03,59.38-63.63,Sell,0 days,-0.0%,Fall by 0%,0.37%,
2021-05-07,66.04,2022-08-24,76.42,2021-03-03-2021-04-21,58.27-68.05,Buy,338 days,15.72%,Rise by 2.22%,16.09%,
2021-06-01,64.76,2021-06-07,65.51,2021-04-21-2021-05-12,65.82-66.9,Sell,4 days,-1.16%,Fall by 3.48%,14.93%,
2021-07-23,65.71,2021-08-26,68.54,2021-06-16-2021-06-30,63.54-65.42,Sell,24 days,-4.31%,Fall by 7.27%,10.62%,
2021-09-22,65.56,2022-04-14,76.09,2021-06-30-2021-09-02,62.99-70.07,Buy,146 days,16.06%,Rise by -0.95%,26.68%,
2021-11-02,67.21,2021-11-08,66.22,2021-09-02-2021-09-28,64.41-69.52,Sell,4 days,1.47%,Fall by 0.68%,28.16%,
2021-12-23,69.72,2022-01-13,69.88,2021-10-26-2021-11-30,67.44-66.91,Sell,15 days,-0.23%,Fall by 6.94%,27.93%,
2022-01-13,69.88,2025-07-28,83.62,2021-09-28-2021-12-31,63.37-71.83,Buy,922 days,19.66%,Rise by 11.1%,47.59%,
2022-02-10,66.99,2022-02-22,66.15,2021-12-31-2022-01-26,67.97-71.04,Sell,8 days,1.25%,Fall by -6.62%,48.84%,
2022-03-15,71.25,2022-03-15,71.25,2021-10-26-2022-02-24,65.68-66.91,Sell,0 days,-0.0%,Fall by 0%,48.84%,
2022-04-20,76.79,2022-08-24,76.42,2022-02-24-2022-04-08,64.28-77.23,Buy,90 days,-0.48%,Rise by 2.22%,48.36%,
2022-05-04,72.38,2025-08-08,86.18,2021-06-30-2022-04-08,62.99-77.23,Buy,852 days,19.07%,Rise by 7.8%,67.43%,
2022-07-11,70.26,2022-07-18,68.79,2022-05-27-2022-06-17,66.04-73.83,Sell,5 days,2.09%,Fall by -8.07%,69.52%,
2022-08-26,75.71,2022-09-06,74.79,2022-04-08-2022-06-17,66.04-76.31,Sell,7 days,1.22%,Fall by 10.68%,70.73%,
2022-10-04,68.86,2025-07-28,83.62,2022-06-17-2022-09-12,64.33-78.22,Buy,734 days,21.43%,Rise by 11.1%,92.17%,
2022-10-07,63.76,2022-10-07,63.76,2022-06-17-2022-09-12,64.33-78.22,Sell,0 days,-0.0%,Fall by 0%,92.17%,
2022-10-12,61.52,2022-10-12,61.52,2021-09-28-2021-12-31,63.37-71.83,Sell,0 days,-0.0%,Fall by 0%,92.17%,
2022-11-09,65.75,2022-11-09,65.75,2022-04-08-2022-10-13,63.31-76.31,Sell,0 days,-0.0%,Fall by 0%,92.17%,
2022-12-27,71.35,2024-08-08,73.36,2022-10-13-2022-12-13,60.35-73.79,Buy,422 days,2.82%,Rise by 11.06%,94.99%,
2023-03-23,63.7,2023-03-27,65.77,2023-01-12-2023-03-01,64.72-71.53,Sell,2 days,-3.25%,Fall by 2.17%,91.74%,
2023-04-19,69.44,2023-05-08,68.82,2023-01-12-2023-03-23,65.0-71.53,Sell,13 days,0.89%,Fall by 6.51%,92.63%,
2023-05-08,68.82,2024-08-12,73.74,2023-03-23-2023-04-25,63.38-70.28,Buy,330 days,7.15%,Rise by 10.48%,99.78%,
2023-05-25,64.59,2023-05-31,64.93,2021-03-03-2022-09-12,58.27-78.22,Sell,4 days,-0.53%,Fall by 0.32%,99.25%,
2023-06-26,65.67,2023-07-03,65.93,2023-04-25-2023-05-26,64.64-69.69,Sell,5 days,-0.4%,Fall by 4.41%,98.86%,
2023-08-10,64.22,2024-08-07,73.28,2023-05-26-2023-07-26,63.93-69.16,Buy,259 days,14.11%,Rise by 11.18%,112.96%,
2023-08-21,63.09,2023-08-23,63.52,2023-05-26-2023-07-26,63.93-69.16,Sell,2 days,-0.68%,Fall by 11.54%,112.28%,
2023-09-01,62.64,2023-09-07,62.63,2023-03-23-2023-04-25,63.38-70.28,Sell,4 days,0.02%,Fall by 10.28%,112.3%,
2023-09-22,63.29,2023-09-26,61.31,2023-07-26-2023-09-05,62.64-68.08,Sell,2 days,3.13%,Fall by 6.15%,115.43%,
2023-09-27,60.13,2023-10-02,56.19,2022-10-13-2022-12-13,60.35-73.79,Sell,3 days,6.55%,Fall by -2.4%,121.98%,
2023-09-28,58.83,2023-10-02,56.19,2021-03-03-2022-04-08,58.27-77.23,Sell,2 days,4.49%,Fall by -2.4%,126.47%,
2023-10-02,56.19,2023-10-02,56.19,2021-03-03-2021-12-31,58.27-71.83,Sell,0 days,-0.0%,Fall by 0%,126.47%,
2023-10-23,57.54,2023-10-23,57.54,2021-01-25-2023-10-06,57.39-62.55,Sell,0 days,-0.0%,Fall by 0%,126.47%,
