Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2001-12-31,28.03,2002-06-30,24.25,2000-03-31-2000-12-31,23.375-34.5469,Sell,129 days,13.49%,Fall by 24.12%,13.49%
2008-03-31,37.94,2008-09-30,33.23,2002-12-31-2007-12-31,14.9-44.66,Sell,131 days,12.41%,Fall by 16.07%,25.9%
2008-09-30,33.23,2008-12-31,29.03,2000-03-31-2007-12-31,23.375-44.66,Sell,66 days,12.64%,Fall by 2.65%,38.54%
2010-12-31,31.34,2010-12-31,31.34,2002-12-31-2007-12-31,14.9-44.66,Buy,0 days,0.0%,Rise by 0%,38.54%
2015-06-30,41.46,2016-03-31,49.62,2009-03-31-2015-03-31,22.48-49.78,Sell,197 days,-19.68%,Fall by 2.12%,18.86%
2018-03-31,50.53,2019-03-31,58.17,2009-03-31-2017-12-31,22.48-57.23,Sell,259 days,-15.12%,Fall by 4.74%,3.74%
2020-03-31,55.41,2020-12-31,62.7,2002-12-31-2017-12-31,14.9-57.23,Sell,197 days,-13.16%,Fall by -7.96%,-9.42%
2020-09-30,59.38,2020-09-30,59.38,2009-03-31-2017-12-31,22.48-57.23,Buy,0 days,0.0%,Rise by 0%,-9.42%
2023-03-31,67.69,2023-06-30,65.44,2009-03-31-2022-09-30,22.48-78.22,Sell,65 days,3.32%,Fall by -33.27%,-6.09%
2023-09-30,58.93,2024-03-31,65.65,2020-03-31-2022-09-30,43.44-78.22,Sell,129 days,-11.4%,Fall by -35.72%,-17.5%
2024-06-30,68.14,2024-06-30,68.14,2002-12-31-2022-09-30,14.9-78.22,Buy,0 days,0.0%,Rise by 0%,-17.5%
