Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-01-29,116007.0,2021-06-17,128057.0,2020-11-04-2021-01-08,95987.0-125324.0,Buy,99 days,10.39%,Rise by 0.27%,10.39%
2021-02-12,119116.0,2021-02-22,112668.0,2021-01-08-2021-01-27,117840.0-122386.0,Sell,6 days,5.41%,Fall by 0.54%,15.8%
2021-03-25,113750.0,2021-03-29,115419.0,2021-01-08-2021-03-02,112428.0-122386.0,Sell,2 days,-1.47%,Fall by -1.99%,14.33%
2021-06-21,129265.0,2025-05-26,138136.0,2021-03-02-2021-06-07,107319.0-131190.0,Buy,1025 days,6.86%,Rise by 0.81%,21.2%
2021-07-05,126920.0,2024-01-05,132023.0,2020-11-04-2021-06-07,95987.0-131190.0,Buy,654 days,4.02%,Rise by -1.22%,25.22%
2021-10-21,107735.0,2021-10-26,106420.0,2021-03-02-2021-06-07,107319.0-131190.0,Sell,3 days,1.22%,Fall by 5.3%,26.44%
2021-10-25,108715.0,2021-10-26,106420.0,2021-06-07-2021-09-20,111435.0-129498.0,Sell,1 days,2.11%,Fall by 5.3%,28.55%
2021-10-26,106420.0,2021-11-08,104781.0,2020-11-04-2021-06-07,95987.0-131190.0,Sell,9 days,1.54%,Fall by 3.82%,30.09%
2021-12-20,105020.0,2021-12-22,105244.0,2021-10-18-2021-11-30,103066.0-112841.0,Sell,2 days,-0.21%,Fall by -3.53%,29.87%
2022-01-10,101945.0,2022-01-27,112315.0,2021-01-08-2021-11-30,103066.0-122386.0,Sell,13 days,-10.17%,Fall by 2.99%,19.7%
2022-02-09,112461.0,2022-03-02,115174.0,2021-12-13-2022-01-05,103514.0-107383.0,Sell,15 days,-2.41%,Fall by 10.35%,17.29%
2022-04-28,109919.0,2022-04-28,109919.0,2021-11-30-2022-04-05,100075.0-121628.0,Buy,0 days,0.0%,Rise by 0%,17.29%
2022-06-09,107094.0,2022-06-09,107094.0,2022-03-03-2022-05-10,104286.0-115010.0,Sell,0 days,-0.0%,Fall by 0%,17.29%
2022-06-17,99825.0,2022-06-21,99685.0,2021-11-30-2022-04-05,100075.0-121628.0,Sell,2 days,0.14%,Fall by 3.58%,17.43%
2022-07-05,98295.0,2022-07-07,100730.0,2020-11-04-2021-01-08,95987.0-125324.0,Sell,2 days,-2.48%,Fall by -8.73%,14.95%
2022-08-25,113532.0,2022-08-31,109523.0,2022-06-02-2022-07-15,96971.0-111218.0,Sell,4 days,3.53%,Fall by 1.7%,18.48%
2022-10-28,114539.0,2022-11-03,116896.0,2022-08-18-2022-09-29,108449.0-113304.0,Sell,4 days,-2.06%,Fall by 7.03%,16.43%
2022-11-14,113161.0,2022-11-14,113161.0,2022-07-15-2022-10-21,95267.0-120752.0,Buy,0 days,0.0%,Rise by 0%,16.43%
2022-12-09,107689.0,2022-12-13,103892.0,2022-10-21-2022-11-17,110242.0-116736.0,Sell,2 days,3.53%,Fall by -0.26%,19.95%
2023-01-06,108836.0,2023-02-09,107783.0,2022-10-21-2022-12-14,104516.0-116736.0,Sell,24 days,0.97%,Fall by 9.15%,20.92%
2023-02-02,109935.0,2023-02-09,107783.0,2022-08-18-2022-12-14,104516.0-113304.0,Sell,5 days,1.96%,Fall by 9.15%,22.88%
2023-02-09,107783.0,2024-01-05,132023.0,2022-12-14-2023-01-26,101632.0-114835.0,Buy,236 days,22.49%,Rise by -1.22%,45.37%
2023-03-22,100221.0,2023-03-27,99670.0,2022-12-14-2023-01-26,101632.0-114835.0,Sell,3 days,0.55%,Fall by -2.13%,45.92%
2023-04-19,103913.0,2023-04-19,103913.0,2022-08-18-2023-03-23,101126.0-113304.0,Sell,0 days,-0.0%,Fall by 0%,45.92%
2023-08-10,118350.0,2025-05-26,138136.0,2023-03-23-2023-07-25,96997.0-123010.0,Buy,467 days,16.72%,Rise by 0.81%,62.64%
2023-09-06,115985.0,2023-09-06,115985.0,2023-07-25-2023-08-21,115425.0-121344.0,Sell,0 days,-0.0%,Fall by 0%,62.64%
2023-12-11,126916.0,2023-12-11,126916.0,2023-07-25-2023-10-06,114491.0-121344.0,Sell,0 days,-0.0%,Fall by 0%,62.64%
2024-01-15,131521.0,2025-05-26,138136.0,2023-10-06-2023-12-28,111599.0-134392.0,Buy,355 days,5.03%,Rise by 0.81%,67.66%
2024-01-24,127816.0,2025-10-06,143608.0,2023-03-23-2023-12-28,96997.0-134392.0,Buy,443 days,12.36%,Rise by 4.13%,80.02%
2024-02-16,128726.0,2024-03-07,128340.0,2023-12-28-2024-01-22,127843.0-133832.0,Sell,14 days,0.3%,Fall by 3.25%,80.32%
2024-03-28,128106.0,2024-04-01,126990.0,2023-12-28-2024-03-08,128338.0-133832.0,Sell,2 days,0.87%,Fall by 2.22%,81.19%
2024-05-14,128515.0,2024-05-14,128515.0,2023-12-28-2024-04-18,125140.0-133832.0,Sell,0 days,-0.0%,Fall by 0%,81.19%
2024-07-24,126423.0,2024-07-29,126954.0,2024-05-07-2024-06-17,119663.0-128464.0,Sell,3 days,-0.42%,Fall by -2.85%,80.77%
2024-09-04,136111.0,2024-09-05,136502.0,2024-07-17-2024-08-05,125851.0-128741.0,Sell,1 days,-0.29%,Fall by 4.35%,80.48%
2024-09-16,135118.0,2025-05-26,138136.0,2024-06-17-2024-08-28,118685.0-137469.0,Buy,180 days,2.23%,Rise by 0.81%,82.72%
2024-09-25,131586.0,2025-07-09,137481.0,2023-03-23-2024-08-28,96997.0-137469.0,Buy,205 days,4.48%,Rise by 6.55%,87.2%
2024-10-09,129962.0,2024-10-15,131043.0,2024-08-28-2024-09-23,131065.0-135746.0,Sell,4 days,-0.83%,Fall by 4.91%,86.37%
2024-12-18,120772.0,2024-12-20,122102.0,2024-08-28-2024-11-29,126056.0-135746.0,Sell,2 days,-1.1%,Fall by -0.57%,85.26%
2025-02-07,124619.0,2025-02-07,124619.0,2023-12-28-2025-01-14,119451.0-133832.0,Sell,0 days,-0.0%,Fall by 0%,85.26%
2025-02-24,125401.0,2025-03-06,123358.0,2024-05-07-2025-01-14,119451.0-128464.0,Sell,8 days,1.63%,Fall by -0.47%,86.89%
2025-04-03,131141.0,2025-04-07,125588.0,2025-02-17-2025-03-07,125822.0-128229.0,Sell,2 days,4.23%,Fall by -8.05%,91.13%
2025-06-11,137128.0,2025-09-04,140993.0,2025-01-14-2025-05-27,118223.0-140382.0,Buy,61 days,2.82%,Rise by 3.9%,93.95%
2025-07-22,134036.0,2025-10-06,143608.0,2025-01-14-2025-07-04,118223.0-141537.0,Buy,54 days,7.14%,Rise by 4.13%,101.09%
2025-07-30,133990.0,2025-07-30,133990.0,2022-07-15-2025-05-27,95267.0-140382.0,Buy,0 days,0.0%,Rise by 0%,101.09%
2025-08-19,134432.0,2025-08-25,138025.0,2025-07-04-2025-07-28,133902.0-140597.0,Sell,4 days,-2.67%,Fall by -1.92%,98.42%
2025-10-07,141356.0,2025-10-09,141708.0,2025-05-27-2025-07-28,133902.0-138136.0,Sell,2 days,-0.25%,Fall by -5.53%,98.17%
