Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-03-24,3889.1399,2021-03-29,3971.0901,2021-02-16-2021-03-04,3843.6699-3923.8501,Sell,3 days,-2.11%,Fall by -2.32%,-2.11%,
2021-09-22,4395.6401,2021-09-22,4395.6401,2020-11-04-2021-09-02,3405.1699-4545.8501,Buy,0 days,0.0%,Rise by 0%,-2.11%,
2021-11-12,4682.8501,2021-12-01,4513.04,2021-09-02-2021-10-04,4355.5098-4524.6602,Sell,13 days,3.63%,Fall by -1.22%,1.52%,
2022-01-12,4726.3501,2022-01-12,4726.3501,2021-10-04-2022-01-04,4278.9399-4818.6201,Buy,0 days,0.0%,Rise by 0%,1.52%,
2022-02-09,4587.1802,2022-02-09,4587.1802,2021-09-02-2022-01-24,4417.3501-4524.6602,Sell,0 days,-0.0%,Fall by 0%,1.52%,
2022-02-23,4225.5,2022-02-28,4373.9399,2021-10-04-2022-01-04,4278.9399-4818.6201,Sell,3 days,-3.51%,Fall by 10.03%,-1.99%,
2022-03-10,4259.52,2022-04-05,4525.1201,2021-11-22-2022-02-24,4294.73-4682.1699,Sell,18 days,-6.24%,Fall by 11.8%,-8.23%,
2022-04-05,4525.1201,2022-04-08,4488.2798,2022-01-04-2022-02-24,4294.73-4774.27,Sell,3 days,0.81%,Fall by 11.07%,-7.42%,
2022-04-08,4488.2798,2022-04-08,4488.2798,2022-02-24-2022-03-29,4114.6499-4637.2998,Buy,0 days,0.0%,Rise by 0%,-7.42%,
2022-05-06,4123.3398,2022-05-09,3991.24,2022-02-24-2022-03-29,4114.6499-4637.2998,Sell,1 days,3.2%,Fall by 8.13%,-4.21%,
2022-05-20,3901.3601,2022-05-24,3941.48,2020-11-04-2022-01-04,3405.1699-4818.6201,Sell,2 days,-1.03%,Fall by 6.97%,-5.24%,
2022-06-09,4017.8201,2022-06-09,4017.8201,2021-09-02-2022-05-20,3943.4199-4524.6602,Sell,0 days,-0.0%,Fall by 0%,-5.24%,
2022-07-06,3845.0801,2022-07-06,3845.0801,2022-01-04-2022-06-17,3707.71-4774.27,Sell,0 days,-0.0%,Fall by 0%,-5.24%,
2022-07-15,3863.1599,2022-07-15,3863.1599,2021-02-16-2022-06-17,3707.71-3923.8501,Sell,0 days,-0.0%,Fall by 0%,-5.24%,
2022-08-23,4128.73,2022-08-23,4128.73,2022-03-29-2022-06-17,3707.71-4589.6602,Sell,0 days,-0.0%,Fall by 0%,-5.24%,
2022-09-08,4006.1799,2022-09-08,4006.1799,2022-06-17-2022-08-16,3636.8701-4325.2798,Buy,0 days,0.0%,Rise by 0%,-5.24%,
2022-09-29,3640.47,2022-10-04,3790.9299,2022-06-17-2022-08-16,3636.8701-4325.2798,Sell,3 days,-4.13%,Fall by 0.2%,-9.37%,
2022-11-08,3828.1101,2022-11-08,3828.1101,2022-06-02-2022-10-13,3685.4099-4074.3701,Sell,0 days,-0.0%,Fall by 0%,-9.37%,
2022-11-09,3748.5701,2022-12-08,3963.51,2020-11-04-2021-09-02,3405.1699-4545.8501,Sell,21 days,-5.73%,Fall by 4.55%,-15.11%,
2022-11-22,4003.5801,2022-11-22,4003.5801,2021-05-07-2022-10-13,3685.4099-4201.6401,Sell,0 days,-0.0%,Fall by 0%,-15.11%,
2022-12-08,3963.51,2022-12-19,3817.6599,2021-11-22-2022-10-13,3685.4099-4682.1699,Sell,7 days,3.68%,Fall by -1.0%,-11.43%,
2022-12-27,3829.25,2024-11-14,5949.1699,2022-10-13-2022-12-13,3491.5801-4100.96,Buy,492 days,55.36%,Rise by 2.37%,43.93%,
2023-02-14,4136.1299,2025-09-26,6643.7002,2022-10-13-2023-02-02,3491.5801-4195.4399,Buy,683 days,60.63%,Rise by 2.96%,104.56%,
2023-03-29,4027.8101,2023-04-28,4169.48,2023-02-02-2023-03-13,3905.05-4141.8799,Sell,22 days,-3.52%,Fall by -7.91%,101.04%,
2023-08-22,4387.5498,2023-08-22,4387.5498,2023-03-13-2023-07-27,3808.8601-4607.0698,Buy,0 days,0.0%,Rise by 0%,101.04%,
2023-09-11,4487.46,2023-09-21,4330.0,2023-07-27-2023-08-18,4381.8198-4528.5601,Sell,8 days,3.51%,Fall by 4.91%,104.55%,
2023-10-24,4247.6802,2023-10-24,4247.6802,2023-07-27-2023-10-03,4281.1499-4528.5601,Sell,0 days,-0.0%,Fall by 0%,104.55%,
2024-01-05,4697.2402,2024-01-05,4697.2402,2023-07-27-2023-10-27,4156.7002-4528.5601,Sell,0 days,-0.0%,Fall by 0%,104.55%,
2024-04-08,5202.3901,2024-05-29,5266.9502,2021-10-04-2024-03-28,4278.9399-5264.8501,Buy,37 days,1.24%,Rise by 7.6%,105.79%,
2024-04-23,5070.5498,2024-04-23,5070.5498,2023-10-27-2024-03-28,4103.7798-5264.8501,Buy,0 days,0.0%,Rise by 0%,105.79%,
2024-06-27,5482.8701,2024-07-23,5555.7402,2024-03-28-2024-04-19,5019.02-5245.8198,Sell,18 days,-1.33%,Fall by 2.65%,104.46%,
2024-07-29,5463.54,2025-01-29,6039.3101,2024-04-19-2024-07-16,4953.5601-5669.6699,Buy,132 days,10.54%,Rise by 1.74%,115.0%,
2024-08-07,5199.5,2024-08-07,5199.5,2023-03-13-2024-07-16,3808.8601-5669.6699,Buy,0 days,0.0%,Rise by 0%,115.0%,
2024-10-03,5699.9399,2024-10-04,5751.0698,2024-07-16-2024-08-05,5250.8901-5639.02,Sell,1 days,-0.9%,Fall by 0.79%,114.11%,
2024-12-24,6040.04,2024-12-24,6040.04,2024-08-05-2024-12-06,5119.2598-6099.9702,Buy,0 days,0.0%,Rise by 0%,114.11%,
