Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-05-17,19.72,2021-05-19,22.18,2021-04-14-2021-05-13,15.38-28.93,Sell,2 days,-12.47%,Fall by 18.67%,-12.47%,
2021-05-20,20.67,2021-05-24,18.4,2021-01-29-2021-04-14,17.69-29.24,Sell,2 days,10.98%,Fall by 12.5%,-1.49%,
2021-06-28,15.76,2021-07-01,15.48,2021-03-04-2021-04-14,17.69-24.93,Sell,3 days,1.78%,Fall by 0.19%,0.28%,
2021-07-21,17.91,2021-07-23,17.2,2021-06-29-2021-07-19,14.1-25.09,Sell,2 days,3.96%,Fall by 10.17%,4.25%,
2021-07-26,17.58,2021-07-27,19.36,2021-03-04-2021-06-29,16.31-24.93,Sell,1 days,-10.13%,Fall by 13.27%,-5.88%,
2021-07-27,19.36,2021-09-23,18.63,2021-06-29-2021-07-19,14.1-25.09,Buy,42 days,-3.77%,Rise by -12.51%,-9.65%,
2021-08-26,18.84,2021-08-27,16.39,2021-07-19-2021-08-13,15.72-19.27,Sell,1 days,13.0%,Fall by -8.3%,3.36%,
2021-09-22,20.87,2021-09-23,18.63,2021-06-29-2021-09-20,14.1-28.79,Sell,1 days,10.73%,Fall by 12.51%,14.09%,
2021-09-27,18.76,2021-09-27,18.76,2021-01-29-2021-06-29,16.31-29.24,Sell,0 days,-0.0%,Fall by 0%,14.09%,
2021-09-28,23.25,2021-12-09,21.58,2021-06-29-2021-09-20,14.1-28.79,Buy,52 days,-7.18%,Rise by -16.77%,6.91%,
2021-10-13,18.64,2021-12-09,21.58,2021-04-14-2021-05-13,15.38-28.93,Buy,41 days,15.77%,Rise by -16.77%,22.68%,
2021-12-06,27.18,2021-12-07,21.89,2021-11-04-2021-12-03,14.73-35.32,Sell,1 days,19.46%,Fall by 14.89%,42.14%,
2021-12-07,21.89,2021-12-08,19.9,2021-06-29-2021-12-03,14.1-35.32,Sell,1 days,9.09%,Fall by 11.16%,51.23%,
2021-12-10,18.69,2021-12-10,18.69,2021-07-19-2021-11-04,16.14-19.27,Sell,0 days,-0.0%,Fall by 0%,51.23%,
2021-12-14,21.89,2022-01-27,30.49,2021-11-04-2021-12-03,14.73-35.32,Buy,32 days,39.29%,Rise by -21.58%,90.52%,
2022-01-25,31.16,2022-01-28,27.66,2021-04-14-2022-01-24,15.38-38.94,Sell,3 days,11.23%,Fall by 12.18%,101.75%,
2022-01-27,30.49,2022-01-28,27.66,2021-11-04-2022-01-24,14.73-38.94,Sell,1 days,9.28%,Fall by 12.18%,111.03%,
