Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2021-01-26 - 2021-01-27,1 days,2021-02-01,180.44,2021-02-03,185.72,2 days,-2.9%,Fall by 0.35%,-2.9%,
Sell,2021-02-19 - 2021-02-24,3 days,2021-03-04,180.23,2021-03-11,197.87,5 days,-9.8%,Fall by 3.23%,-12.7%,
Buy,2021-05-07 - 2021-05-17,6 days,2021-05-20,136.2,2021-06-02,151.0,9 days,10.9%,Rise by 12.44%,-1.8%,
Sell,2021-06-15 - 2021-06-18,3 days,2021-06-25,149.67,2021-07-09,149.64,10 days,0.0%,Fall by 10.26%,-1.8%,
Sell,2021-08-06 - 2021-08-09,1 days,2021-08-17,143.9,2021-08-19,142.65,2 days,0.9%,Fall by -15.8%,-1.0%,
Sell,2021-09-23 - 2021-09-24,1 days,2021-09-29,168.07,2021-10-01,173.01,2 days,-2.9%,Fall by 0.85%,-3.9%,
Sell,2021-11-16 - 2021-11-17,1 days,2021-11-22,181.73,2021-11-29,180.08,5 days,0.9%,Fall by 13.95%,-3.0%,
Buy,2021-12-03 - 2021-12-17,10 days,2021-12-21,165.66,2022-01-24,147.9,24 days,-10.7%,Rise by -10.72%,-13.7%,
Sell,2022-03-18 - 2022-03-22,2 days,2022-03-28,167.65,2022-03-29,175.52,1 days,-4.7%,Fall by 13.51%,-18.4%,
Sell,2022-03-24 - 2022-03-29,3 days,2022-04-07,165.91,2022-04-13,171.85,4 days,-3.6%,Fall by 12.6%,-22.0%,
Buy,2022-05-10 - 2022-05-12,2 days,2022-05-20,112.55,2022-05-27,120.5,5 days,7.1%,Rise by 9.97%,-14.9%,
Buy,2022-06-15 - 2022-06-16,1 days,2022-06-24,103.51,2022-06-30,89.08,4 days,-13.9%,Rise by -12.04%,-28.9%,
Sell,2022-08-04 - 2022-08-08,2 days,2022-08-17,121.87,2022-08-23,111.6,4 days,8.4%,Fall by 14.89%,-20.4%,
Sell,2022-09-12 - 2022-09-15,3 days,2022-09-22,103.72,2022-09-26,103.23,2 days,0.5%,Fall by 11.28%,-20.0%,
Buy,2022-11-29 - 2022-12-07,6 days,2022-12-09,94.7,2022-12-22,84.87,9 days,-10.4%,Rise by -12.89%,-30.3%,
Sell,2022-12-12 - 2022-12-13,1 days,2022-12-16,89.57,2022-12-20,87.62,2 days,2.2%,Fall by -26.81%,-28.2%,
Sell,2023-01-18 - 2023-01-24,4 days,2023-01-31,111.11,2023-02-01,113.99,1 days,-2.6%,Fall by -2.22%,-30.8%,
Sell,2023-01-27 - 2023-02-03,5 days,2023-02-09,114.94,2023-02-14,120.87,3 days,-5.2%,Fall by 1.18%,-35.9%,
Buy,2023-03-13 - 2023-03-15,2 days,2023-03-17,118.15,2023-03-31,124.4,10 days,5.3%,Rise by 7.55%,-30.6%,
Buy,2023-05-16 - 2023-05-25,7 days,2023-05-30,107.19,2023-06-02,118.06,3 days,10.1%,Rise by 20.05%,-20.5%,
Sell,2023-06-16 - 2023-06-21,3 days,2023-06-26,123.13,2023-06-27,127.89,1 days,-3.9%,Fall by -0.71%,-24.4%,
